arith.divider_active, 0x914
l2_rqsts.rfo_miss, 0x2224
l2_rqsts.swpf_hit, 0xc824
l2_rqsts.swpf_miss, 0x2824
l2_trans.l2_wb, 0x40f0
ld_blocks.no_sr, 0x803
ld_blocks.store_forward, 0x203
ld_blocks_partial.address_alias, 0x107
load_hit_prefetch.swpf, 0x14c
longest_lat_cache.miss, 0x412e
longest_lat_cache.reference, 0x4f2e
lsd.cycles_active, 0x1a8
lsd.cycles_ok, 0x1a8
lsd.uops, 0x1a8
machine_clears.count, 0x1c3
machine_clears.memory_ordering, 0x2c3
machine_clears.smc, 0x4c3
mem_inst_retired.all_loads, 0x81d0
mem_inst_retired.all_stores, 0x82d0
mem_inst_retired.any, 0x83d0
mem_inst_retired.lock_loads, 0x21d0
mem_inst_retired.split_loads, 0x41d0
mem_inst_retired.split_stores, 0x42d0
mem_inst_retired.stlb_miss_loads, 0x11d0
mem_inst_retired.stlb_miss_stores, 0x12d0
mem_load_l3_hit_retired.xsnp_fwd, 0x4d2
mem_load_l3_hit_retired.xsnp_hit, 0x2d2
mem_load_l3_hit_retired.xsnp_hitm, 0x4d2
mem_load_l3_hit_retired.xsnp_miss, 0x1d2
mem_load_l3_hit_retired.xsnp_no_fwd, 0x2d2
mem_load_l3_hit_retired.xsnp_none, 0x8d2
mem_load_l3_miss_retired.local_dram, 0x1d3
mem_load_l3_miss_retired.remote_dram, 0x2d3
mem_load_l3_miss_retired.remote_fwd, 0x8d3
mem_load_l3_miss_retired.remote_hitm, 0x4d3
mem_load_l3_miss_retired.remote_pmm, 0x10d3
mem_load_misc_retired.uc, 0x4d4
mem_load_retired.fb_hit, 0x40d1
mem_load_retired.l1_hit, 0x1d1
mem_load_retired.l1_miss, 0x8d1
mem_load_retired.l2_hit, 0x2d1
mem_load_retired.l2_miss, 0x10d1
mem_load_retired.l3_hit, 0x4d1
mem_load_retired.l3_miss, 0x20d1
mem_load_retired.local_pmm, 0x80d1
mem_trans_retired.load_latency_gt_128, 0x1cd, 0x80
mem_trans_retired.load_latency_gt_16, 0x1cd, 0x10
mem_trans_retired.load_latency_gt_256, 0x1cd, 0x100
mem_trans_retired.load_latency_gt_32, 0x1cd, 0x20
mem_trans_retired.load_latency_gt_4, 0x1cd, 0x4
mem_trans_retired.load_latency_gt_512, 0x1cd, 0x200
mem_trans_retired.load_latency_gt_64, 0x1cd, 0x40
mem_trans_retired.load_latency_gt_8, 0x1cd, 0x8
misc_retired.lbr_inserts, 0x20cc
misc_retired.pause_inst, 0x40cc
ocr.demand_code_rd.any_response_0, 0x1b7, 0x10004
ocr.demand_code_rd.any_response_1, 0x1bb, 0x10004
ocr.demand_code_rd.dram_0, 0x1b7, 0x73c000004
ocr.demand_code_rd.dram_1, 0x1bb, 0x73c000004
ocr.demand_code_rd.l3_hit.snoop_hitm_0, 0x1b7, 0x10003c0004
ocr.demand_code_rd.l3_hit.snoop_hitm_1, 0x1bb, 0x10003c0004
ocr.demand_code_rd.l3_hit_0, 0x1b7, 0x3f803c0004
ocr.demand_code_rd.l3_hit_1, 0x1bb, 0x3f803c0004
ocr.demand_code_rd.l3_miss_0, 0x1b7, 0x3fbfc00004
ocr.demand_code_rd.l3_miss_1, 0x1bb, 0x3fbfc00004
ocr.demand_code_rd.l3_miss_local_0, 0x1b7, 0x3f84400004
ocr.demand_code_rd.l3_miss_local_1, 0x1bb, 0x3f84400004
ocr.demand_code_rd.local_dram_0, 0x1b7, 0x104000004
ocr.demand_code_rd.local_dram_1, 0x1bb, 0x104000004
ocr.demand_code_rd.snc_cache.hit_with_fwd_0, 0x1b7, 0x808000004
ocr.demand_code_rd.snc_cache.hit_with_fwd_1, 0x1bb, 0x808000004
ocr.demand_code_rd.snc_cache.hitm_0, 0x1b7, 0x1008000004
ocr.demand_code_rd.snc_cache.hitm_1, 0x1bb, 0x1008000004
ocr.demand_code_rd.snc_dram_0, 0x1b7, 0x708000004
ocr.demand_code_rd.snc_dram_1, 0x1bb, 0x708000004
