arith.fpu_div_active, 0x114
mem_load_uops_retired.hit_lfb, 0x40d1
mem_load_uops_retired.l1_hit, 0x1d1
mem_load_uops_retired.l1_miss, 0x8d1
mem_load_uops_retired.l2_hit, 0x2d1
mem_load_uops_retired.l2_miss, 0x10d1
mem_load_uops_retired.l3_hit, 0x4d1
mem_load_uops_retired.l3_miss, 0x20d1
mem_trans_retired.load_latency_gt_128, 0x1cd, 0x80
mem_trans_retired.load_latency_gt_16, 0x1cd, 0x10
mem_trans_retired.load_latency_gt_256, 0x1cd, 0x100
mem_trans_retired.load_latency_gt_32, 0x1cd, 0x20
mem_trans_retired.load_latency_gt_4, 0x1cd, 0x4
mem_trans_retired.load_latency_gt_512, 0x1cd, 0x200
mem_trans_retired.load_latency_gt_64, 0x1cd, 0x40
mem_trans_retired.load_latency_gt_8, 0x1cd, 0x8
mem_uops_retired.all_loads, 0x81d0
mem_uops_retired.all_stores, 0x82d0
mem_uops_retired.lock_loads, 0x21d0
mem_uops_retired.split_loads, 0x41d0
mem_uops_retired.split_stores, 0x42d0
mem_uops_retired.stlb_miss_loads, 0x11d0
mem_uops_retired.stlb_miss_stores, 0x12d0
misalign_mem_ref.loads, 0x105
misalign_mem_ref.stores, 0x205
move_elimination.int_eliminated, 0x158
move_elimination.int_not_eliminated, 0x458
move_elimination.simd_eliminated, 0x258
move_elimination.simd_not_eliminated, 0x858
offcore_requests.all_data_rd, 0x8b0
offcore_requests.all_requests, 0x80b0
offcore_requests.demand_code_rd, 0x2b0
offcore_requests.demand_data_rd, 0x1b0
offcore_requests.demand_rfo, 0x4b0
offcore_requests_buffer.sq_full, 0x1b2
offcore_requests_outstanding.all_data_rd, 0x860
offcore_requests_outstanding.cycles_with_data_rd, 0x860
offcore_requests_outstanding.cycles_with_demand_data_rd, 0x160
offcore_requests_outstanding.cycles_with_demand_rfo, 0x460
offcore_requests_outstanding.demand_code_rd, 0x260
offcore_requests_outstanding.demand_data_rd, 0x160
offcore_requests_outstanding.demand_data_rd_ge_6, 0x160
offcore_requests_outstanding.demand_rfo, 0x460
offcore_response.all_data_rd.any_response_0, 0x1b7, 0x10091
offcore_response.all_data_rd.any_response_1, 0x1bb, 0x10091
offcore_response.all_data_rd.l3_hit.any_snoop_0, 0x1b7, 0x3f803c0091
offcore_response.all_data_rd.l3_hit.any_snoop_1, 0x1bb, 0x3f803c0091
offcore_response.all_data_rd.l3_hit.snoop_hit_no_fwd_0, 0x1b7, 0x4003c0091
offcore_response.all_data_rd.l3_hit.snoop_hit_no_fwd_1, 0x1bb, 0x4003c0091
offcore_response.all_data_rd.l3_hit.snoop_hitm_0, 0x1b7, 0x10003c0091
offcore_response.all_data_rd.l3_hit.snoop_hitm_1, 0x1bb, 0x10003c0091
offcore_response.all_data_rd.l3_hit.snoop_miss_0, 0x1b7, 0x2003c0091
offcore_response.all_data_rd.l3_hit.snoop_miss_1, 0x1bb, 0x2003c0091
offcore_response.all_data_rd.l3_hit.snoop_non_dram_0, 0x1b7, 0x20003c0091
offcore_response.all_data_rd.l3_hit.snoop_non_dram_1, 0x1bb, 0x20003c0091
offcore_response.all_data_rd.l3_hit.snoop_none_0, 0x1b7, 0x803c0091
offcore_response.all_data_rd.l3_hit.snoop_none_1, 0x1bb, 0x803c0091
offcore_response.all_data_rd.l3_hit.snoop_not_needed_0, 0x1b7, 0x1003c0091
offcore_response.all_data_rd.l3_hit.snoop_not_needed_1, 0x1bb, 0x1003c0091
offcore_response.all_data_rd.l3_miss.snoop_hit_no_fwd_0, 0x1b7, 0x43c000091
offcore_response.all_data_rd.l3_miss.snoop_hit_no_fwd_1, 0x1bb, 0x43c000091
offcore_response.all_data_rd.l3_miss.snoop_miss_0, 0x1b7, 0x23c000091
offcore_response.all_data_rd.l3_miss.snoop_miss_1, 0x1bb, 0x23c000091
offcore_response.all_data_rd.l3_miss.snoop_none_0, 0x1b7, 0xbc000091
offcore_response.all_data_rd.l3_miss.snoop_none_1, 0x1bb, 0xbc000091
offcore_response.all_data_rd.l3_miss.snoop_not_needed_0, 0x1b7, 0x13c000091
offcore_response.all_data_rd.l3_miss.snoop_not_needed_1, 0x1bb, 0x13c000091
offcore_response.all_data_rd.l3_miss_local_dram.any_snoop_0, 0x1b7, 0x3f84000091
offcore_response.all_data_rd.l3_miss_local_dram.any_snoop_1, 0x1bb, 0x3f84000091
offcore_response.all_data_rd.l3_miss_local_dram.snoop_hit_no_fwd_0, 0x1b7, 0x404000091
offcore_response.all_data_rd.l3_miss_local_dram.snoop_hit_no_fwd_1, 0x1bb, 0x404000091
offcore_response.all_data_rd.l3_miss_local_dram.snoop_hitm_0, 0x1b7, 0x1004000091
offcore_response.all_data_rd.l3_miss_local_dram.snoop_hitm_1, 0x1bb, 0x1004000091
offcore_response.all_data_rd.l3_miss_local_dram.snoop_miss_0, 0x1b7, 0x204000091
offcore_response.all_data_rd.l3_miss_local_dram.snoop_miss_1, 0x1bb, 0x204000091
offcore_response.all_data_rd.l3_miss_local_dram.snoop_non_dram_0, 0x1b7, 0x2004000091
offcore_response.all_data_rd.l3_miss_local_dram.snoop_non_dram_1, 0x1bb, 0x2004000091
offcore_response.all_data_rd.l3_miss_local_dram.snoop_none_0, 0x1b7, 0x84000091
offcore_response.all_data_rd.l3_miss_local_dram.snoop_none_1, 0x1bb, 0x84000091
offcore_response.all_data_rd.l3_miss_local_dram.snoop_not_needed_0, 0x1b7, 0x104000091
offcore_response.all_data_rd.l3_miss_local_dram.snoop_not_needed_1, 0x1bb, 0x104000091
offcore_response.all_data_rd.supplier_none.any_snoop_0, 0x1b7, 0x3f80020091
offcore_response.all_data_rd.supplier_none.any_snoop_1, 0x1bb, 0x3f80020091
offcore_response.all_data_rd.supplier_none.snoop_hit_no_fwd_0, 0x1b7, 0x400020091
offcore_response.all_data_rd.supplier_none.snoop_hit_no_fwd_1, 0x1bb, 0x400020091
offcore_response.all_data_rd.supplier_none.snoop_hitm_0, 0x1b7, 0x1000020091
offcore_response.all_data_rd.supplier_none.snoop_hitm_1, 0x1bb, 0x1000020091
