arith.fpu_div_active, 0x114
offcore_response.all_pf_rfo.l3_miss.snoop_not_needed_0, 0x1b7, 0x13c000120
offcore_response.all_pf_rfo.l3_miss.snoop_not_needed_1, 0x1bb, 0x13c000120
offcore_response.all_pf_rfo.l3_miss_local_dram.any_snoop_0, 0x1b7, 0x3f84000120
offcore_response.all_pf_rfo.l3_miss_local_dram.any_snoop_1, 0x1bb, 0x3f84000120
offcore_response.all_pf_rfo.l3_miss_local_dram.snoop_hit_no_fwd_0, 0x1b7, 0x404000120
offcore_response.all_pf_rfo.l3_miss_local_dram.snoop_hit_no_fwd_1, 0x1bb, 0x404000120
offcore_response.all_pf_rfo.l3_miss_local_dram.snoop_hitm_0, 0x1b7, 0x1004000120
offcore_response.all_pf_rfo.l3_miss_local_dram.snoop_hitm_1, 0x1bb, 0x1004000120
offcore_response.all_pf_rfo.l3_miss_local_dram.snoop_miss_0, 0x1b7, 0x204000120
offcore_response.all_pf_rfo.l3_miss_local_dram.snoop_miss_1, 0x1bb, 0x204000120
offcore_response.all_pf_rfo.l3_miss_local_dram.snoop_non_dram_0, 0x1b7, 0x2004000120
offcore_response.all_pf_rfo.l3_miss_local_dram.snoop_non_dram_1, 0x1bb, 0x2004000120
offcore_response.all_pf_rfo.l3_miss_local_dram.snoop_none_0, 0x1b7, 0x84000120
offcore_response.all_pf_rfo.l3_miss_local_dram.snoop_none_1, 0x1bb, 0x84000120
offcore_response.all_pf_rfo.l3_miss_local_dram.snoop_not_needed_0, 0x1b7, 0x104000120
offcore_response.all_pf_rfo.l3_miss_local_dram.snoop_not_needed_1, 0x1bb, 0x104000120
offcore_response.all_pf_rfo.supplier_none.any_snoop_0, 0x1b7, 0x3f80020120
offcore_response.all_pf_rfo.supplier_none.any_snoop_1, 0x1bb, 0x3f80020120
offcore_response.all_pf_rfo.supplier_none.snoop_hit_no_fwd_0, 0x1b7, 0x400020120
offcore_response.all_pf_rfo.supplier_none.snoop_hit_no_fwd_1, 0x1bb, 0x400020120
offcore_response.all_pf_rfo.supplier_none.snoop_hitm_0, 0x1b7, 0x1000020120
offcore_response.all_pf_rfo.supplier_none.snoop_hitm_1, 0x1bb, 0x1000020120
offcore_response.all_pf_rfo.supplier_none.snoop_miss_0, 0x1b7, 0x200020120
offcore_response.all_pf_rfo.supplier_none.snoop_miss_1, 0x1bb, 0x200020120
offcore_response.all_pf_rfo.supplier_none.snoop_non_dram_0, 0x1b7, 0x2000020120
offcore_response.all_pf_rfo.supplier_none.snoop_non_dram_1, 0x1bb, 0x2000020120
offcore_response.all_pf_rfo.supplier_none.snoop_none_0, 0x1b7, 0x80020120
offcore_response.all_pf_rfo.supplier_none.snoop_none_1, 0x1bb, 0x80020120
offcore_response.all_pf_rfo.supplier_none.snoop_not_needed_0, 0x1b7, 0x100020120
offcore_response.all_pf_rfo.supplier_none.snoop_not_needed_1, 0x1bb, 0x100020120
offcore_response.all_rfo.any_response_0, 0x1b7, 0x10122
offcore_response.all_rfo.any_response_1, 0x1bb, 0x10122
offcore_response.all_rfo.l3_hit.any_snoop_0, 0x1b7, 0x3f803c0122
offcore_response.all_rfo.l3_hit.any_snoop_1, 0x1bb, 0x3f803c0122
offcore_response.all_rfo.l3_hit.snoop_hit_no_fwd_0, 0x1b7, 0x4003c0122
offcore_response.all_rfo.l3_hit.snoop_hit_no_fwd_1, 0x1bb, 0x4003c0122
offcore_response.all_rfo.l3_hit.snoop_hitm_0, 0x1b7, 0x10003c0122
offcore_response.all_rfo.l3_hit.snoop_hitm_1, 0x1bb, 0x10003c0122
offcore_response.all_rfo.l3_hit.snoop_miss_0, 0x1b7, 0x2003c0122
offcore_response.all_rfo.l3_hit.snoop_miss_1, 0x1bb, 0x2003c0122
offcore_response.all_rfo.l3_hit.snoop_non_dram_0, 0x1b7, 0x20003c0122
offcore_response.all_rfo.l3_hit.snoop_non_dram_1, 0x1bb, 0x20003c0122
offcore_response.all_rfo.l3_hit.snoop_none_0, 0x1b7, 0x803c0122
offcore_response.all_rfo.l3_hit.snoop_none_1, 0x1bb, 0x803c0122
offcore_response.all_rfo.l3_hit.snoop_not_needed_0, 0x1b7, 0x1003c0122
offcore_response.all_rfo.l3_hit.snoop_not_needed_1, 0x1bb, 0x1003c0122
offcore_response.all_rfo.l3_miss.snoop_hit_no_fwd_0, 0x1b7, 0x43c000122
offcore_response.all_rfo.l3_miss.snoop_hit_no_fwd_1, 0x1bb, 0x43c000122
offcore_response.all_rfo.l3_miss.snoop_miss_0, 0x1b7, 0x23c000122
offcore_response.all_rfo.l3_miss.snoop_miss_1, 0x1bb, 0x23c000122
offcore_response.all_rfo.l3_miss.snoop_none_0, 0x1b7, 0xbc000122
offcore_response.all_rfo.l3_miss.snoop_none_1, 0x1bb, 0xbc000122
offcore_response.all_rfo.l3_miss.snoop_not_needed_0, 0x1b7, 0x13c000122
offcore_response.all_rfo.l3_miss.snoop_not_needed_1, 0x1bb, 0x13c000122
offcore_response.all_rfo.l3_miss_local_dram.any_snoop_0, 0x1b7, 0x3f84000122
offcore_response.all_rfo.l3_miss_local_dram.any_snoop_1, 0x1bb, 0x3f84000122
offcore_response.all_rfo.l3_miss_local_dram.snoop_hit_no_fwd_0, 0x1b7, 0x404000122
offcore_response.all_rfo.l3_miss_local_dram.snoop_hit_no_fwd_1, 0x1bb, 0x404000122
offcore_response.all_rfo.l3_miss_local_dram.snoop_hitm_0, 0x1b7, 0x1004000122
offcore_response.all_rfo.l3_miss_local_dram.snoop_hitm_1, 0x1bb, 0x1004000122
offcore_response.all_rfo.l3_miss_local_dram.snoop_miss_0, 0x1b7, 0x204000122
offcore_response.all_rfo.l3_miss_local_dram.snoop_miss_1, 0x1bb, 0x204000122
offcore_response.all_rfo.l3_miss_local_dram.snoop_non_dram_0, 0x1b7, 0x2004000122
offcore_response.all_rfo.l3_miss_local_dram.snoop_non_dram_1, 0x1bb, 0x2004000122
offcore_response.all_rfo.l3_miss_local_dram.snoop_none_0, 0x1b7, 0x84000122
offcore_response.all_rfo.l3_miss_local_dram.snoop_none_1, 0x1bb, 0x84000122
offcore_response.all_rfo.l3_miss_local_dram.snoop_not_needed_0, 0x1b7, 0x104000122
offcore_response.all_rfo.l3_miss_local_dram.snoop_not_needed_1, 0x1bb, 0x104000122
offcore_response.all_rfo.supplier_none.any_snoop_0, 0x1b7, 0x3f80020122
offcore_response.all_rfo.supplier_none.any_snoop_1, 0x1bb, 0x3f80020122
offcore_response.all_rfo.supplier_none.snoop_hit_no_fwd_0, 0x1b7, 0x400020122
offcore_response.all_rfo.supplier_none.snoop_hit_no_fwd_1, 0x1bb, 0x400020122
offcore_response.all_rfo.supplier_none.snoop_hitm_0, 0x1b7, 0x1000020122
offcore_response.all_rfo.supplier_none.snoop_hitm_1, 0x1bb, 0x1000020122
offcore_response.all_rfo.supplier_none.snoop_miss_0, 0x1b7, 0x200020122
offcore_response.all_rfo.supplier_none.snoop_miss_1, 0x1bb, 0x200020122
offcore_response.all_rfo.supplier_none.snoop_non_dram_0, 0x1b7, 0x2000020122
offcore_response.all_rfo.supplier_none.snoop_non_dram_1, 0x1bb, 0x2000020122
offcore_response.all_rfo.supplier_none.snoop_none_0, 0x1b7, 0x80020122
offcore_response.all_rfo.supplier_none.snoop_none_1, 0x1bb, 0x80020122
offcore_response.all_rfo.supplier_none.snoop_not_needed_0, 0x1b7, 0x100020122
offcore_response.all_rfo.supplier_none.snoop_not_needed_1, 0x1bb, 0x100020122
offcore_response.corewb.any_response_0, 0x1b7, 0x10008
offcore_response.corewb.any_response_1, 0x1bb, 0x10008
offcore_response.corewb.l3_hit.any_snoop_0, 0x1b7, 0x3f803c0008
offcore_response.corewb.l3_hit.any_snoop_1, 0x1bb, 0x3f803c0008
offcore_response.corewb.l3_hit.snoop_hit_no_fwd_0, 0x1b7, 0x4003c0008
offcore_response.corewb.l3_hit.snoop_hit_no_fwd_1, 0x1bb, 0x4003c0008
offcore_response.corewb.l3_hit.snoop_hitm_0, 0x1b7, 0x10003c0008
offcore_response.corewb.l3_hit.snoop_hitm_1, 0x1bb, 0x10003c0008
offcore_response.corewb.l3_hit.snoop_miss_0, 0x1b7, 0x2003c0008
offcore_response.corewb.l3_hit.snoop_miss_1, 0x1bb, 0x2003c0008
offcore_response.corewb.l3_hit.snoop_non_dram_0, 0x1b7, 0x20003c0008
offcore_response.corewb.l3_hit.snoop_non_dram_1, 0x1bb, 0x20003c0008
offcore_response.corewb.l3_hit.snoop_none_0, 0x1b7, 0x803c0008
offcore_response.corewb.l3_hit.snoop_none_1, 0x1bb, 0x803c0008
offcore_response.corewb.l3_hit.snoop_not_needed_0, 0x1b7, 0x1003c0008
offcore_response.corewb.l3_hit.snoop_not_needed_1, 0x1bb, 0x1003c0008
offcore_response.corewb.l3_miss.snoop_hit_no_fwd_0, 0x1b7, 0x43c000008
offcore_response.corewb.l3_miss.snoop_hit_no_fwd_1, 0x1bb, 0x43c000008
offcore_response.corewb.l3_miss.snoop_miss_0, 0x1b7, 0x23c000008
offcore_response.corewb.l3_miss.snoop_miss_1, 0x1bb, 0x23c000008
offcore_response.corewb.l3_miss.snoop_none_0, 0x1b7, 0xbc000008
offcore_response.corewb.l3_miss.snoop_none_1, 0x1bb, 0xbc000008
offcore_response.corewb.l3_miss.snoop_not_needed_0, 0x1b7, 0x13c000008
offcore_response.corewb.l3_miss.snoop_not_needed_1, 0x1bb, 0x13c000008
offcore_response.corewb.l3_miss_local_dram.any_snoop_0, 0x1b7, 0x3f84000008
offcore_response.corewb.l3_miss_local_dram.any_snoop_1, 0x1bb, 0x3f84000008
offcore_response.corewb.l3_miss_local_dram.snoop_hit_no_fwd_0, 0x1b7, 0x404000008
offcore_response.corewb.l3_miss_local_dram.snoop_hit_no_fwd_1, 0x1bb, 0x404000008
offcore_response.corewb.l3_miss_local_dram.snoop_hitm_0, 0x1b7, 0x1004000008
offcore_response.corewb.l3_miss_local_dram.snoop_hitm_1, 0x1bb, 0x1004000008
offcore_response.corewb.l3_miss_local_dram.snoop_miss_0, 0x1b7, 0x204000008
offcore_response.corewb.l3_miss_local_dram.snoop_miss_1, 0x1bb, 0x204000008
offcore_response.corewb.l3_miss_local_dram.snoop_non_dram_0, 0x1b7, 0x2004000008
offcore_response.corewb.l3_miss_local_dram.snoop_non_dram_1, 0x1bb, 0x2004000008
offcore_response.corewb.l3_miss_local_dram.snoop_none_0, 0x1b7, 0x84000008
offcore_response.corewb.l3_miss_local_dram.snoop_none_1, 0x1bb, 0x84000008
offcore_response.corewb.l3_miss_local_dram.snoop_not_needed_0, 0x1b7, 0x104000008
offcore_response.corewb.l3_miss_local_dram.snoop_not_needed_1, 0x1bb, 0x104000008
offcore_response.corewb.supplier_none.any_snoop_0, 0x1b7, 0x3f80020008
offcore_response.corewb.supplier_none.any_snoop_1, 0x1bb, 0x3f80020008
offcore_response.corewb.supplier_none.snoop_hit_no_fwd_0, 0x1b7, 0x400020008
offcore_response.corewb.supplier_none.snoop_hit_no_fwd_1, 0x1bb, 0x400020008
offcore_response.corewb.supplier_none.snoop_hitm_0, 0x1b7, 0x1000020008
offcore_response.corewb.supplier_none.snoop_hitm_1, 0x1bb, 0x1000020008
offcore_response.corewb.supplier_none.snoop_miss_0, 0x1b7, 0x200020008
offcore_response.corewb.supplier_none.snoop_miss_1, 0x1bb, 0x200020008
offcore_response.corewb.supplier_none.snoop_non_dram_0, 0x1b7, 0x2000020008
offcore_response.corewb.supplier_none.snoop_non_dram_1, 0x1bb, 0x2000020008
offcore_response.corewb.supplier_none.snoop_none_0, 0x1b7, 0x80020008
offcore_response.corewb.supplier_none.snoop_none_1, 0x1bb, 0x80020008
offcore_response.corewb.supplier_none.snoop_not_needed_0, 0x1b7, 0x100020008
offcore_response.corewb.supplier_none.snoop_not_needed_1, 0x1bb, 0x100020008
offcore_response.demand_code_rd.any_response_0, 0x1b7, 0x10004
offcore_response.demand_code_rd.any_response_1, 0x1bb, 0x10004
offcore_response.demand_code_rd.l3_hit.any_snoop_0, 0x1b7, 0x3f803c0004
offcore_response.demand_code_rd.l3_hit.any_snoop_1, 0x1bb, 0x3f803c0004
offcore_response.demand_code_rd.l3_hit.snoop_hit_no_fwd_0, 0x1b7, 0x4003c0004
offcore_response.demand_code_rd.l3_hit.snoop_hit_no_fwd_1, 0x1bb, 0x4003c0004
offcore_response.demand_code_rd.l3_hit.snoop_hitm_0, 0x1b7, 0x10003c0004
offcore_response.demand_code_rd.l3_hit.snoop_hitm_1, 0x1bb, 0x10003c0004
offcore_response.demand_code_rd.l3_hit.snoop_miss_0, 0x1b7, 0x2003c0004
offcore_response.demand_code_rd.l3_hit.snoop_miss_1, 0x1bb, 0x2003c0004
offcore_response.demand_code_rd.l3_hit.snoop_non_dram_0, 0x1b7, 0x20003c0004
offcore_response.demand_code_rd.l3_hit.snoop_non_dram_1, 0x1bb, 0x20003c0004
offcore_response.demand_code_rd.l3_hit.snoop_none_0, 0x1b7, 0x803c0004
offcore_response.demand_code_rd.l3_hit.snoop_none_1, 0x1bb, 0x803c0004
offcore_response.demand_code_rd.l3_hit.snoop_not_needed_0, 0x1b7, 0x1003c0004
offcore_response.demand_code_rd.l3_hit.snoop_not_needed_1, 0x1bb, 0x1003c0004
offcore_response.demand_code_rd.l3_miss.snoop_hit_no_fwd_0, 0x1b7, 0x43c000004
offcore_response.demand_code_rd.l3_miss.snoop_hit_no_fwd_1, 0x1bb, 0x43c000004
offcore_response.demand_code_rd.l3_miss.snoop_miss_0, 0x1b7, 0x23c000004
offcore_response.demand_code_rd.l3_miss.snoop_miss_1, 0x1bb, 0x23c000004
offcore_response.demand_code_rd.l3_miss.snoop_none_0, 0x1b7, 0xbc000004
offcore_response.demand_code_rd.l3_miss.snoop_none_1, 0x1bb, 0xbc000004
offcore_response.demand_code_rd.l3_miss.snoop_not_needed_0, 0x1b7, 0x13c000004
offcore_response.demand_code_rd.l3_miss.snoop_not_needed_1, 0x1bb, 0x13c000004
offcore_response.demand_code_rd.l3_miss_local_dram.any_snoop_0, 0x1b7, 0x3f84000004
offcore_response.demand_code_rd.l3_miss_local_dram.any_snoop_1, 0x1bb, 0x3f84000004
offcore_response.demand_code_rd.l3_miss_local_dram.snoop_hit_no_fwd_0, 0x1b7, 0x404000004
offcore_response.demand_code_rd.l3_miss_local_dram.snoop_hit_no_fwd_1, 0x1bb, 0x404000004
offcore_response.demand_code_rd.l3_miss_local_dram.snoop_hitm_0, 0x1b7, 0x1004000004
offcore_response.demand_code_rd.l3_miss_local_dram.snoop_hitm_1, 0x1bb, 0x1004000004
offcore_response.demand_code_rd.l3_miss_local_dram.snoop_miss_0, 0x1b7, 0x204000004
offcore_response.demand_code_rd.l3_miss_local_dram.snoop_miss_1, 0x1bb, 0x204000004
offcore_response.demand_code_rd.l3_miss_local_dram.snoop_non_dram_0, 0x1b7, 0x2004000004
offcore_response.demand_code_rd.l3_miss_local_dram.snoop_non_dram_1, 0x1bb, 0x2004000004
offcore_response.demand_code_rd.l3_miss_local_dram.snoop_none_0, 0x1b7, 0x84000004
offcore_response.demand_code_rd.l3_miss_local_dram.snoop_none_1, 0x1bb, 0x84000004
offcore_response.demand_code_rd.l3_miss_local_dram.snoop_not_needed_0, 0x1b7, 0x104000004
offcore_response.demand_code_rd.l3_miss_local_dram.snoop_not_needed_1, 0x1bb, 0x104000004
offcore_response.demand_code_rd.supplier_none.any_snoop_0, 0x1b7, 0x3f80020004
offcore_response.demand_code_rd.supplier_none.any_snoop_1, 0x1bb, 0x3f80020004
offcore_response.demand_code_rd.supplier_none.snoop_hit_no_fwd_0, 0x1b7, 0x400020004
offcore_response.demand_code_rd.supplier_none.snoop_hit_no_fwd_1, 0x1bb, 0x400020004
offcore_response.demand_code_rd.supplier_none.snoop_hitm_0, 0x1b7, 0x1000020004
offcore_response.demand_code_rd.supplier_none.snoop_hitm_1, 0x1bb, 0x1000020004
offcore_response.demand_code_rd.supplier_none.snoop_miss_0, 0x1b7, 0x200020004
offcore_response.demand_code_rd.supplier_none.snoop_miss_1, 0x1bb, 0x200020004
offcore_response.demand_code_rd.supplier_none.snoop_non_dram_0, 0x1b7, 0x2000020004
offcore_response.demand_code_rd.supplier_none.snoop_non_dram_1, 0x1bb, 0x2000020004
offcore_response.demand_code_rd.supplier_none.snoop_none_0, 0x1b7, 0x80020004
offcore_response.demand_code_rd.supplier_none.snoop_none_1, 0x1bb, 0x80020004
offcore_response.demand_code_rd.supplier_none.snoop_not_needed_0, 0x1b7, 0x100020004
offcore_response.demand_code_rd.supplier_none.snoop_not_needed_1, 0x1bb, 0x100020004
offcore_response.demand_data_rd.any_response_0, 0x1b7, 0x10001
offcore_response.demand_data_rd.any_response_1, 0x1bb, 0x10001
offcore_response.demand_data_rd.l3_hit.any_snoop_0, 0x1b7, 0x3f803c0001
offcore_response.demand_data_rd.l3_hit.any_snoop_1, 0x1bb, 0x3f803c0001
offcore_response.demand_data_rd.l3_hit.snoop_hit_no_fwd_0, 0x1b7, 0x4003c0001
offcore_response.demand_data_rd.l3_hit.snoop_hit_no_fwd_1, 0x1bb, 0x4003c0001
offcore_response.demand_data_rd.l3_hit.snoop_hitm_0, 0x1b7, 0x10003c0001
offcore_response.demand_data_rd.l3_hit.snoop_hitm_1, 0x1bb, 0x10003c0001
offcore_response.demand_data_rd.l3_hit.snoop_miss_0, 0x1b7, 0x2003c0001
offcore_response.demand_data_rd.l3_hit.snoop_miss_1, 0x1bb, 0x2003c0001
offcore_response.demand_data_rd.l3_hit.snoop_non_dram_0, 0x1b7, 0x20003c0001
offcore_response.demand_data_rd.l3_hit.snoop_non_dram_1, 0x1bb, 0x20003c0001
offcore_response.demand_data_rd.l3_hit.snoop_none_0, 0x1b7, 0x803c0001
offcore_response.demand_data_rd.l3_hit.snoop_none_1, 0x1bb, 0x803c0001
offcore_response.demand_data_rd.l3_hit.snoop_not_needed_0, 0x1b7, 0x1003c0001
offcore_response.demand_data_rd.l3_hit.snoop_not_needed_1, 0x1bb, 0x1003c0001
offcore_response.demand_data_rd.l3_miss.snoop_hit_no_fwd_0, 0x1b7, 0x43c000001
offcore_response.demand_data_rd.l3_miss.snoop_hit_no_fwd_1, 0x1bb, 0x43c000001
offcore_response.demand_data_rd.l3_miss.snoop_miss_0, 0x1b7, 0x23c000001
offcore_response.demand_data_rd.l3_miss.snoop_miss_1, 0x1bb, 0x23c000001
offcore_response.demand_data_rd.l3_miss.snoop_none_0, 0x1b7, 0xbc000001
offcore_response.demand_data_rd.l3_miss.snoop_none_1, 0x1bb, 0xbc000001
offcore_response.demand_data_rd.l3_miss.snoop_not_needed_0, 0x1b7, 0x13c000001
offcore_response.demand_data_rd.l3_miss.snoop_not_needed_1, 0x1bb, 0x13c000001
offcore_response.demand_data_rd.l3_miss_local_dram.any_snoop_0, 0x1b7, 0x3f84000001
offcore_response.demand_data_rd.l3_miss_local_dram.any_snoop_1, 0x1bb, 0x3f84000001
offcore_response.demand_data_rd.l3_miss_local_dram.snoop_hit_no_fwd_0, 0x1b7, 0x404000001
offcore_response.demand_data_rd.l3_miss_local_dram.snoop_hit_no_fwd_1, 0x1bb, 0x404000001
offcore_response.demand_data_rd.l3_miss_local_dram.snoop_hitm_0, 0x1b7, 0x1004000001
offcore_response.demand_data_rd.l3_miss_local_dram.snoop_hitm_1, 0x1bb, 0x1004000001
offcore_response.demand_data_rd.l3_miss_local_dram.snoop_miss_0, 0x1b7, 0x204000001
offcore_response.demand_data_rd.l3_miss_local_dram.snoop_miss_1, 0x1bb, 0x204000001
offcore_response.demand_data_rd.l3_miss_local_dram.snoop_non_dram_0, 0x1b7, 0x2004000001
offcore_response.demand_data_rd.l3_miss_local_dram.snoop_non_dram_1, 0x1bb, 0x2004000001
offcore_response.demand_data_rd.l3_miss_local_dram.snoop_none_0, 0x1b7, 0x84000001
offcore_response.demand_data_rd.l3_miss_local_dram.snoop_none_1, 0x1bb, 0x84000001
offcore_response.demand_data_rd.l3_miss_local_dram.snoop_not_needed_0, 0x1b7, 0x104000001
offcore_response.demand_data_rd.l3_miss_local_dram.snoop_not_needed_1, 0x1bb, 0x104000001
offcore_response.demand_data_rd.supplier_none.any_snoop_0, 0x1b7, 0x3f80020001
offcore_response.demand_data_rd.supplier_none.any_snoop_1, 0x1bb, 0x3f80020001
offcore_response.demand_data_rd.supplier_none.snoop_hit_no_fwd_0, 0x1b7, 0x400020001
offcore_response.demand_data_rd.supplier_none.snoop_hit_no_fwd_1, 0x1bb, 0x400020001
offcore_response.demand_data_rd.supplier_none.snoop_hitm_0, 0x1b7, 0x1000020001
offcore_response.demand_data_rd.supplier_none.snoop_hitm_1, 0x1bb, 0x1000020001
offcore_response.demand_data_rd.supplier_none.snoop_miss_0, 0x1b7, 0x200020001
offcore_response.demand_data_rd.supplier_none.snoop_miss_1, 0x1bb, 0x200020001
offcore_response.demand_data_rd.supplier_none.snoop_non_dram_0, 0x1b7, 0x2000020001
offcore_response.demand_data_rd.supplier_none.snoop_non_dram_1, 0x1bb, 0x2000020001
offcore_response.demand_data_rd.supplier_none.snoop_none_0, 0x1b7, 0x80020001
offcore_response.demand_data_rd.supplier_none.snoop_none_1, 0x1bb, 0x80020001
offcore_response.demand_data_rd.supplier_none.snoop_not_needed_0, 0x1b7, 0x100020001
offcore_response.demand_data_rd.supplier_none.snoop_not_needed_1, 0x1bb, 0x100020001
offcore_response.demand_rfo.any_response_0, 0x1b7, 0x10002
offcore_response.demand_rfo.any_response_1, 0x1bb, 0x10002
offcore_response.demand_rfo.l3_hit.any_snoop_0, 0x1b7, 0x3f803c0002
offcore_response.demand_rfo.l3_hit.any_snoop_1, 0x1bb, 0x3f803c0002
offcore_response.demand_rfo.l3_hit.snoop_hit_no_fwd_0, 0x1b7, 0x4003c0002
offcore_response.demand_rfo.l3_hit.snoop_hit_no_fwd_1, 0x1bb, 0x4003c0002
offcore_response.demand_rfo.l3_hit.snoop_hitm_0, 0x1b7, 0x10003c0002
offcore_response.demand_rfo.l3_hit.snoop_hitm_1, 0x1bb, 0x10003c0002
offcore_response.demand_rfo.l3_hit.snoop_miss_0, 0x1b7, 0x2003c0002
offcore_response.demand_rfo.l3_hit.snoop_miss_1, 0x1bb, 0x2003c0002
offcore_response.demand_rfo.l3_hit.snoop_non_dram_0, 0x1b7, 0x20003c0002
offcore_response.demand_rfo.l3_hit.snoop_non_dram_1, 0x1bb, 0x20003c0002
offcore_response.demand_rfo.l3_hit.snoop_none_0, 0x1b7, 0x803c0002
offcore_response.demand_rfo.l3_hit.snoop_none_1, 0x1bb, 0x803c0002
offcore_response.demand_rfo.l3_hit.snoop_not_needed_0, 0x1b7, 0x1003c0002
offcore_response.demand_rfo.l3_hit.snoop_not_needed_1, 0x1bb, 0x1003c0002
offcore_response.demand_rfo.l3_miss.snoop_hit_no_fwd_0, 0x1b7, 0x43c000002
offcore_response.demand_rfo.l3_miss.snoop_hit_no_fwd_1, 0x1bb, 0x43c000002
offcore_response.demand_rfo.l3_miss.snoop_miss_0, 0x1b7, 0x23c000002
offcore_response.demand_rfo.l3_miss.snoop_miss_1, 0x1bb, 0x23c000002
offcore_response.demand_rfo.l3_miss.snoop_none_0, 0x1b7, 0xbc000002
offcore_response.demand_rfo.l3_miss.snoop_none_1, 0x1bb, 0xbc000002
offcore_response.demand_rfo.l3_miss.snoop_not_needed_0, 0x1b7, 0x13c000002
offcore_response.demand_rfo.l3_miss.snoop_not_needed_1, 0x1bb, 0x13c000002
offcore_response.demand_rfo.l3_miss_local_dram.any_snoop_0, 0x1b7, 0x3f84000002
offcore_response.demand_rfo.l3_miss_local_dram.any_snoop_1, 0x1bb, 0x3f84000002
offcore_response.other.any_response_0, 0x1b7, 0x18000
offcore_response.other.any_response_1, 0x1bb, 0x18000
offcore_response.other.l3_hit.any_snoop_0, 0x1b7, 0x3f803c8000
offcore_response.other.l3_hit.any_snoop_1, 0x1bb, 0x3f803c8000
offcore_response.other.l3_hit.snoop_hit_no_fwd_0, 0x1b7, 0x4003c8000
offcore_response.other.l3_hit.snoop_hit_no_fwd_1, 0x1bb, 0x4003c8000
offcore_response.other.l3_hit.snoop_hitm_0, 0x1b7, 0x10003c8000
offcore_response.other.l3_hit.snoop_hitm_1, 0x1bb, 0x10003c8000
offcore_response.other.l3_hit.snoop_miss_0, 0x1b7, 0x2003c8000
offcore_response.other.l3_hit.snoop_miss_1, 0x1bb, 0x2003c8000
offcore_response.other.l3_hit.snoop_non_dram_0, 0x1b7, 0x20003c8000
offcore_response.other.l3_hit.snoop_non_dram_1, 0x1bb, 0x20003c8000
offcore_response.other.l3_hit.snoop_none_0, 0x1b7, 0x803c8000
offcore_response.other.l3_hit.snoop_none_1, 0x1bb, 0x803c8000
offcore_response.other.l3_hit.snoop_not_needed_0, 0x1b7, 0x1003c8000
offcore_response.other.l3_hit.snoop_not_needed_1, 0x1bb, 0x1003c8000
offcore_response.other.l3_miss.snoop_hit_no_fwd_0, 0x1b7, 0x43c008000
offcore_response.other.l3_miss.snoop_hit_no_fwd_1, 0x1bb, 0x43c008000
offcore_response.other.l3_miss.snoop_miss_0, 0x1b7, 0x23c008000
offcore_response.other.l3_miss.snoop_miss_1, 0x1bb, 0x23c008000
offcore_response.other.l3_miss.snoop_none_0, 0x1b7, 0xbc008000
offcore_response.other.l3_miss.snoop_none_1, 0x1bb, 0xbc008000
offcore_response.other.l3_miss.snoop_not_needed_0, 0x1b7, 0x13c008000
offcore_response.other.l3_miss.snoop_not_needed_1, 0x1bb, 0x13c008000
offcore_response.other.l3_miss_local_dram.any_snoop_0, 0x1b7, 0x3f84008000
offcore_response.other.l3_miss_local_dram.any_snoop_1, 0x1bb, 0x3f84008000
offcore_response.other.l3_miss_local_dram.snoop_hit_no_fwd_0, 0x1b7, 0x404008000
offcore_response.other.l3_miss_local_dram.snoop_hit_no_fwd_1, 0x1bb, 0x404008000
offcore_response.other.l3_miss_local_dram.snoop_hitm_0, 0x1b7, 0x1004008000
offcore_response.other.l3_miss_local_dram.snoop_hitm_1, 0x1bb, 0x1004008000
offcore_response.other.l3_miss_local_dram.snoop_miss_0, 0x1b7, 0x204008000
offcore_response.other.l3_miss_local_dram.snoop_miss_1, 0x1bb, 0x204008000
offcore_response.other.l3_miss_local_dram.snoop_non_dram_0, 0x1b7, 0x2004008000
offcore_response.other.l3_miss_local_dram.snoop_non_dram_1, 0x1bb, 0x2004008000
offcore_response.other.l3_miss_local_dram.snoop_none_0, 0x1b7, 0x84008000
offcore_response.other.l3_miss_local_dram.snoop_none_1, 0x1bb, 0x84008000
offcore_response.other.l3_miss_local_dram.snoop_not_needed_0, 0x1b7, 0x104008000
offcore_response.other.l3_miss_local_dram.snoop_not_needed_1, 0x1bb, 0x104008000
offcore_response.other.supplier_none.any_snoop_0, 0x1b7, 0x3f80028000
offcore_response.other.supplier_none.any_snoop_1, 0x1bb, 0x3f80028000
offcore_response.other.supplier_none.snoop_hit_no_fwd_0, 0x1b7, 0x400028000
offcore_response.other.supplier_none.snoop_hit_no_fwd_1, 0x1bb, 0x400028000
offcore_response.other.supplier_none.snoop_hitm_0, 0x1b7, 0x1000028000
offcore_response.other.supplier_none.snoop_hitm_1, 0x1bb, 0x1000028000
offcore_response.other.supplier_none.snoop_miss_0, 0x1b7, 0x200028000
offcore_response.other.supplier_none.snoop_miss_1, 0x1bb, 0x200028000
offcore_response.other.supplier_none.snoop_non_dram_0, 0x1b7, 0x2000028000
offcore_response.other.supplier_none.snoop_non_dram_1, 0x1bb, 0x2000028000
offcore_response.other.supplier_none.snoop_none_0, 0x1b7, 0x80028000
offcore_response.other.supplier_none.snoop_none_1, 0x1bb, 0x80028000
offcore_response.other.supplier_none.snoop_not_needed_0, 0x1b7, 0x100028000
