arith.div_active, 0x3cd
icache_tag.stalls_inuse, 0x1083
icache_tag.stalls_isb, 0x883
idq.dsb_cycles_any, 0x879
idq.dsb_cycles_ok, 0x879
idq.dsb_uops, 0x879
idq.mite_cycles_any, 0x479
idq.mite_cycles_ok, 0x479
idq.mite_uops, 0x479
idq.ms_cycles_any, 0x2079
idq.ms_switches, 0x2079
idq.ms_uops, 0x2079
idq_bubbles.core, 0x19c
idq_bubbles.cycles_0_uops_deliv.core, 0x19c
idq_bubbles.cycles_fe_was_ok, 0x19c
idq_uops_not_delivered.core, 0x19c
idq_uops_not_delivered.cycles_0_uops_deliv.core, 0x19c
idq_uops_not_delivered.cycles_fe_was_ok, 0x19c
inst_decoded.decoders, 0x175
inst_retired.any_p, 0xc0
inst_retired.macro_fused, 0x10c0
inst_retired.nop, 0x2c0
inst_retired.rep_iteration, 0x8c0
int_misc.clear_resteer_cycles, 0x80ad
int_misc.clears_count, 0x1ad
int_misc.recovery_cycles, 0x1ad
int_misc.unknown_branch_cycles, 0x40ad, 0x7
int_misc.uop_dropping, 0x10ad
int_vec_retired.128bit, 0x13e7
int_vec_retired.256bit, 0xace7
int_vec_retired.add_128, 0x3e7
int_vec_retired.add_256, 0xce7
int_vec_retired.mul_256, 0x80e7
int_vec_retired.shuffles, 0x40e7
int_vec_retired.vnni_128, 0x10e7
int_vec_retired.vnni_256, 0x20e7
itlb_misses.miss_caused_walk, 0x185
itlb_misses.stlb_hit, 0x2085
itlb_misses.walk_active, 0x1011
itlb_misses.walk_completed, 0xe85
itlb_misses.walk_completed_2m_4m, 0x485
itlb_misses.walk_completed_4k, 0x285
itlb_misses.walk_pending, 0x1085
l1d.hwpf_miss, 0x2051
l1d.replacement, 0x151
l1d_pend_miss.fb_full, 0x248
l1d_pend_miss.fb_full_periods, 0x248
l1d_pend_miss.l2_stalls, 0x448
l1d_pend_miss.pending, 0x148
l1d_pend_miss.pending_cycles, 0x148
l2_lines_in.all, 0x1f25
l2_lines_in.e, 0x425
l2_lines_in.f, 0x1025
l2_lines_in.m, 0x825
l2_lines_in.s, 0x225
l2_lines_out.non_silent, 0x226
l2_lines_out.silent, 0x126
l2_lines_out.useless_hwpf, 0x426
l2_request.all, 0xff24
l2_request.hit, 0x224
l2_request.miss, 0x124
l2_request.rejects, 0x424
l2_rqsts.all_code_rd, 0xe424
