lsd.inactive, 0x1a8
lsd_overflow, 0x120
machine_clears.cycles, 0x1c3
machine_clears.mem_order, 0x2c3
machine_clears.smc, 0x4c3
macro_insts.decoded, 0x1d0
macro_insts.fusions_decoded, 0x1a6
mem_inst_retired.latency_above_threshold_0, 0x100b
mem_inst_retired.latency_above_threshold_1024, 0x100b, 0x400
mem_inst_retired.latency_above_threshold_128, 0x100b, 0x80
mem_inst_retired.latency_above_threshold_16, 0x100b, 0x10
mem_inst_retired.latency_above_threshold_16384, 0x100b, 0x4000
mem_inst_retired.latency_above_threshold_2048, 0x100b, 0x800
mem_inst_retired.latency_above_threshold_256, 0x100b, 0x100
mem_inst_retired.latency_above_threshold_32, 0x100b, 0x20
mem_inst_retired.latency_above_threshold_32768, 0x100b, 0x8000
mem_inst_retired.latency_above_threshold_4, 0x100b, 0x4
mem_inst_retired.latency_above_threshold_4096, 0x100b, 0x1000
mem_inst_retired.latency_above_threshold_512, 0x100b, 0x200
mem_inst_retired.latency_above_threshold_64, 0x100b, 0x40
mem_inst_retired.latency_above_threshold_8, 0x100b, 0x8
mem_inst_retired.latency_above_threshold_8192, 0x100b, 0x2000
mem_inst_retired.loads, 0x10b
mem_inst_retired.stores, 0x20b
mem_load_retired.dtlb_miss, 0x80cb
mem_load_retired.hit_lfb, 0x40cb
mem_load_retired.l1d_hit, 0x1cb
mem_load_retired.l2_hit, 0x2cb
mem_load_retired.llc_miss, 0x10cb
mem_load_retired.llc_unshared_hit, 0x4cb
mem_load_retired.other_core_l2_hit_hitm, 0x8cb
mem_store_retired.dtlb_miss, 0x10c
offcore_requests.l1d_writeback, 0x40b0
offcore_requests_sq_full, 0x1b2
offcore_response.any_data.any_cache_dram, 0x1b7, 0x7f11
offcore_response.any_data.any_dram, 0x1b7, 0x6011
offcore_response.any_data.any_llc_miss, 0x1b7, 0xf811
offcore_response.any_data.any_location, 0x1b7, 0xff11
offcore_response.any_data.io_csr_mmio, 0x1b7, 0x8011
offcore_response.any_data.llc_hit_no_other_core, 0x1b7, 0x111
offcore_response.any_data.llc_hit_other_core_hit, 0x1b7, 0x211
offcore_response.any_data.llc_hit_other_core_hitm, 0x1b7, 0x411
offcore_response.any_data.local_cache, 0x1b7, 0x711
offcore_response.any_data.local_cache_dram, 0x1b7, 0x4711
offcore_response.any_data.local_dram, 0x1b7, 0x4011
offcore_response.any_data.remote_cache, 0x1b7, 0x1811
offcore_response.any_data.remote_cache_dram, 0x1b7, 0x3811
offcore_response.any_data.remote_cache_hit, 0x1b7, 0x1011
offcore_response.any_data.remote_cache_hitm, 0x1b7, 0x811
offcore_response.any_data.remote_dram, 0x1b7, 0x2011
offcore_response.any_ifetch.any_cache_dram, 0x1b7, 0x7f44
offcore_response.any_ifetch.any_dram, 0x1b7, 0x6044
offcore_response.any_ifetch.any_llc_miss, 0x1b7, 0xf844
offcore_response.any_ifetch.any_location, 0x1b7, 0xff44
offcore_response.any_ifetch.io_csr_mmio, 0x1b7, 0x8044
offcore_response.any_ifetch.llc_hit_no_other_core, 0x1b7, 0x144
offcore_response.any_ifetch.llc_hit_other_core_hit, 0x1b7, 0x244
