arith.fpu_div, 0x414
l2_rqsts.all_pf, 0xc024
l2_rqsts.all_rfo, 0xc24
l2_rqsts.code_rd_hit, 0x1024
l2_rqsts.code_rd_miss, 0x2024
l2_rqsts.demand_data_rd_hit, 0x124
l2_rqsts.pf_hit, 0x4024
l2_rqsts.pf_miss, 0x8024
l2_rqsts.rfo_hit, 0x424
l2_rqsts.rfo_miss, 0x824
l2_store_lock_rqsts.all, 0xf27
l2_store_lock_rqsts.hit_m, 0x827
l2_store_lock_rqsts.miss, 0x127
l2_trans.all_pf, 0x8f0
l2_trans.all_requests, 0x80f0
l2_trans.code_rd, 0x4f0
l2_trans.demand_data_rd, 0x1f0
l2_trans.l1d_wb, 0x10f0
l2_trans.l2_fill, 0x20f0
l2_trans.l2_wb, 0x40f0
l2_trans.rfo, 0x2f0
ld_blocks.no_sr, 0x803
ld_blocks.store_forward, 0x203
ld_blocks_partial.address_alias, 0x107
load_hit_pre.hw_pf, 0x24c
load_hit_pre.sw_pf, 0x14c
lock_cycles.cache_lock_duration, 0x263
lock_cycles.split_lock_uc_lock_duration, 0x163
longest_lat_cache.miss, 0x412e
longest_lat_cache.reference, 0x4f2e
lsd.cycles_4_uops, 0x1a8
lsd.cycles_active, 0x1a8
lsd.uops, 0x1a8
machine_clears.count, 0x1c3
machine_clears.maskmov, 0x20c3
machine_clears.memory_ordering, 0x2c3
machine_clears.smc, 0x4c3
mem_load_uops_llc_hit_retired.xsnp_hit, 0x2d2
mem_load_uops_llc_hit_retired.xsnp_hitm, 0x4d2
mem_load_uops_llc_hit_retired.xsnp_miss, 0x1d2
mem_load_uops_llc_hit_retired.xsnp_none, 0x8d2
mem_load_uops_llc_miss_retired.local_dram, 0x3d3
mem_load_uops_llc_miss_retired.remote_dram, 0xcd3
mem_load_uops_llc_miss_retired.remote_fwd, 0x20d3
mem_load_uops_llc_miss_retired.remote_hitm, 0x10d3
mem_load_uops_retired.hit_lfb, 0x40d1
mem_load_uops_retired.l1_hit, 0x1d1
mem_load_uops_retired.l1_miss, 0x8d1
mem_load_uops_retired.l2_hit, 0x2d1
mem_load_uops_retired.l2_miss, 0x10d1
mem_load_uops_retired.llc_hit, 0x4d1
mem_load_uops_retired.llc_miss, 0x20d1
mem_trans_retired.load_latency_gt_128, 0x1cd, 0x80
mem_trans_retired.load_latency_gt_16, 0x1cd, 0x10
mem_trans_retired.load_latency_gt_256, 0x1cd, 0x100
mem_trans_retired.load_latency_gt_32, 0x1cd, 0x20
mem_trans_retired.load_latency_gt_4, 0x1cd, 0x4
mem_trans_retired.load_latency_gt_512, 0x1cd, 0x200
mem_trans_retired.load_latency_gt_64, 0x1cd, 0x40
mem_trans_retired.load_latency_gt_8, 0x1cd, 0x8
mem_trans_retired.precise_store, 0x2cd
mem_uops_retired.all_loads, 0x81d0
mem_uops_retired.all_stores, 0x82d0
mem_uops_retired.lock_loads, 0x21d0
mem_uops_retired.split_loads, 0x41d0
mem_uops_retired.split_stores, 0x42d0
mem_uops_retired.stlb_miss_loads, 0x11d0
mem_uops_retired.stlb_miss_stores, 0x12d0
misalign_mem_ref.loads, 0x105
misalign_mem_ref.stores, 0x205
move_elimination.int_eliminated, 0x158
move_elimination.int_not_eliminated, 0x458
move_elimination.simd_eliminated, 0x258
move_elimination.simd_not_eliminated, 0x858
offcore_requests.all_data_rd, 0x8b0
offcore_requests.demand_code_rd, 0x2b0
offcore_requests.demand_data_rd, 0x1b0
offcore_requests.demand_rfo, 0x4b0
offcore_requests_buffer.sq_full, 0x1b2
offcore_requests_outstanding.all_data_rd, 0x860
offcore_requests_outstanding.cycles_with_data_rd, 0x860
offcore_requests_outstanding.cycles_with_demand_code_rd, 0x260
offcore_requests_outstanding.cycles_with_demand_data_rd, 0x160
offcore_requests_outstanding.cycles_with_demand_rfo, 0x460
offcore_requests_outstanding.demand_code_rd, 0x260
offcore_requests_outstanding.demand_data_rd, 0x160
offcore_requests_outstanding.demand_data_rd_ge_6, 0x160
offcore_requests_outstanding.demand_rfo, 0x460
offcore_response.all_code_rd.llc_miss.any_response_0, 0x1b7, 0x3fffc00244
offcore_response.all_code_rd.llc_miss.any_response_1, 0x1bb, 0x3fffc00244
offcore_response.all_code_rd.llc_miss.remote_dram_0, 0x1b7, 0x67f800244
offcore_response.all_code_rd.llc_miss.remote_dram_1, 0x1bb, 0x67f800244
offcore_response.all_code_rd.llc_miss.remote_hit_forward_0, 0x1b7, 0x87f800244
offcore_response.all_code_rd.llc_miss.remote_hit_forward_1, 0x1bb, 0x87f800244
offcore_response.all_data_rd.llc_hit.hit_other_core_no_fwd_0, 0x1b7, 0x4003c0091
offcore_response.all_data_rd.llc_hit.hit_other_core_no_fwd_1, 0x1bb, 0x4003c0091
offcore_response.all_data_rd.llc_hit.hitm_other_core_0, 0x1b7, 0x10003c0091
offcore_response.all_data_rd.llc_hit.hitm_other_core_1, 0x1bb, 0x10003c0091
offcore_response.all_data_rd.llc_hit.no_snoop_needed_0, 0x1b7, 0x1003c0091
offcore_response.all_data_rd.llc_hit.no_snoop_needed_1, 0x1bb, 0x1003c0091
offcore_response.all_data_rd.llc_hit.snoop_miss_0, 0x1b7, 0x2003c0091
offcore_response.all_data_rd.llc_hit.snoop_miss_1, 0x1bb, 0x2003c0091
offcore_response.all_data_rd.llc_miss.any_response_0, 0x1b7, 0x3fffc20091
offcore_response.all_data_rd.llc_miss.any_response_1, 0x1bb, 0x3fffc20091
offcore_response.all_pf_data_rd.llc_hit.any_response_0, 0x1b7, 0x3f803c0090
offcore_response.all_pf_data_rd.llc_hit.any_response_1, 0x1bb, 0x3f803c0090
offcore_response.all_pf_data_rd.llc_hit.hit_other_core_no_fwd_0, 0x1b7, 0x4003c0090
offcore_response.all_pf_data_rd.llc_hit.hit_other_core_no_fwd_1, 0x1bb, 0x4003c0090
offcore_response.all_pf_data_rd.llc_hit.hitm_other_core_0, 0x1b7, 0x10003c0090
offcore_response.all_pf_data_rd.llc_hit.hitm_other_core_1, 0x1bb, 0x10003c0090
offcore_response.all_pf_data_rd.llc_hit.no_snoop_needed_0, 0x1b7, 0x1003c0090
offcore_response.all_pf_data_rd.llc_hit.no_snoop_needed_1, 0x1bb, 0x1003c0090
offcore_response.all_pf_data_rd.llc_hit.snoop_miss_0, 0x1b7, 0x2003c0090
offcore_response.all_pf_data_rd.llc_hit.snoop_miss_1, 0x1bb, 0x2003c0090
offcore_response.all_reads.llc_hit.any_response_0, 0x1b7, 0x3f803c03f7
offcore_response.all_reads.llc_hit.any_response_1, 0x1bb, 0x3f803c03f7
offcore_response.all_reads.llc_hit.hit_other_core_no_fwd_0, 0x1b7, 0x4003c03f7
offcore_response.all_reads.llc_hit.hit_other_core_no_fwd_1, 0x1bb, 0x4003c03f7
offcore_response.all_reads.llc_hit.hitm_other_core_0, 0x1b7, 0x10003c03f7
offcore_response.all_reads.llc_hit.hitm_other_core_1, 0x1bb, 0x10003c03f7
offcore_response.all_reads.llc_hit.no_snoop_needed_0, 0x1b7, 0x1003c03f7
offcore_response.all_reads.llc_hit.no_snoop_needed_1, 0x1bb, 0x1003c03f7
offcore_response.all_reads.llc_hit.snoop_miss_0, 0x1b7, 0x2003c03f7
offcore_response.all_reads.llc_hit.snoop_miss_1, 0x1bb, 0x2003c03f7
offcore_response.all_reads.llc_miss.any_response_0, 0x1b7, 0x3fffc203f7
offcore_response.all_reads.llc_miss.any_response_1, 0x1bb, 0x3fffc203f7
offcore_response.all_reads.llc_miss.local_dram_0, 0x1b7, 0x6004003f7
offcore_response.all_reads.llc_miss.local_dram_1, 0x1bb, 0x6004003f7
offcore_response.all_reads.llc_miss.remote_hit_forward_0, 0x1b7, 0x87f8203f7
offcore_response.all_reads.llc_miss.remote_hit_forward_1, 0x1bb, 0x87f8203f7
offcore_response.all_reads.llc_miss.remote_hitm_0, 0x1b7, 0x107fc003f7
offcore_response.all_reads.llc_miss.remote_hitm_1, 0x1bb, 0x107fc003f7
offcore_response.corewb.any_response_0, 0x1b7, 0x10008
offcore_response.corewb.any_response_1, 0x1bb, 0x10008
offcore_response.demand_code_rd.llc_hit.any_response_0, 0x1b7, 0x3f803c0004
offcore_response.demand_code_rd.llc_hit.any_response_1, 0x1bb, 0x3f803c0004
offcore_response.demand_code_rd.llc_miss.any_response_0, 0x1b7, 0x3fffc20004
offcore_response.demand_code_rd.llc_miss.any_response_1, 0x1bb, 0x3fffc20004
offcore_response.demand_code_rd.llc_miss.local_dram_0, 0x1b7, 0x600400004
offcore_response.demand_code_rd.llc_miss.local_dram_1, 0x1bb, 0x600400004
offcore_response.demand_code_rd.llc_miss.remote_dram_0, 0x1b7, 0x67f800004
offcore_response.demand_code_rd.llc_miss.remote_dram_1, 0x1bb, 0x67f800004
offcore_response.demand_code_rd.llc_miss.remote_hit_forward_0, 0x1b7, 0x87f820004
offcore_response.demand_code_rd.llc_miss.remote_hit_forward_1, 0x1bb, 0x87f820004
offcore_response.demand_code_rd.llc_miss.remote_hitm_0, 0x1b7, 0x107fc00004
offcore_response.demand_code_rd.llc_miss.remote_hitm_1, 0x1bb, 0x107fc00004
offcore_response.demand_data_rd.llc_hit.any_response_0, 0x1b7, 0x3f803c0001
offcore_response.demand_data_rd.llc_hit.any_response_1, 0x1bb, 0x3f803c0001
offcore_response.demand_data_rd.llc_hit.hit_other_core_no_fwd_0, 0x1b7, 0x4003c0001
offcore_response.demand_data_rd.llc_hit.hit_other_core_no_fwd_1, 0x1bb, 0x4003c0001
offcore_response.demand_data_rd.llc_hit.hitm_other_core_0, 0x1b7, 0x10003c0001
offcore_response.demand_data_rd.llc_hit.hitm_other_core_1, 0x1bb, 0x10003c0001
offcore_response.demand_data_rd.llc_hit.no_snoop_needed_0, 0x1b7, 0x1003c0001
offcore_response.demand_data_rd.llc_hit.no_snoop_needed_1, 0x1bb, 0x1003c0001
offcore_response.demand_data_rd.llc_hit.snoop_miss_0, 0x1b7, 0x2003c0001
offcore_response.demand_data_rd.llc_hit.snoop_miss_1, 0x1bb, 0x2003c0001
offcore_response.demand_data_rd.llc_miss.any_dram_0, 0x1b7, 0x67fc00001
offcore_response.demand_data_rd.llc_miss.any_dram_1, 0x1bb, 0x67fc00001
offcore_response.demand_data_rd.llc_miss.any_response_0, 0x1b7, 0x3fffc20001
offcore_response.demand_data_rd.llc_miss.any_response_1, 0x1bb, 0x3fffc20001
offcore_response.demand_data_rd.llc_miss.local_dram_0, 0x1b7, 0x600400001
offcore_response.demand_data_rd.llc_miss.local_dram_1, 0x1bb, 0x600400001
offcore_response.demand_data_rd.llc_miss.remote_dram_0, 0x1b7, 0x67f800001
offcore_response.demand_data_rd.llc_miss.remote_dram_1, 0x1bb, 0x67f800001
offcore_response.demand_data_rd.llc_miss.remote_hit_forward_0, 0x1b7, 0x87f820001
offcore_response.demand_data_rd.llc_miss.remote_hit_forward_1, 0x1bb, 0x87f820001
offcore_response.demand_data_rd.llc_miss.remote_hitm_0, 0x1b7, 0x107fc00001
offcore_response.demand_data_rd.llc_miss.remote_hitm_1, 0x1bb, 0x107fc00001
offcore_response.demand_rfo.llc_hit.hitm_other_core_0, 0x1b7, 0x10003c0002
offcore_response.demand_rfo.llc_hit.hitm_other_core_1, 0x1bb, 0x10003c0002
offcore_response.demand_rfo.llc_miss.remote_hitm_0, 0x1b7, 0x107fc20002
offcore_response.demand_rfo.llc_miss.remote_hitm_1, 0x1bb, 0x107fc20002
offcore_response.other.lru_hints_0, 0x1b7, 0x803c8000
offcore_response.other.lru_hints_1, 0x1bb, 0x803c8000
offcore_response.other.portio_mmio_uc_0, 0x1b7, 0x23ffc08000
offcore_response.other.portio_mmio_uc_1, 0x1bb, 0x23ffc08000
offcore_response.pf_l2_code_rd.llc_hit.any_response_0, 0x1b7, 0x3f803c0040
offcore_response.pf_l2_code_rd.llc_hit.any_response_1, 0x1bb, 0x3f803c0040
offcore_response.pf_l2_code_rd.llc_miss.any_response_0, 0x1b7, 0x3fffc20040
offcore_response.pf_l2_code_rd.llc_miss.any_response_1, 0x1bb, 0x3fffc20040
offcore_response.pf_l2_data_rd.llc_hit.any_response_0, 0x1b7, 0x3f803c0010
offcore_response.pf_l2_data_rd.llc_hit.any_response_1, 0x1bb, 0x3f803c0010
offcore_response.pf_l2_data_rd.llc_hit.hit_other_core_no_fwd_0, 0x1b7, 0x4003c0010
offcore_response.pf_l2_data_rd.llc_hit.hit_other_core_no_fwd_1, 0x1bb, 0x4003c0010
offcore_response.pf_l2_data_rd.llc_hit.hitm_other_core_0, 0x1b7, 0x10003c0010
offcore_response.pf_l2_data_rd.llc_hit.hitm_other_core_1, 0x1bb, 0x10003c0010
offcore_response.pf_l2_data_rd.llc_hit.no_snoop_needed_0, 0x1b7, 0x1003c0010
offcore_response.pf_l2_data_rd.llc_hit.no_snoop_needed_1, 0x1bb, 0x1003c0010
offcore_response.pf_l2_data_rd.llc_hit.snoop_miss_0, 0x1b7, 0x2003c0010
offcore_response.pf_l2_data_rd.llc_hit.snoop_miss_1, 0x1bb, 0x2003c0010
offcore_response.pf_l2_data_rd.llc_miss.any_dram_0, 0x1b7, 0x67fc00010
offcore_response.pf_l2_data_rd.llc_miss.any_dram_1, 0x1bb, 0x67fc00010
offcore_response.pf_l2_data_rd.llc_miss.any_response_0, 0x1b7, 0x3fffc20010
offcore_response.pf_l2_data_rd.llc_miss.any_response_1, 0x1bb, 0x3fffc20010
offcore_response.pf_l2_data_rd.llc_miss.local_dram_0, 0x1b7, 0x600400010
offcore_response.pf_l2_data_rd.llc_miss.local_dram_1, 0x1bb, 0x600400010
offcore_response.pf_l2_data_rd.llc_miss.remote_dram_0, 0x1b7, 0x67f800010
offcore_response.pf_l2_data_rd.llc_miss.remote_dram_1, 0x1bb, 0x67f800010
offcore_response.pf_l2_data_rd.llc_miss.remote_hit_forward_0, 0x1b7, 0x87f820010
offcore_response.pf_l2_data_rd.llc_miss.remote_hit_forward_1, 0x1bb, 0x87f820010
offcore_response.pf_l2_data_rd.llc_miss.remote_hitm_0, 0x1b7, 0x107fc00010
offcore_response.pf_l2_data_rd.llc_miss.remote_hitm_1, 0x1bb, 0x107fc00010
offcore_response.pf_llc_code_rd.llc_hit.any_response_0, 0x1b7, 0x3f803c0200
offcore_response.pf_llc_code_rd.llc_hit.any_response_1, 0x1bb, 0x3f803c0200
offcore_response.pf_llc_code_rd.llc_miss.any_response_0, 0x1b7, 0x3fffc20200
offcore_response.pf_llc_code_rd.llc_miss.any_response_1, 0x1bb, 0x3fffc20200
offcore_response.pf_llc_data_rd.llc_hit.any_response_0, 0x1b7, 0x3f803c0080
offcore_response.pf_llc_data_rd.llc_hit.any_response_1, 0x1bb, 0x3f803c0080
offcore_response.pf_llc_data_rd.llc_hit.hit_other_core_no_fwd_0, 0x1b7, 0x4003c0080
offcore_response.pf_llc_data_rd.llc_hit.hit_other_core_no_fwd_1, 0x1bb, 0x4003c0080
offcore_response.pf_llc_data_rd.llc_hit.hitm_other_core_0, 0x1b7, 0x10003c0080
offcore_response.pf_llc_data_rd.llc_hit.hitm_other_core_1, 0x1bb, 0x10003c0080
offcore_response.pf_llc_data_rd.llc_hit.no_snoop_needed_0, 0x1b7, 0x1003c0080
offcore_response.pf_llc_data_rd.llc_hit.no_snoop_needed_1, 0x1bb, 0x1003c0080
