arith.fpu_div, 0x414
unc_c_rxr_occupancy.vfifo, 0x1011
unc_c_tor_inserts.all, 0x835
unc_c_tor_inserts.eviction, 0x435
unc_c_tor_inserts.local, 0x2835
unc_c_tor_inserts.local_opcode, 0x2135
unc_c_tor_inserts.miss_local, 0x2a35
unc_c_tor_inserts.miss_local_opcode, 0x2335
unc_c_tor_inserts.miss_opcode, 0x335
unc_c_tor_inserts.miss_remote, 0x8a35
unc_c_tor_inserts.miss_remote_opcode, 0x8335
unc_c_tor_inserts.nid_all, 0x4835
unc_c_tor_inserts.nid_eviction, 0x4435
unc_c_tor_inserts.nid_miss_all, 0x4a35
unc_c_tor_inserts.nid_miss_opcode, 0x4335
unc_c_tor_inserts.nid_opcode, 0x4135
unc_c_tor_inserts.nid_wb, 0x5035
unc_c_tor_inserts.opcode, 0x135
unc_c_tor_inserts.remote, 0x8835
unc_c_tor_inserts.remote_opcode, 0x8135
unc_c_tor_inserts.wb, 0x1035
unc_c_tor_occupancy.all, 0x836
unc_c_tor_occupancy.eviction, 0x436
unc_c_tor_occupancy.local, 0x2836
unc_c_tor_occupancy.local_opcode, 0x2136
unc_c_tor_occupancy.miss_all, 0xa36
unc_c_tor_occupancy.miss_local, 0x2a36
unc_c_tor_occupancy.miss_local_opcode, 0x2336
unc_c_tor_occupancy.miss_opcode, 0x336
unc_c_tor_occupancy.miss_remote, 0x8a36
unc_c_tor_occupancy.miss_remote_opcode, 0x8336
unc_c_tor_occupancy.nid_all, 0x4836
unc_c_tor_occupancy.nid_eviction, 0x4436
unc_c_tor_occupancy.nid_miss_all, 0x4a36
unc_c_tor_occupancy.nid_miss_opcode, 0x4336
unc_c_tor_occupancy.nid_opcode, 0x4136
unc_c_tor_occupancy.nid_wb, 0x5036
unc_c_tor_occupancy.opcode, 0x136
unc_c_tor_occupancy.remote, 0x8836
unc_c_tor_occupancy.remote_opcode, 0x8136
unc_c_tor_occupancy.wb, 0x1036
unc_c_txr_ads_used.ad, 0x104
unc_c_txr_ads_used.ak, 0x204
unc_c_txr_ads_used.bl, 0x404
unc_c_txr_inserts.ad_cache, 0x102
unc_c_txr_inserts.ad_core, 0x1002
unc_c_txr_inserts.ak_cache, 0x202
unc_c_txr_inserts.ak_core, 0x2002
unc_c_txr_inserts.bl_cache, 0x402
unc_c_txr_inserts.bl_core, 0x4002
unc_c_txr_inserts.iv_cache, 0x802
unc_c_txr_starved.ad_core, 0x1003
unc_c_txr_starved.ak_both, 0x203
unc_c_txr_starved.iv, 0x803
unc_h_bt_bypass, 0x52
unc_h_bt_cycles_ne, 0x42
unc_h_bt_cycles_ne.local, 0x142
unc_h_bt_cycles_ne.remote, 0x242
unc_h_bt_occupancy.local, 0x143
unc_h_bt_occupancy.reads_local, 0x443
unc_h_bt_occupancy.reads_remote, 0x843
unc_h_bt_occupancy.remote, 0x243
unc_h_bt_occupancy.writes_local, 0x1043
unc_h_bt_occupancy.writes_remote, 0x2043
unc_h_bt_to_ht_not_issued.incoming_bl_hazard, 0x451
unc_h_bt_to_ht_not_issued.incoming_snp_hazard, 0x251
unc_h_bt_to_ht_not_issued.rspackcflt_hazard, 0x851
unc_h_bt_to_ht_not_issued.wbmdata_hazard, 0x1051
unc_h_bypass_imc.not_taken, 0x214
unc_h_bypass_imc.taken, 0x114
unc_h_conflict_cycles.ackcnflts, 0x80b
unc_h_conflict_cycles.cmp_fwds, 0x100b
unc_h_conflict_cycles.conflict, 0x20b
unc_h_conflict_cycles.last, 0x40b
unc_h_direct2core_count, 0x11
unc_h_direct2core_cycles_disabled, 0x12
unc_h_direct2core_txn_override, 0x13
unc_h_directory_lat_opt, 0x41
unc_h_directory_lookup.any, 0x100c
unc_h_directory_lookup.no_snp, 0x20c
unc_h_directory_lookup.snoop_a, 0x80c
unc_h_directory_lookup.snoop_s, 0x20c
unc_h_directory_lookup.snp, 0x10c
unc_h_directory_lookup.state_a, 0x800c
unc_h_directory_lookup.state_i, 0x200c
unc_h_directory_lookup.state_s, 0x400c
unc_h_directory_update.a2i, 0x200d
unc_h_directory_update.a2s, 0x400d
unc_h_directory_update.any, 0x30d
unc_h_directory_update.clear, 0x20d
unc_h_directory_update.i2a, 0x40d
unc_h_directory_update.i2s, 0x20d
unc_h_directory_update.s2a, 0x100d
unc_h_directory_update.s2i, 0x80d
unc_h_directory_update.set, 0x10d
unc_h_igr_ad_qpi2_accumulator, 0x59
unc_h_igr_bl_qpi2_accumulator, 0x5a
unc_h_igr_credits_ad_qpi2, 0x59
unc_h_igr_credits_bl_qpi2, 0x5a
unc_h_igr_no_credit_cycles.ad_qpi0, 0x122
unc_h_igr_no_credit_cycles.ad_qpi1, 0x222
unc_h_igr_no_credit_cycles.bl_qpi0, 0x422
unc_h_igr_no_credit_cycles.bl_qpi1, 0x822
unc_h_imc_reads.normal, 0x117
unc_h_imc_retry, 0x1e
unc_h_imc_writes.all, 0xf1a
unc_h_imc_writes.full, 0x11a
unc_h_imc_writes.full_isoch, 0x41a
unc_h_imc_writes.partial, 0x21a
unc_h_imc_writes.partial_isoch, 0x81a
unc_h_iodc_conflicts.any, 0x157
unc_h_iodc_conflicts.last, 0x457
unc_h_iodc_conflicts.remote_invi2e_same_rtid, 0x157
unc_h_iodc_conflicts.remote_other_same_addr, 0x457
unc_h_iodc_inserts, 0x56
unc_h_iodc_olen_wbmtoi, 0x58
unc_h_osb.invitoe_local, 0x453
unc_h_osb.reads_local, 0x253
unc_h_osb.remote, 0x853
unc_h_osb_edr.all, 0x154
unc_h_osb_edr.reads_local_i, 0x254
unc_h_osb_edr.reads_local_s, 0x854
unc_h_osb_edr.reads_remote_i, 0x454
unc_h_osb_edr.reads_remote_s, 0x1054
unc_h_requests.invitoe_local, 0x1001
unc_h_requests.invitoe_remote, 0x2001
unc_h_requests.reads, 0x301
unc_h_requests.reads_local, 0x101
unc_h_requests.reads_remote, 0x201
unc_h_requests.writes, 0xc01
unc_h_requests.writes_local, 0x401
unc_h_requests.writes_remote, 0x801
unc_h_ring_ad_used.ccw, 0xcc3e
unc_h_ring_ad_used.ccw_vr0_even, 0x43e
unc_h_ring_ad_used.ccw_vr0_odd, 0x83e
unc_h_ring_ad_used.ccw_vr1_even, 0x403e
unc_h_ring_ad_used.ccw_vr1_odd, 0x803e
unc_h_ring_ad_used.cw, 0x333e
unc_h_ring_ad_used.cw_vr0_even, 0x13e
unc_h_ring_ad_used.cw_vr0_odd, 0x23e
unc_h_ring_ad_used.cw_vr1_even, 0x103e
unc_h_ring_ad_used.cw_vr1_odd, 0x203e
unc_h_ring_ak_used.ccw, 0xcc3f
unc_h_ring_ak_used.ccw_vr0_even, 0x43f
unc_h_ring_ak_used.ccw_vr0_odd, 0x83f
unc_h_ring_ak_used.ccw_vr1_even, 0x403f
unc_h_ring_ak_used.ccw_vr1_odd, 0x803f
unc_h_ring_ak_used.cw, 0x333f
unc_h_ring_ak_used.cw_vr0_even, 0x13f
unc_h_ring_ak_used.cw_vr0_odd, 0x23f
unc_h_ring_ak_used.cw_vr1_even, 0x103f
unc_h_ring_ak_used.cw_vr1_odd, 0x203f
unc_h_ring_bl_used.ccw, 0xcc40
unc_h_ring_bl_used.ccw_vr0_even, 0x440
unc_h_ring_bl_used.ccw_vr0_odd, 0x840
unc_h_ring_bl_used.ccw_vr1_even, 0x4040
unc_h_ring_bl_used.ccw_vr1_odd, 0x8040
unc_h_ring_bl_used.cw, 0x3340
unc_h_ring_bl_used.cw_vr0_even, 0x140
unc_h_ring_bl_used.cw_vr0_odd, 0x240
unc_h_ring_bl_used.cw_vr1_even, 0x1040
unc_h_ring_bl_used.cw_vr1_odd, 0x2040
unc_h_rpq_cycles_no_reg_credits.chn0, 0x115
unc_h_rpq_cycles_no_reg_credits.chn1, 0x215
unc_h_rpq_cycles_no_reg_credits.chn2, 0x415
unc_h_rpq_cycles_no_reg_credits.chn3, 0x815
unc_h_rpq_cycles_no_spec_credits.chn0, 0x116
unc_h_rpq_cycles_no_spec_credits.chn1, 0x216
unc_h_rpq_cycles_no_spec_credits.chn2, 0x416
unc_h_rpq_cycles_no_spec_credits.chn3, 0x816
unc_h_snoop_resp.rsp_fwd_wb, 0x2021
unc_h_snoop_resp.rsp_wb, 0x1021
unc_h_snoop_resp.rspcnflct, 0x4021
unc_h_snoop_resp.rspi, 0x121
unc_h_snoop_resp.rspifwd, 0x421
unc_h_snoop_resp.rsps, 0x221
unc_h_snoop_resp.rspsfwd, 0x821
unc_h_snp_resp_recv_local.other, 0x8060
unc_h_snp_resp_recv_local.rspcnflct, 0x4060
unc_h_snp_resp_recv_local.rspi, 0x160
unc_h_snp_resp_recv_local.rspifwd, 0x460
unc_h_snp_resp_recv_local.rsps, 0x260
unc_h_snp_resp_recv_local.rspsfwd, 0x860
unc_h_snp_resp_recv_local.rspxfwdxwb, 0x2060
unc_h_snp_resp_recv_local.rspxwb, 0x1060
unc_h_tad_requests_g0.region0, 0x11b
unc_h_tad_requests_g0.region1, 0x21b
unc_h_tad_requests_g0.region2, 0x41b
unc_h_tad_requests_g0.region3, 0x81b
unc_h_tad_requests_g0.region4, 0x101b
unc_h_tad_requests_g0.region5, 0x201b
unc_h_tad_requests_g0.region6, 0x401b
unc_h_tad_requests_g0.region7, 0x801b
unc_h_tad_requests_g1.region10, 0x41c
unc_h_tad_requests_g1.region11, 0x81c
unc_h_tad_requests_g1.region8, 0x11c
unc_h_tad_requests_g1.region9, 0x21c
unc_h_tracker_cycles_ne, 0x3
unc_h_txr_ad.hom, 0x40f
unc_h_txr_ad_cycles_full.all, 0x32a
unc_h_txr_ad_cycles_full.sched0, 0x12a
unc_h_txr_ad_cycles_full.sched1, 0x22a
unc_h_txr_ad_cycles_ne.all, 0x329
unc_h_txr_ad_cycles_ne.sched0, 0x129
unc_h_txr_ad_cycles_ne.sched1, 0x229
unc_h_txr_ad_inserts.all, 0x327
unc_h_txr_ad_inserts.sched0, 0x127
unc_h_txr_ad_inserts.sched1, 0x227
unc_h_txr_ad_occupancy.sched0, 0x128
unc_h_txr_ad_occupancy.sched1, 0x228
unc_h_txr_ak.crd_cbo, 0x20e
unc_h_txr_ak_cycles_full.all, 0x332
unc_h_txr_ak_cycles_full.sched0, 0x132
unc_h_txr_ak_cycles_full.sched1, 0x232
unc_h_txr_ak_cycles_ne.all, 0x331
unc_h_txr_ak_cycles_ne.sched0, 0x131
unc_h_txr_ak_cycles_ne.sched1, 0x231
unc_h_txr_ak_inserts.all, 0x32f
unc_h_txr_ak_inserts.sched0, 0x12f
unc_h_txr_ak_inserts.sched1, 0x22f
unc_h_txr_ak_occupancy.sched0, 0x130
unc_h_txr_ak_occupancy.sched1, 0x230
unc_h_txr_bl.drs_cache, 0x110
unc_h_txr_bl.drs_core, 0x210
unc_h_txr_bl.drs_qpi, 0x410
unc_h_txr_bl_cycles_full.all, 0x336
unc_h_txr_bl_cycles_full.sched0, 0x136
unc_h_txr_bl_cycles_full.sched1, 0x236
unc_h_txr_bl_cycles_ne.all, 0x335
unc_h_txr_bl_cycles_ne.sched0, 0x135
unc_h_txr_bl_cycles_ne.sched1, 0x235
unc_h_txr_bl_inserts.all, 0x333
unc_h_txr_bl_inserts.sched0, 0x133
unc_h_txr_bl_inserts.sched1, 0x233
unc_h_txr_bl_occupancy.all, 0x334
unc_h_txr_bl_occupancy.sched0, 0x134
unc_h_txr_bl_occupancy.sched1, 0x234
unc_h_wpq_cycles_no_reg_credits.chn0, 0x118
unc_h_wpq_cycles_no_reg_credits.chn1, 0x218
unc_h_wpq_cycles_no_reg_credits.chn2, 0x418
unc_h_wpq_cycles_no_reg_credits.chn3, 0x818
unc_h_wpq_cycles_no_spec_credits.chn0, 0x119
unc_h_wpq_cycles_no_spec_credits.chn1, 0x219
unc_h_wpq_cycles_no_spec_credits.chn2, 0x419
unc_h_wpq_cycles_no_spec_credits.chn3, 0x819
unc_i_address_match.merge_count, 0x217
unc_i_address_match.stall_count, 0x117
unc_i_cache_ack_pending_occupancy.any, 0x114
unc_i_cache_ack_pending_occupancy.source, 0x214
unc_i_cache_own_occupancy.any, 0x113
unc_i_cache_own_occupancy.source, 0x213
unc_i_cache_read_occupancy.any, 0x110
unc_i_cache_read_occupancy.source, 0x210
unc_i_cache_total_occupancy.any, 0x112
unc_i_cache_total_occupancy.source, 0x212
unc_i_cache_write_occupancy.any, 0x111
unc_i_cache_write_occupancy.source, 0x211
unc_i_rxr_ak_cycles_full, 0xb
unc_i_rxr_ak_inserts, 0xa
unc_i_rxr_ak_occupancy, 0xc
unc_i_rxr_bl_drs_cycles_full, 0x4
unc_i_rxr_bl_drs_inserts, 0x1
unc_i_rxr_bl_drs_occupancy, 0x7
unc_i_rxr_bl_ncb_cycles_full, 0x5
unc_i_rxr_bl_ncb_inserts, 0x2
unc_i_rxr_bl_ncb_occupancy, 0x8
unc_i_rxr_bl_ncs_cycles_full, 0x6
unc_i_rxr_bl_ncs_inserts, 0x3
unc_i_rxr_bl_ncs_occupancy, 0x9
unc_i_tickles.lost_ownership, 0x116
unc_i_tickles.top_of_queue, 0x216
unc_i_transactions.pd_prefetches, 0x415
unc_i_transactions.rd_prefetches, 0x415
unc_i_transactions.reads, 0x115
unc_i_transactions.writes, 0x215
unc_i_txr_ad_stall_credit_cycles, 0x18
unc_i_txr_bl_stall_credit_cycles, 0x19
unc_i_txr_data_inserts_ncb, 0xe
unc_i_txr_data_inserts_ncs, 0xf
unc_i_txr_request_occupancy, 0xd
unc_i_write_ordering_stall_cycles, 0x1a
unc_m_act_count.byp, 0x801
unc_m_act_count.rd, 0x101
unc_m_act_count.wr, 0x201
unc_m_byp_cmds.act, 0x1a1
unc_m_byp_cmds.cas, 0x2a1
unc_m_byp_cmds.pre, 0x4a1
unc_m_cas_count.all, 0xf04
unc_m_cas_count.rd, 0x304
unc_m_cas_count.rd_reg, 0x104
unc_m_cas_count.rd_rmm, 0x2004
unc_m_cas_count.rd_underfill, 0x204
unc_m_cas_count.rd_wmm, 0x1004
unc_m_cas_count.wr, 0xc04
unc_m_cas_count.wr_rmm, 0x804
unc_m_cas_count.wr_wmm, 0x404
unc_m_dram_pre_all, 0x6
unc_m_dram_refresh.high, 0x405
unc_m_dram_refresh.panic, 0x205
unc_m_ecc_correctable_errors, 0x9
unc_m_major_modes.isoch, 0x807
unc_m_major_modes.partial, 0x407
unc_m_major_modes.read, 0x107
unc_m_major_modes.write, 0x207
unc_m_power_channel_dlloff, 0x84
unc_m_power_channel_ppd, 0x85
unc_m_power_cke_cycles.rank0, 0x183
unc_m_power_cke_cycles.rank1, 0x283
unc_m_power_cke_cycles.rank2, 0x483
unc_m_power_cke_cycles.rank3, 0x883
unc_m_power_cke_cycles.rank4, 0x1083
unc_m_power_cke_cycles.rank5, 0x2083
unc_m_power_cke_cycles.rank6, 0x4083
unc_m_power_cke_cycles.rank7, 0x8083
unc_m_power_critical_throttle_cycles, 0x86
unc_m_power_pcu_throttling, 0x42
unc_m_power_self_refresh, 0x43
unc_m_power_throttle_cycles.rank0, 0x141
unc_m_power_throttle_cycles.rank1, 0x241
unc_m_power_throttle_cycles.rank2, 0x441
unc_m_power_throttle_cycles.rank3, 0x841
unc_m_power_throttle_cycles.rank4, 0x1041
unc_m_power_throttle_cycles.rank5, 0x2041
unc_m_power_throttle_cycles.rank6, 0x4041
unc_m_power_throttle_cycles.rank7, 0x8041
unc_m_pre_count.byp, 0x1002
unc_m_pre_count.page_close, 0x202
unc_m_pre_count.page_miss, 0x102
unc_m_pre_count.rd, 0x402
unc_m_pre_count.wr, 0x802
unc_m_preemption.rd_preempt_rd, 0x108
unc_m_preemption.rd_preempt_wr, 0x208
unc_m_rd_cas_prio.high, 0x4a0
unc_m_rd_cas_prio.low, 0x1a0
unc_m_rd_cas_prio.med, 0x2a0
unc_m_rd_cas_prio.panic, 0x8a0
unc_m_rd_cas_rank0.bank0, 0x1b0
unc_m_rd_cas_rank0.bank1, 0x2b0
unc_m_rd_cas_rank0.bank2, 0x4b0
unc_m_rd_cas_rank0.bank3, 0x8b0
unc_m_rd_cas_rank0.bank4, 0x10b0
unc_m_rd_cas_rank0.bank5, 0x20b0
unc_m_rd_cas_rank0.bank6, 0x40b0
unc_m_rd_cas_rank0.bank7, 0x80b0
unc_m_rd_cas_rank1.bank0, 0x1b1
unc_m_rd_cas_rank1.bank1, 0x2b1
unc_m_rd_cas_rank1.bank2, 0x4b1
unc_m_rd_cas_rank1.bank3, 0x8b1
unc_m_rd_cas_rank1.bank4, 0x10b1
unc_m_rd_cas_rank1.bank5, 0x20b1
unc_m_rd_cas_rank1.bank6, 0x40b1
unc_m_rd_cas_rank1.bank7, 0x80b1
unc_m_rd_cas_rank2.bank0, 0x1b2
unc_m_rd_cas_rank2.bank1, 0x2b2
unc_m_rd_cas_rank2.bank2, 0x4b2
unc_m_rd_cas_rank2.bank3, 0x8b2
unc_m_rd_cas_rank2.bank4, 0x10b2
unc_m_rd_cas_rank2.bank5, 0x20b2
unc_m_rd_cas_rank2.bank6, 0x40b2
unc_m_rd_cas_rank2.bank7, 0x80b2
unc_m_rd_cas_rank3.bank0, 0x1b3
unc_m_rd_cas_rank3.bank1, 0x2b3
unc_m_rd_cas_rank3.bank2, 0x4b3
unc_m_rd_cas_rank3.bank3, 0x8b3
unc_m_rd_cas_rank3.bank4, 0x10b3
unc_m_rd_cas_rank3.bank5, 0x20b3
unc_m_rd_cas_rank3.bank6, 0x40b3
unc_m_rd_cas_rank3.bank7, 0x80b3
unc_m_rd_cas_rank4.bank0, 0x1b4
unc_m_rd_cas_rank4.bank1, 0x2b4
unc_m_rd_cas_rank4.bank2, 0x4b4
unc_m_rd_cas_rank4.bank3, 0x8b4
unc_m_rd_cas_rank4.bank4, 0x10b4
unc_m_rd_cas_rank4.bank5, 0x20b4
unc_m_rd_cas_rank4.bank6, 0x40b4
unc_m_rd_cas_rank4.bank7, 0x80b4
unc_m_rd_cas_rank5.bank0, 0x1b5
unc_m_rd_cas_rank5.bank1, 0x2b5
unc_m_rd_cas_rank5.bank2, 0x4b5
unc_m_rd_cas_rank5.bank3, 0x8b5
unc_m_rd_cas_rank5.bank4, 0x10b5
unc_m_rd_cas_rank5.bank5, 0x20b5
unc_m_rd_cas_rank5.bank6, 0x40b5
unc_m_rd_cas_rank5.bank7, 0x80b5
unc_m_rd_cas_rank6.bank0, 0x1b6
unc_m_rd_cas_rank6.bank1, 0x2b6
unc_m_rd_cas_rank6.bank2, 0x4b6
unc_m_rd_cas_rank6.bank3, 0x8b6
unc_m_rd_cas_rank6.bank4, 0x10b6
unc_m_rd_cas_rank6.bank5, 0x20b6
unc_m_rd_cas_rank6.bank6, 0x40b6
unc_m_rd_cas_rank6.bank7, 0x80b6
unc_m_rd_cas_rank7.bank0, 0x1b7
unc_m_rd_cas_rank7.bank1, 0x2b7
unc_m_rd_cas_rank7.bank2, 0x4b7
unc_m_rd_cas_rank7.bank3, 0x8b7
unc_m_rd_cas_rank7.bank4, 0x10b7
unc_m_rd_cas_rank7.bank5, 0x20b7
unc_m_rd_cas_rank7.bank6, 0x40b7
unc_m_rd_cas_rank7.bank7, 0x80b7
unc_m_rpq_cycles_ne, 0x11
unc_m_rpq_inserts, 0x10
unc_m_vmse_mxb_wr_occupancy, 0x91
unc_m_vmse_wr_push.rmm, 0x290
unc_m_vmse_wr_push.wmm, 0x190
unc_m_wmm_to_rmm.low_thresh, 0x1c0
unc_m_wmm_to_rmm.starve, 0x2c0
unc_m_wmm_to_rmm.vmse_retry, 0x4c0
unc_m_wpq_cycles_full, 0x22
unc_m_wpq_cycles_ne, 0x21
unc_m_wpq_inserts, 0x20
unc_m_wpq_read_hit, 0x23
unc_m_wpq_write_hit, 0x24
unc_m_wr_cas_rank0.bank0, 0x1b8
unc_m_wr_cas_rank0.bank1, 0x2b8
unc_m_wr_cas_rank0.bank2, 0x4b8
unc_m_wr_cas_rank0.bank3, 0x8b8
unc_m_wr_cas_rank0.bank4, 0x10b8
unc_m_wr_cas_rank0.bank5, 0x20b8
unc_m_wr_cas_rank0.bank6, 0x40b8
unc_m_wr_cas_rank0.bank7, 0x80b8
unc_m_wr_cas_rank1.bank0, 0x1b9
unc_m_wr_cas_rank1.bank1, 0x2b9
unc_m_wr_cas_rank1.bank2, 0x4b9
unc_m_wr_cas_rank1.bank3, 0x8b9
unc_m_wr_cas_rank1.bank4, 0x10b9
unc_m_wr_cas_rank1.bank5, 0x20b9
unc_m_wr_cas_rank1.bank6, 0x40b9
unc_m_wr_cas_rank1.bank7, 0x80b9
unc_m_wr_cas_rank2.bank0, 0x1ba
unc_m_wr_cas_rank2.bank1, 0x2ba
unc_m_wr_cas_rank2.bank2, 0x4ba
unc_m_wr_cas_rank2.bank3, 0x8ba
unc_m_wr_cas_rank2.bank4, 0x10ba
unc_m_wr_cas_rank2.bank5, 0x20ba
unc_m_wr_cas_rank2.bank6, 0x40ba
unc_m_wr_cas_rank2.bank7, 0x80ba
unc_m_wr_cas_rank3.bank0, 0x1bb
unc_m_wr_cas_rank3.bank1, 0x2bb
unc_m_wr_cas_rank3.bank2, 0x4bb
unc_m_wr_cas_rank3.bank3, 0x8bb
unc_m_wr_cas_rank3.bank4, 0x10bb
unc_m_wr_cas_rank3.bank5, 0x20bb
unc_m_wr_cas_rank3.bank6, 0x40bb
unc_m_wr_cas_rank3.bank7, 0x80bb
unc_m_wr_cas_rank4.bank0, 0x1bc
unc_m_wr_cas_rank4.bank1, 0x2bc
unc_m_wr_cas_rank4.bank2, 0x4bc
unc_m_wr_cas_rank4.bank3, 0x8bc
unc_m_wr_cas_rank4.bank4, 0x10bc
unc_m_wr_cas_rank4.bank5, 0x20bc
unc_m_wr_cas_rank4.bank6, 0x40bc
unc_m_wr_cas_rank4.bank7, 0x80bc
unc_m_wr_cas_rank5.bank0, 0x1bd
unc_m_wr_cas_rank5.bank1, 0x2bd
unc_m_wr_cas_rank5.bank2, 0x4bd
unc_m_wr_cas_rank5.bank3, 0x8bd
unc_m_wr_cas_rank5.bank4, 0x10bd
unc_m_wr_cas_rank5.bank5, 0x20bd
unc_m_wr_cas_rank5.bank6, 0x40bd
unc_m_wr_cas_rank5.bank7, 0x80bd
unc_m_wr_cas_rank6.bank0, 0x1be
unc_m_wr_cas_rank6.bank1, 0x2be
unc_m_wr_cas_rank6.bank2, 0x4be
unc_m_wr_cas_rank6.bank3, 0x8be
unc_m_wr_cas_rank6.bank4, 0x10be
unc_m_wr_cas_rank6.bank5, 0x20be
unc_m_wr_cas_rank6.bank6, 0x40be
unc_m_wr_cas_rank6.bank7, 0x80be
unc_m_wr_cas_rank7.bank0, 0x1bf
unc_m_wr_cas_rank7.bank1, 0x2bf
unc_m_wr_cas_rank7.bank2, 0x4bf
unc_m_wr_cas_rank7.bank3, 0x8bf
unc_m_wr_cas_rank7.bank4, 0x10bf
unc_m_wr_cas_rank7.bank5, 0x20bf
unc_m_wr_cas_rank7.bank6, 0x40bf
unc_m_wr_cas_rank7.bank7, 0x80bf
unc_m_wrong_mm, 0xc1
unc_p_core0_transition_cycles, 0x70
unc_p_core10_transition_cycles, 0x7a
unc_p_core11_transition_cycles, 0x7b
unc_p_core12_transition_cycles, 0x7c
unc_p_core13_transition_cycles, 0x7d
unc_p_core14_transition_cycles, 0x7e
unc_p_core1_transition_cycles, 0x71
unc_p_core2_transition_cycles, 0x72
unc_p_core3_transition_cycles, 0x73
unc_p_core4_transition_cycles, 0x74
unc_p_core5_transition_cycles, 0x75
unc_p_core6_transition_cycles, 0x76
unc_p_core7_transition_cycles, 0x77
unc_p_core8_transition_cycles, 0x78
unc_p_core9_transition_cycles, 0x79
unc_p_delayed_c_state_abort_core0, 0x17
unc_p_delayed_c_state_abort_core1, 0x18
unc_p_delayed_c_state_abort_core10, 0x21
unc_p_delayed_c_state_abort_core11, 0x22
unc_p_delayed_c_state_abort_core12, 0x23
unc_p_delayed_c_state_abort_core13, 0x24
unc_p_delayed_c_state_abort_core14, 0x25
unc_p_delayed_c_state_abort_core2, 0x19
unc_p_delayed_c_state_abort_core3, 0x1a
unc_p_delayed_c_state_abort_core4, 0x1b
unc_p_delayed_c_state_abort_core5, 0x1c
unc_p_delayed_c_state_abort_core6, 0x1d
unc_p_delayed_c_state_abort_core7, 0x1e
unc_p_delayed_c_state_abort_core8, 0x1f
unc_p_delayed_c_state_abort_core9, 0x20
unc_p_demotions_core0, 0x1e
unc_p_demotions_core1, 0x1f
unc_p_demotions_core10, 0x42
unc_p_demotions_core11, 0x43
unc_p_demotions_core12, 0x44
unc_p_demotions_core13, 0x45
unc_p_demotions_core14, 0x46
unc_p_demotions_core2, 0x20
unc_p_demotions_core3, 0x21
unc_p_demotions_core4, 0x22
unc_p_demotions_core5, 0x23
unc_p_demotions_core6, 0x24
unc_p_demotions_core7, 0x25
unc_p_demotions_core8, 0x40
unc_p_demotions_core9, 0x41
unc_p_freq_band0_cycles, 0xb
unc_p_freq_band1_cycles, 0xc
unc_p_freq_band2_cycles, 0xd
unc_p_freq_band3_cycles, 0xe
unc_p_freq_max_current_cycles, 0x7
unc_p_freq_max_limit_thermal_cycles, 0x4
unc_p_freq_max_os_cycles, 0x6
unc_p_freq_max_power_cycles, 0x5
unc_p_freq_min_io_p_cycles, 0x61
unc_p_freq_min_perf_p_cycles, 0x62
unc_p_freq_trans_cycles, 0x60
unc_p_memory_phase_shedding_cycles, 0x2f
unc_p_pkg_c_exit_latency, 0x26
unc_p_pkg_c_exit_latency_sel, 0x26
unc_p_pkg_c_state_residency_c0_cycles, 0x2a
unc_p_pkg_c_state_residency_c2_cycles, 0x2b
unc_p_pkg_c_state_residency_c3_cycles, 0x2c
unc_p_pkg_c_state_residency_c6_cycles, 0x2d
unc_p_power_state_occupancy.cores_c0, 0x80
unc_p_power_state_occupancy.cores_c3, 0x80
unc_p_power_state_occupancy.cores_c6, 0x80
unc_p_prochot_external_cycles, 0xa
unc_p_prochot_internal_cycles, 0x9
unc_p_total_transition_cycles, 0x63
unc_p_volt_trans_cycles_change, 0x3
unc_p_volt_trans_cycles_decrease, 0x2
unc_p_volt_trans_cycles_increase, 0x1
unc_p_vr_hot_cycles, 0x32
unc_q_clockticks, 0x14
unc_q_cto_count, 0x38
unc_q_direct2core.failure_credits, 0x213
unc_q_direct2core.failure_credits_miss, 0x2013
unc_q_direct2core.failure_credits_rbt, 0x813
unc_q_direct2core.failure_credits_rbt_miss, 0x8013
unc_q_direct2core.failure_miss, 0x1013
unc_q_direct2core.failure_rbt_hit, 0x413
unc_q_direct2core.failure_rbt_miss, 0x4013
unc_q_direct2core.success_rbt_hit, 0x113
unc_q_l1_power_cycles, 0x12
unc_q_match_mask, 0x38
unc_q_message.drs.anydatac, 0x38
unc_q_message.drs.anyresp, 0x38
unc_q_message.drs.anyresp11flits, 0x38
unc_q_message.drs.anyresp9flits, 0x38
unc_q_message.drs.datac_e, 0x38
unc_q_message.drs.datac_e_cmp, 0x38
unc_q_message.drs.datac_e_frcackcnflt, 0x38
unc_q_message.drs.datac_f, 0x38
unc_q_message.drs.datac_f_cmp, 0x38
unc_q_message.drs.datac_f_frcackcnflt, 0x38
unc_q_message.drs.datac_m, 0x38
unc_q_message.drs.wbedata, 0x38
unc_q_message.drs.wbidata, 0x38
unc_q_message.drs.wbsdata, 0x38
unc_q_message.hom.anyreq, 0x38
unc_q_message.hom.anyresp, 0x38
unc_q_message.hom.respfwd, 0x38
unc_q_message.hom.respfwdi, 0x38
unc_q_message.hom.respfwdiwb, 0x38
unc_q_message.hom.respfwds, 0x38
unc_q_message.hom.respfwdswb, 0x38
unc_q_message.hom.respiwb, 0x38
unc_q_message.hom.respswb, 0x38
unc_q_message.ncb.anyint, 0x38
unc_q_message.ncb.anymsg, 0x38
