OFFCORE_RESPONSE.DEMAND_DATA_RD.OUTSTANDING, 0x1b7
OFFCORE_RESPONSE.DEMAND_RFO.L2_MISS.ANY, 0x1b7
OFFCORE_RESPONSE.DEMAND_RFO.L2_MISS.HITM_OTHER_CORE, 0x1b7
OFFCORE_RESPONSE.DEMAND_RFO.L2_MISS.HIT_OTHER_CORE_NO_FWD, 0x1b7
OFFCORE_RESPONSE.DEMAND_RFO.L2_MISS.SNOOP_MISS, 0x1b7
OFFCORE_RESPONSE.DEMAND_RFO.OUTSTANDING, 0x1b7
OFFCORE_RESPONSE.PARTIAL_READS.L2_MISS.ANY, 0x1b7
OFFCORE_RESPONSE.PARTIAL_WRITES.L2_MISS.ANY, 0x1b7
OFFCORE_RESPONSE.PF_L1_DATA_RD.ANY_RESPONSE, 0x1b7
OFFCORE_RESPONSE.PF_L1_DATA_RD.L2_MISS.ANY, 0x1b7
OFFCORE_RESPONSE.PF_L1_DATA_RD.L2_MISS.HITM_OTHER_CORE, 0x1b7
OFFCORE_RESPONSE.PF_L1_DATA_RD.L2_MISS.HIT_OTHER_CORE_NO_FWD, 0x1b7
OFFCORE_RESPONSE.PF_L1_DATA_RD.L2_MISS.SNOOP_MISS, 0x1b7
OFFCORE_RESPONSE.PF_L2_CODE_RD.L2_MISS.ANY, 0x1b7
OFFCORE_RESPONSE.PF_L2_CODE_RD.L2_MISS.HIT_OTHER_CORE_NO_FWD, 0x1b7
OFFCORE_RESPONSE.PF_L2_CODE_RD.L2_MISS.SNOOP_MISS, 0x1b7
OFFCORE_RESPONSE.PF_L2_DATA_RD.L2_MISS.ANY, 0x1b7
OFFCORE_RESPONSE.PF_L2_DATA_RD.L2_MISS.HITM_OTHER_CORE, 0x1b7
OFFCORE_RESPONSE.PF_L2_DATA_RD.L2_MISS.HIT_OTHER_CORE_NO_FWD, 0x1b7
OFFCORE_RESPONSE.PF_L2_DATA_RD.L2_MISS.SNOOP_MISS, 0x1b7
OFFCORE_RESPONSE.PF_L2_RFO.L2_MISS.ANY, 0x1b7
OFFCORE_RESPONSE.PF_L2_RFO.L2_MISS.HITM_OTHER_CORE, 0x1b7
OFFCORE_RESPONSE.PF_L2_RFO.L2_MISS.HIT_OTHER_CORE_NO_FWD, 0x1b7
OFFCORE_RESPONSE.PF_L2_RFO.L2_MISS.SNOOP_MISS, 0x1b7
OFFCORE_RESPONSE.STREAMING_STORES.L2_MISS.ANY, 0x1b7
REHABQ.ANY_LD, 0x4003
REHABQ.ANY_ST, 0x8003
REHABQ.LD_BLOCK_STD_NOTREADY, 0x203
REHABQ.LD_BLOCK_ST_FORWARD, 0x103
REHABQ.LD_SPLITS, 0x803
REHABQ.LOCK, 0x1003
REHABQ.STA_FULL, 0x2003
REHABQ.ST_SPLITS, 0x403
