HLE_RETIRED.ABORTED, 0x4c8
ITLB.ITLB_FLUSH, 0x1ae
ITLB_MISSES.MISS_CAUSES_A_WALK, 0x185
ITLB_MISSES.STLB_HIT, 0x6085
ITLB_MISSES.STLB_HIT_2M, 0x4085
ITLB_MISSES.STLB_HIT_4K, 0x2085
ITLB_MISSES.WALK_COMPLETED, 0xe85
ITLB_MISSES.WALK_COMPLETED_1G, 0x885
ITLB_MISSES.WALK_COMPLETED_2M_4M, 0x485
ITLB_MISSES.WALK_COMPLETED_4K, 0x285
ITLB_MISSES.WALK_DURATION, 0x1085
PAGE_WALKER_LOADS.DTLB_L1, 0x11bc
PAGE_WALKER_LOADS.DTLB_L2, 0x12bc
PAGE_WALKER_LOADS.DTLB_L3, 0x14bc
PAGE_WALKER_LOADS.DTLB_MEMORY, 0x18bc
PAGE_WALKER_LOADS.ITLB_L1, 0x21bc
PAGE_WALKER_LOADS.ITLB_L2, 0x22bc
PAGE_WALKER_LOADS.ITLB_L3, 0x24bc
TLB_FLUSH.DTLB_THREAD, 0x1bd
TLB_FLUSH.STLB_ANY, 0x20bd
FP_ARITH_INST_RETIRED.128B_PACKED_DOUBLE, 0x4c7
FP_ARITH_INST_RETIRED.128B_PACKED_SINGLE, 0x8c7
FP_ARITH_INST_RETIRED.256B_PACKED_DOUBLE, 0x10c7
FP_ARITH_INST_RETIRED.256B_PACKED_SINGLE, 0x20c7
FP_ARITH_INST_RETIRED.4_FLOPS, 0x18c7
FP_ARITH_INST_RETIRED.DOUBLE, 0x15c7
FP_ARITH_INST_RETIRED.PACKED, 0x3cc7
FP_ARITH_INST_RETIRED.SCALAR, 0x3c7
FP_ARITH_INST_RETIRED.SCALAR_DOUBLE, 0x1c7
FP_ARITH_INST_RETIRED.SCALAR_SINGLE, 0x2c7
FP_ARITH_INST_RETIRED.SINGLE, 0x2ac7
FP_ARITH_INST_RETIRED.VECTOR, 0xfcc7
FP_ASSIST.ANY, 0x1eca
FP_ASSIST.SIMD_INPUT, 0x10ca
FP_ASSIST.SIMD_OUTPUT, 0x8ca
FP_ASSIST.X87_INPUT, 0x4ca
FP_ASSIST.X87_OUTPUT, 0x2ca
MOVE_ELIMINATION.SIMD_ELIMINATED, 0x258
MOVE_ELIMINATION.SIMD_NOT_ELIMINATED, 0x858
OTHER_ASSISTS.AVX_TO_SSE, 0x8c1
OTHER_ASSISTS.SSE_TO_AVX, 0x10c1
UOP_DISPATCHES_CANCELLED.SIMD_PRF, 0x3a0
UNC_P_CORE0_TRANSITION_CYCLES, 0x60
UNC_P_CORE10_TRANSITION_CYCLES, 0x6a
UNC_P_CORE11_TRANSITION_CYCLES, 0x6b
UNC_P_CORE12_TRANSITION_CYCLES, 0x6c
UNC_P_CORE13_TRANSITION_CYCLES, 0x6d
UNC_P_CORE14_TRANSITION_CYCLES, 0x6e
UNC_P_CORE15_TRANSITION_CYCLES, 0x6f
UNC_P_CORE16_TRANSITION_CYCLES, 0x70
UNC_P_CORE17_TRANSITION_CYCLES, 0x71
UNC_P_CORE1_TRANSITION_CYCLES, 0x61
UNC_P_CORE2_TRANSITION_CYCLES, 0x62
UNC_P_CORE3_TRANSITION_CYCLES, 0x63
UNC_P_CORE4_TRANSITION_CYCLES, 0x64
UNC_P_CORE5_TRANSITION_CYCLES, 0x65
UNC_P_CORE6_TRANSITION_CYCLES, 0x66
UNC_P_CORE7_TRANSITION_CYCLES, 0x67
UNC_P_CORE8_TRANSITION_CYCLES, 0x68
UNC_P_CORE9_TRANSITION_CYCLES, 0x69
UNC_P_DEMOTIONS_CORE0, 0x30
UNC_P_DEMOTIONS_CORE1, 0x31
UNC_P_DEMOTIONS_CORE10, 0x3a
UNC_P_DEMOTIONS_CORE11, 0x3b
UNC_P_DEMOTIONS_CORE12, 0x3c
UNC_P_DEMOTIONS_CORE13, 0x3d
UNC_P_DEMOTIONS_CORE14, 0x3e
UNC_P_DEMOTIONS_CORE15, 0x3f
UNC_P_DEMOTIONS_CORE16, 0x40
UNC_P_DEMOTIONS_CORE17, 0x41
UNC_P_DEMOTIONS_CORE2, 0x32
UNC_P_DEMOTIONS_CORE3, 0x33
UNC_P_DEMOTIONS_CORE4, 0x34
UNC_P_DEMOTIONS_CORE5, 0x35
UNC_P_DEMOTIONS_CORE6, 0x36
UNC_P_DEMOTIONS_CORE7, 0x37
UNC_P_DEMOTIONS_CORE8, 0x38
UNC_P_DEMOTIONS_CORE9, 0x39
UNC_P_FREQ_MAX_LIMIT_THERMAL_CYCLES, 0x4
UNC_P_FREQ_MAX_OS_CYCLES, 0x6
UNC_P_FREQ_MAX_POWER_CYCLES, 0x5
UNC_P_FREQ_MIN_IO_P_CYCLES, 0x73
UNC_P_FREQ_TRANS_CYCLES, 0x74
UNC_P_MEMORY_PHASE_SHEDDING_CYCLES, 0x2f
UNC_P_PKG_RESIDENCY_C0_CYCLES, 0x2a
UNC_P_PKG_RESIDENCY_C1E_CYCLES, 0x4e
UNC_P_PKG_RESIDENCY_C2E_CYCLES, 0x2b
UNC_P_PKG_RESIDENCY_C3_CYCLES, 0x2c
UNC_P_PKG_RESIDENCY_C6_CYCLES, 0x2d
UNC_P_PKG_RESIDENCY_C7_CYCLES, 0x2e
UNC_P_POWER_STATE_OCCUPANCY.CORES_C0, 0x80
UNC_P_POWER_STATE_OCCUPANCY.CORES_C3, 0x80
UNC_P_POWER_STATE_OCCUPANCY.CORES_C6, 0x80
UNC_P_PROCHOT_EXTERNAL_CYCLES, 0xa
UNC_P_PROCHOT_INTERNAL_CYCLES, 0x9
UNC_P_TOTAL_TRANSITION_CYCLES, 0x72
UNC_P_UFS_TRANSITIONS_RING_GV, 0x79
UNC_P_VR_HOT_CYCLES, 0x42
UNC_C_BOUNCE_CONTROL, 0xa
UNC_C_COUNTER0_OCCUPANCY, 0x1f
UNC_C_FAST_ASSERTED, 0x9
UNC_C_LLC_LOOKUP.ANY, 0x1134
UNC_C_LLC_LOOKUP.DATA_READ, 0x334
UNC_C_LLC_LOOKUP.NID, 0x4134
UNC_C_LLC_LOOKUP.READ, 0x2134
UNC_C_LLC_LOOKUP.REMOTE_SNOOP, 0x934
UNC_C_LLC_LOOKUP.WRITE, 0x534
UNC_C_LLC_VICTIMS.E_STATE, 0x237
UNC_C_LLC_VICTIMS.F_STATE, 0x837
UNC_C_LLC_VICTIMS.I_STATE, 0x437
UNC_C_LLC_VICTIMS.MISS, 0x1037
UNC_C_LLC_VICTIMS.M_STATE, 0x137
UNC_C_LLC_VICTIMS.NID, 0x4037
UNC_C_MISC.CVZERO_PREFETCH_MISS, 0x2039
UNC_C_MISC.CVZERO_PREFETCH_VICTIM, 0x1039
UNC_C_MISC.RFO_HIT_S, 0x839
UNC_C_MISC.RSPI_WAS_FSE, 0x139
UNC_C_MISC.STARTED, 0x439
UNC_C_MISC.WC_ALIASING, 0x239
UNC_C_QLRU.AGE0, 0x13c
UNC_C_QLRU.AGE1, 0x23c
UNC_C_QLRU.AGE2, 0x43c
UNC_C_QLRU.AGE3, 0x83c
UNC_C_QLRU.LRU_DECREMENT, 0x103c
UNC_C_QLRU.VICTIM_NON_ZERO, 0x203c
UNC_C_RING_AD_USED.ALL, 0xf1b
UNC_C_RING_AD_USED.CCW, 0xc1b
UNC_C_RING_AD_USED.CW, 0x31b
UNC_C_RING_AD_USED.DOWN_EVEN, 0x41b
UNC_C_RING_AD_USED.DOWN_ODD, 0x81b
UNC_C_RING_AD_USED.UP_EVEN, 0x11b
UNC_C_RING_AD_USED.UP_ODD, 0x21b
UNC_C_RING_AK_USED.ALL, 0xf1c
UNC_C_RING_AK_USED.CCW, 0xc1c
UNC_C_RING_AK_USED.CW, 0x31c
UNC_C_RING_AK_USED.DOWN_EVEN, 0x41c
UNC_C_RING_AK_USED.DOWN_ODD, 0x81c
UNC_C_RING_AK_USED.UP_EVEN, 0x11c
UNC_C_RING_AK_USED.UP_ODD, 0x21c
UNC_C_RING_BL_USED.ALL, 0xf1d
UNC_C_RING_BL_USED.CCW, 0xc1d
UNC_C_RING_BL_USED.CW, 0x31d
UNC_C_RING_BL_USED.DOWN_EVEN, 0x41d
UNC_C_RING_BL_USED.DOWN_ODD, 0x81d
UNC_C_RING_BL_USED.UP_EVEN, 0x11d
UNC_C_RING_BL_USED.UP_ODD, 0x21d
UNC_C_RING_BOUNCES.AD, 0x105
UNC_C_RING_BOUNCES.AK, 0x205
UNC_C_RING_BOUNCES.BL, 0x405
UNC_C_RING_BOUNCES.IV, 0x1005
UNC_C_RING_IV_USED.ANY, 0xf1e
UNC_C_RING_IV_USED.DN, 0xc1e
UNC_C_RING_IV_USED.DOWN, 0xcc1e
UNC_C_RING_IV_USED.UP, 0x31e
UNC_C_RING_SINK_STARVED.AD, 0x106
UNC_C_RING_SINK_STARVED.AK, 0x206
UNC_C_RING_SINK_STARVED.BL, 0x406
UNC_C_RING_SINK_STARVED.IV, 0x806
UNC_C_RING_SRC_THRTL, 0x7
UNC_C_RxR_EXT_STARVED.IPQ, 0x212
UNC_C_RxR_EXT_STARVED.IRQ, 0x112
UNC_C_RxR_EXT_STARVED.ISMQ_BIDS, 0x812
UNC_C_RxR_EXT_STARVED.PRQ, 0x412
UNC_C_RxR_INSERTS.IPQ, 0x413
UNC_C_RxR_INSERTS.IRQ, 0x113
UNC_C_RxR_INSERTS.IRQ_REJ, 0x213
UNC_C_RxR_INSERTS.PRQ, 0x1013
UNC_C_RxR_INSERTS.PRQ_REJ, 0x2013
UNC_C_RxR_INT_STARVED.IPQ, 0x414
UNC_C_RxR_INT_STARVED.IRQ, 0x114
UNC_C_RxR_INT_STARVED.ISMQ, 0x814
UNC_C_RxR_INT_STARVED.PRQ, 0x1014
UNC_C_RxR_IPQ_RETRY.ADDR_CONFLICT, 0x431
UNC_C_RxR_IPQ_RETRY.ANY, 0x131
UNC_C_RxR_IPQ_RETRY.FULL, 0x231
UNC_C_RxR_IPQ_RETRY.QPI_CREDITS, 0x1031
UNC_C_RxR_IPQ_RETRY2.AD_SBO, 0x128
UNC_C_RxR_IPQ_RETRY2.TARGET, 0x4028
UNC_C_RxR_IRQ_RETRY.ADDR_CONFLICT, 0x432
UNC_C_RxR_IRQ_RETRY.ANY, 0x132
UNC_C_RxR_IRQ_RETRY.FULL, 0x232
UNC_C_RxR_IRQ_RETRY.IIO_CREDITS, 0x2032
UNC_C_RxR_IRQ_RETRY.NID, 0x4032
UNC_C_RxR_IRQ_RETRY.QPI_CREDITS, 0x1032
UNC_C_RxR_IRQ_RETRY.RTID, 0x832
UNC_C_RxR_IRQ_RETRY2.AD_SBO, 0x129
UNC_C_RxR_IRQ_RETRY2.BL_SBO, 0x229
UNC_C_RxR_IRQ_RETRY2.TARGET, 0x4029
UNC_C_RxR_ISMQ_RETRY.ANY, 0x133
UNC_C_RxR_ISMQ_RETRY.FULL, 0x233
UNC_C_RxR_ISMQ_RETRY.IIO_CREDITS, 0x2033
UNC_C_RxR_ISMQ_RETRY.NID, 0x4033
UNC_C_RxR_ISMQ_RETRY.QPI_CREDITS, 0x1033
UNC_C_RxR_ISMQ_RETRY.RTID, 0x833
UNC_C_RxR_ISMQ_RETRY.WB_CREDITS, 0x8033
UNC_C_RxR_ISMQ_RETRY2.AD_SBO, 0x12a
UNC_C_RxR_ISMQ_RETRY2.BL_SBO, 0x22a
UNC_C_RxR_ISMQ_RETRY2.TARGET, 0x402a
UNC_C_RxR_OCCUPANCY.IPQ, 0x411
UNC_C_RxR_OCCUPANCY.IRQ, 0x111
UNC_C_RxR_OCCUPANCY.IRQ_REJ, 0x211
UNC_C_RxR_OCCUPANCY.PRQ_REJ, 0x2011
UNC_C_SBO_CREDITS_ACQUIRED.AD, 0x13d
UNC_C_SBO_CREDITS_ACQUIRED.BL, 0x23d
UNC_C_SBO_CREDIT_OCCUPANCY.AD, 0x13e
UNC_C_SBO_CREDIT_OCCUPANCY.BL, 0x23e
UNC_C_TOR_INSERTS.ALL, 0x835
UNC_C_TOR_INSERTS.EVICTION, 0x435
UNC_C_TOR_INSERTS.LOCAL, 0x2835
UNC_C_TOR_INSERTS.LOCAL_OPCODE, 0x2135
UNC_C_TOR_INSERTS.MISS_LOCAL, 0x2a35
UNC_C_TOR_INSERTS.MISS_LOCAL_OPCODE, 0x2335
UNC_C_TOR_INSERTS.MISS_OPCODE, 0x335
UNC_C_TOR_INSERTS.MISS_REMOTE, 0x8a35
UNC_C_TOR_INSERTS.MISS_REMOTE_OPCODE, 0x8335
UNC_C_TOR_INSERTS.NID_ALL, 0x4835
UNC_C_TOR_INSERTS.NID_EVICTION, 0x4435
UNC_C_TOR_INSERTS.NID_MISS_ALL, 0x4a35
UNC_C_TOR_INSERTS.NID_MISS_OPCODE, 0x4335
UNC_C_TOR_INSERTS.NID_OPCODE, 0x4135
UNC_C_TOR_INSERTS.NID_WB, 0x5035
UNC_C_TOR_INSERTS.OPCODE, 0x135
UNC_C_TOR_INSERTS.REMOTE, 0x8835
UNC_C_TOR_INSERTS.REMOTE_OPCODE, 0x8135
UNC_C_TOR_INSERTS.WB, 0x1035
UNC_C_TOR_OCCUPANCY.ALL, 0x836
UNC_C_TOR_OCCUPANCY.EVICTION, 0x436
UNC_C_TOR_OCCUPANCY.LOCAL, 0x2836
UNC_C_TOR_OCCUPANCY.LOCAL_OPCODE, 0x2136
UNC_C_TOR_OCCUPANCY.MISS_ALL, 0xa36
UNC_C_TOR_OCCUPANCY.MISS_LOCAL, 0x2a36
UNC_C_TOR_OCCUPANCY.MISS_LOCAL_OPCODE, 0x2336
UNC_C_TOR_OCCUPANCY.MISS_OPCODE, 0x336
UNC_C_TOR_OCCUPANCY.MISS_REMOTE, 0x8a36
UNC_C_TOR_OCCUPANCY.MISS_REMOTE_OPCODE, 0x8336
UNC_C_TOR_OCCUPANCY.NID_ALL, 0x4836
UNC_C_TOR_OCCUPANCY.NID_EVICTION, 0x4436
UNC_C_TOR_OCCUPANCY.NID_MISS_ALL, 0x4a36
UNC_C_TOR_OCCUPANCY.NID_MISS_OPCODE, 0x4336
UNC_C_TOR_OCCUPANCY.NID_OPCODE, 0x4136
UNC_C_TOR_OCCUPANCY.NID_WB, 0x5036
UNC_C_TOR_OCCUPANCY.OPCODE, 0x136
UNC_C_TOR_OCCUPANCY.REMOTE, 0x8836
UNC_C_TOR_OCCUPANCY.REMOTE_OPCODE, 0x8136
UNC_C_TOR_OCCUPANCY.WB, 0x1036
UNC_C_TxR_ADS_USED.AD, 0x104
UNC_C_TxR_ADS_USED.AK, 0x204
UNC_C_TxR_ADS_USED.BL, 0x404
UNC_C_TxR_INSERTS.AD_CACHE, 0x102
UNC_C_TxR_INSERTS.AD_CORE, 0x1002
UNC_C_TxR_INSERTS.AK_CACHE, 0x202
UNC_C_TxR_INSERTS.AK_CORE, 0x2002
UNC_C_TxR_INSERTS.BL_CACHE, 0x402
UNC_C_TxR_INSERTS.BL_CORE, 0x4002
UNC_C_TxR_INSERTS.IV_CACHE, 0x802
UNC_C_TxR_STARVED.AD_CORE, 0x1003
UNC_C_TxR_STARVED.AK_BOTH, 0x203
UNC_C_TxR_STARVED.BL_BOTH, 0x403
UNC_C_TxR_STARVED.IV, 0x803
UNC_H_BT_CYCLES_NE, 0x42
UNC_H_BT_TO_HT_NOT_ISSUED.INCOMING_BL_HAZARD, 0x451
UNC_H_BT_TO_HT_NOT_ISSUED.INCOMING_SNP_HAZARD, 0x251
UNC_H_BT_TO_HT_NOT_ISSUED.RSPACKCFLT_HAZARD, 0x851
UNC_H_BT_TO_HT_NOT_ISSUED.WBMDATA_HAZARD, 0x1051
UNC_H_BYPASS_IMC.NOT_TAKEN, 0x214
UNC_H_BYPASS_IMC.TAKEN, 0x114
UNC_H_DIRECT2CORE_COUNT, 0x11
UNC_H_DIRECT2CORE_CYCLES_DISABLED, 0x12
UNC_H_DIRECT2CORE_TXN_OVERRIDE, 0x13
UNC_H_DIRECTORY_LAT_OPT, 0x41
UNC_H_DIRECTORY_LOOKUP.NO_SNP, 0x20c
UNC_H_DIRECTORY_LOOKUP.SNP, 0x10c
UNC_H_DIRECTORY_UPDATE.ANY, 0x30d
UNC_H_DIRECTORY_UPDATE.CLEAR, 0x20d
UNC_H_DIRECTORY_UPDATE.SET, 0x10d
UNC_H_HITME_HIT.ACKCNFLTWBI, 0x471
UNC_H_HITME_HIT.ALL, 0xff71
UNC_H_HITME_HIT.ALLOCS, 0x7071
UNC_H_HITME_HIT.EVICTS, 0x4271
UNC_H_HITME_HIT.HOM, 0xf71
UNC_H_HITME_HIT.INVALS, 0x2671
UNC_H_HITME_HIT.READ_OR_INVITOE, 0x171
UNC_H_HITME_HIT.RSP, 0x8071
UNC_H_HITME_HIT.RSPFWDI_LOCAL, 0x2071
UNC_H_HITME_HIT.RSPFWDI_REMOTE, 0x1071
UNC_H_HITME_HIT.RSPFWDS, 0x4071
UNC_H_HITME_HIT.WBMTOE_OR_S, 0x871
UNC_H_HITME_HIT.WBMTOI, 0x271
UNC_H_HITME_HIT_PV_BITS_SET.ACKCNFLTWBI, 0x472
UNC_H_HITME_HIT_PV_BITS_SET.ALL, 0xff72
UNC_H_HITME_HIT_PV_BITS_SET.HOM, 0xf72
UNC_H_HITME_HIT_PV_BITS_SET.READ_OR_INVITOE, 0x172
UNC_H_HITME_HIT_PV_BITS_SET.RSP, 0x8072
UNC_H_HITME_HIT_PV_BITS_SET.RSPFWDI_LOCAL, 0x2072
UNC_H_HITME_HIT_PV_BITS_SET.RSPFWDI_REMOTE, 0x1072
UNC_H_HITME_HIT_PV_BITS_SET.RSPFWDS, 0x4072
UNC_H_HITME_HIT_PV_BITS_SET.WBMTOE_OR_S, 0x872
UNC_H_HITME_HIT_PV_BITS_SET.WBMTOI, 0x272
UNC_H_HITME_LOOKUP.ACKCNFLTWBI, 0x470
UNC_H_HITME_LOOKUP.ALL, 0xff70
UNC_H_HITME_LOOKUP.ALLOCS, 0x7070
UNC_H_HITME_LOOKUP.HOM, 0xf70
UNC_H_HITME_LOOKUP.INVALS, 0x2670
UNC_H_HITME_LOOKUP.READ_OR_INVITOE, 0x170
UNC_H_HITME_LOOKUP.RSP, 0x8070
UNC_H_HITME_LOOKUP.RSPFWDI_LOCAL, 0x2070
UNC_H_HITME_LOOKUP.RSPFWDI_REMOTE, 0x1070
UNC_H_HITME_LOOKUP.RSPFWDS, 0x4070
UNC_H_HITME_LOOKUP.WBMTOE_OR_S, 0x870
UNC_H_HITME_LOOKUP.WBMTOI, 0x270
UNC_H_IGR_NO_CREDIT_CYCLES.AD_QPI0, 0x122
UNC_H_IGR_NO_CREDIT_CYCLES.AD_QPI1, 0x222
UNC_H_IGR_NO_CREDIT_CYCLES.AD_QPI2, 0x1022
UNC_H_IGR_NO_CREDIT_CYCLES.BL_QPI0, 0x422
UNC_H_IGR_NO_CREDIT_CYCLES.BL_QPI1, 0x822
UNC_H_IGR_NO_CREDIT_CYCLES.BL_QPI2, 0x2022
UNC_H_IMC_READS.NORMAL, 0x117
UNC_H_IMC_RETRY, 0x1e
UNC_H_IMC_WRITES.ALL, 0xf1a
UNC_H_IMC_WRITES.FULL, 0x11a
UNC_H_IMC_WRITES.FULL_ISOCH, 0x41a
UNC_H_IMC_WRITES.PARTIAL, 0x21a
UNC_H_IMC_WRITES.PARTIAL_ISOCH, 0x81a
UNC_H_IOT_BACKPRESSURE.HUB, 0x261
UNC_H_IOT_BACKPRESSURE.SAT, 0x161
UNC_H_IOT_CTS_EAST_LO.CTS0, 0x164
UNC_H_IOT_CTS_EAST_LO.CTS1, 0x264
UNC_H_IOT_CTS_HI.CTS2, 0x165
UNC_H_IOT_CTS_HI.CTS3, 0x265
UNC_H_IOT_CTS_WEST_LO.CTS0, 0x162
UNC_H_IOT_CTS_WEST_LO.CTS1, 0x262
UNC_H_OSB.CANCELLED, 0x1053
UNC_H_OSB.INVITOE_LOCAL, 0x453
UNC_H_OSB.READS_LOCAL, 0x253
UNC_H_OSB.READS_LOCAL_USEFUL, 0x2053
UNC_H_OSB.REMOTE, 0x853
UNC_H_OSB.REMOTE_USEFUL, 0x4053
UNC_H_OSB_EDR.ALL, 0x154
UNC_H_OSB_EDR.READS_LOCAL_I, 0x254
UNC_H_OSB_EDR.READS_LOCAL_S, 0x854
UNC_H_OSB_EDR.READS_REMOTE_I, 0x454
UNC_H_OSB_EDR.READS_REMOTE_S, 0x1054
UNC_H_REQUESTS.INVITOE_LOCAL, 0x1001
UNC_H_REQUESTS.INVITOE_REMOTE, 0x2001
UNC_H_REQUESTS.READS, 0x301
UNC_H_REQUESTS.READS_LOCAL, 0x101
UNC_H_REQUESTS.READS_REMOTE, 0x201
UNC_H_REQUESTS.WRITES, 0xc01
UNC_H_REQUESTS.WRITES_LOCAL, 0x401
UNC_H_REQUESTS.WRITES_REMOTE, 0x801
UNC_H_RING_AD_USED.CCW, 0xc3e
UNC_H_RING_AD_USED.CCW_EVEN, 0x43e
UNC_H_RING_AD_USED.CCW_ODD, 0x83e
UNC_H_RING_AD_USED.CW, 0x33e
UNC_H_RING_AD_USED.CW_EVEN, 0x13e
UNC_H_RING_AD_USED.CW_ODD, 0x23e
UNC_H_RING_AK_USED.ALL, 0xf3f
UNC_H_RING_AK_USED.CCW, 0xc3f
UNC_H_RING_AK_USED.CCW_EVEN, 0x43f
UNC_H_RING_AK_USED.CCW_ODD, 0x83f
UNC_H_RING_AK_USED.CW, 0x33f
UNC_H_RING_AK_USED.CW_EVEN, 0x13f
UNC_H_RING_AK_USED.CW_ODD, 0x23f
UNC_H_RING_BL_USED.ALL, 0xf40
UNC_H_RING_BL_USED.CCW, 0xc40
UNC_H_RING_BL_USED.CCW_EVEN, 0x440
UNC_H_RING_BL_USED.CCW_ODD, 0x840
UNC_H_RING_BL_USED.CW, 0x340
UNC_H_RING_BL_USED.CW_EVEN, 0x140
UNC_H_RING_BL_USED.CW_ODD, 0x240
UNC_H_RPQ_CYCLES_NO_REG_CREDITS.CHN0, 0x115
UNC_H_RPQ_CYCLES_NO_REG_CREDITS.CHN1, 0x215
UNC_H_RPQ_CYCLES_NO_REG_CREDITS.CHN2, 0x415
UNC_H_RPQ_CYCLES_NO_REG_CREDITS.CHN3, 0x815
UNC_H_RPQ_CYCLES_NO_SPEC_CREDITS.CHN0, 0x116
UNC_H_RPQ_CYCLES_NO_SPEC_CREDITS.CHN1, 0x216
UNC_H_RPQ_CYCLES_NO_SPEC_CREDITS.CHN2, 0x416
UNC_H_RPQ_CYCLES_NO_SPEC_CREDITS.CHN3, 0x816
UNC_H_SBO0_CREDITS_ACQUIRED.AD, 0x168
UNC_H_SBO0_CREDITS_ACQUIRED.BL, 0x268
UNC_H_SBO0_CREDIT_OCCUPANCY.AD, 0x16a
UNC_H_SBO0_CREDIT_OCCUPANCY.BL, 0x26a
UNC_H_SBO1_CREDITS_ACQUIRED.AD, 0x169
UNC_H_SBO1_CREDITS_ACQUIRED.BL, 0x269
UNC_H_SBO1_CREDIT_OCCUPANCY.AD, 0x16b
UNC_H_SBO1_CREDIT_OCCUPANCY.BL, 0x26b
UNC_H_SNOOPS_RSP_AFTER_DATA.LOCAL, 0x10a
UNC_H_SNOOPS_RSP_AFTER_DATA.REMOTE, 0x20a
UNC_H_SNOOP_CYCLES_NE.ALL, 0x308
UNC_H_SNOOP_CYCLES_NE.LOCAL, 0x108
UNC_H_SNOOP_CYCLES_NE.REMOTE, 0x208
UNC_H_SNOOP_OCCUPANCY.LOCAL, 0x109
UNC_H_SNOOP_OCCUPANCY.REMOTE, 0x209
UNC_H_SNOOP_RESP.RSPCNFLCT, 0x4021
UNC_H_SNOOP_RESP.RSPI, 0x121
UNC_H_SNOOP_RESP.RSPIFWD, 0x421
UNC_H_SNOOP_RESP.RSPS, 0x221
UNC_H_SNOOP_RESP.RSPSFWD, 0x821
UNC_H_SNOOP_RESP.RSP_FWD_WB, 0x2021
UNC_H_SNOOP_RESP.RSP_WB, 0x1021
UNC_H_SNP_RESP_RECV_LOCAL.OTHER, 0x8060
UNC_H_SNP_RESP_RECV_LOCAL.RSPCNFLCT, 0x4060
UNC_H_SNP_RESP_RECV_LOCAL.RSPI, 0x160
UNC_H_SNP_RESP_RECV_LOCAL.RSPIFWD, 0x460
UNC_H_SNP_RESP_RECV_LOCAL.RSPS, 0x260
