IDQ_UOPS_NOT_DELIVERED.CYCLES_LE_1_UOP_DELIV.CORE, 0x19c
IDQ_UOPS_NOT_DELIVERED.CYCLES_LE_2_UOP_DELIV.CORE, 0x19c
IDQ_UOPS_NOT_DELIVERED.CYCLES_LE_3_UOP_DELIV.CORE, 0x19c
INSTS_WRITTEN_TO_IQ.INSTS, 0x117
UNC_ARB_COH_TRK_OCCUPANCY.ALL, 0x183
UNC_ARB_COH_TRK_REQUESTS.ALL, 0x184
UNC_ARB_TRK_OCCUPANCY.ALL, 0x180
UNC_ARB_TRK_OCCUPANCY.CYCLES_OVER_HALF_FULL, 0x180
UNC_ARB_TRK_OCCUPANCY.CYCLES_WITH_ANY_REQUEST, 0x180
UNC_ARB_TRK_REQUESTS.ALL, 0x181
UNC_ARB_TRK_REQUESTS.EVICTIONS, 0x8081
UNC_ARB_TRK_REQUESTS.WRITES, 0x2081
UNC_CLOCK.SOCKET, 0xff
AGU_BYPASS_CANCEL.COUNT, 0x1b6
ARITH.FPU_DIV, 0x114
ARITH.FPU_DIV_ACTIVE, 0x114
BR_INST_EXEC.ALL_BRANCHES, 0xff88
BR_INST_EXEC.ALL_CONDITIONAL, 0xc188
BR_INST_EXEC.ALL_DIRECT_JMP, 0xc288
BR_INST_EXEC.ALL_DIRECT_NEAR_CALL, 0xd088
BR_INST_EXEC.ALL_INDIRECT_JUMP_NON_CALL_RET, 0xc488
BR_INST_EXEC.ALL_INDIRECT_NEAR_RETURN, 0xc888
BR_INST_EXEC.NONTAKEN_CONDITIONAL, 0x4188
BR_INST_EXEC.TAKEN_CONDITIONAL, 0x8188
BR_INST_EXEC.TAKEN_DIRECT_JUMP, 0x8288
BR_INST_EXEC.TAKEN_DIRECT_NEAR_CALL, 0x9088
BR_INST_EXEC.TAKEN_INDIRECT_JUMP_NON_CALL_RET, 0x8488
BR_INST_EXEC.TAKEN_INDIRECT_NEAR_CALL, 0xa088
BR_INST_EXEC.TAKEN_INDIRECT_NEAR_RETURN, 0x8888
BR_INST_RETIRED.ALL_BRANCHES, 0xc4
BR_INST_RETIRED.ALL_BRANCHES_PEBS, 0x4c4
BR_INST_RETIRED.CONDITIONAL, 0x1c4
BR_INST_RETIRED.FAR_BRANCH, 0x40c4
BR_INST_RETIRED.NEAR_CALL, 0x2c4
BR_INST_RETIRED.NEAR_CALL_R3, 0x2c4
BR_INST_RETIRED.NEAR_RETURN, 0x8c4
BR_INST_RETIRED.NEAR_TAKEN, 0x20c4
BR_INST_RETIRED.NOT_TAKEN, 0x10c4
BR_MISP_EXEC.ALL_BRANCHES, 0xff89
BR_MISP_EXEC.ALL_CONDITIONAL, 0xc189
BR_MISP_EXEC.ALL_DIRECT_NEAR_CALL, 0xd089
BR_MISP_EXEC.ALL_INDIRECT_JUMP_NON_CALL_RET, 0xc489
BR_MISP_EXEC.INDIRECT, 0xe489
BR_MISP_EXEC.NONTAKEN_CONDITIONAL, 0x4189
BR_MISP_EXEC.TAKEN_CONDITIONAL, 0x8189
BR_MISP_EXEC.TAKEN_DIRECT_NEAR_CALL, 0x9089
BR_MISP_EXEC.TAKEN_INDIRECT_JUMP_NON_CALL_RET, 0x8489
BR_MISP_EXEC.TAKEN_INDIRECT_NEAR_CALL, 0xa089
BR_MISP_EXEC.TAKEN_RETURN_NEAR, 0x8889
BR_MISP_RETIRED.ALL_BRANCHES, 0xc5
BR_MISP_RETIRED.ALL_BRANCHES_PEBS, 0x4c5
BR_MISP_RETIRED.CONDITIONAL, 0x1c5
BR_MISP_RETIRED.NEAR_CALL, 0x2c5
BR_MISP_RETIRED.NOT_TAKEN, 0x10c5
BR_MISP_RETIRED.TAKEN, 0x20c5
