UNC_CHA_DISTRESS_ASSERTED.DPT_TOR, 0x259
UNC_CHA_IMC_WRITES_COUNT.FULL, 0x15b
UNC_CHA_IMC_WRITES_COUNT.FULL_PRIORITY, 0x45b
UNC_CHA_IMC_WRITES_COUNT.PARTIAL, 0x25b
UNC_CHA_IMC_WRITES_COUNT.PARTIAL_PRIORITY, 0x85b
UNC_CHA_LLC_LOOKUP.ALL_REMOTE, 0x17e0ff34
UNC_CHA_LLC_LOOKUP.CODE, 0x1bd0ff34
UNC_CHA_LLC_LOOKUP.DATA_RD, 0x1bc1ff34
UNC_CHA_LLC_LOOKUP.DATA_READ_ALL, 0x1fc1ff34
UNC_CHA_LLC_LOOKUP.DATA_READ_LOCAL, 0x841ff34
UNC_CHA_LLC_LOOKUP.DATA_READ_MISS, 0x1fc10134
UNC_CHA_LLC_LOOKUP.LOCALLY_HOMED_ADDRESS, 0xbdfff34
UNC_CHA_LLC_LOOKUP.LOCAL_CODE, 0x19d0ff34
UNC_CHA_LLC_LOOKUP.LOCAL_DATA_RD, 0x19c1ff34
UNC_CHA_LLC_LOOKUP.LOCAL_DMND_CODE, 0x1850ff34
UNC_CHA_LLC_LOOKUP.LOCAL_DMND_DATA_RD, 0x1841ff34
UNC_CHA_LLC_LOOKUP.LOCAL_DMND_RFO, 0x1848ff34
UNC_CHA_LLC_LOOKUP.LOCAL_LLC_PF, 0x189dff34
UNC_CHA_LLC_LOOKUP.LOCAL_PF, 0x199dff34
UNC_CHA_LLC_LOOKUP.LOCAL_PF_CODE, 0x1910ff34
UNC_CHA_LLC_LOOKUP.LOCAL_PF_DATA_RD, 0x1981ff34
UNC_CHA_LLC_LOOKUP.LOCAL_PF_RFO, 0x1908ff34
UNC_CHA_LLC_LOOKUP.LOCAL_RFO, 0x19c8ff34
UNC_CHA_LLC_LOOKUP.REMOTELY_HOMED_ADDRESS, 0x15dfff34
UNC_CHA_LLC_LOOKUP.REMOTE_CODE, 0x1a10ff34
UNC_CHA_LLC_LOOKUP.REMOTE_DATA_RD, 0x1a01ff34
UNC_CHA_LLC_LOOKUP.REMOTE_RFO, 0x1a08ff34
UNC_CHA_LLC_LOOKUP.REMOTE_SNP, 0x1c19ff34
UNC_CHA_LLC_LOOKUP.RFO, 0x1bc8ff34
UNC_CHA_LLC_LOOKUP.RFO_LOCAL, 0x9c8ff34
UNC_CHA_LLC_LOOKUP.WRITE_LOCAL, 0x842ff34
UNC_CHA_LLC_LOOKUP.WRITE_REMOTE, 0x17c2ff34
UNC_CHA_LLC_VICTIMS.ALL, 0xf37
UNC_CHA_LLC_VICTIMS.IA, 0x2037
UNC_CHA_LLC_VICTIMS.IO, 0x1037
UNC_CHA_LLC_VICTIMS.LOCAL_ALL, 0x200f37
UNC_CHA_LLC_VICTIMS.LOCAL_E, 0x200237
UNC_CHA_LLC_VICTIMS.LOCAL_F, 0x200837
UNC_CHA_LLC_VICTIMS.LOCAL_M, 0x200137
UNC_CHA_LLC_VICTIMS.LOCAL_S, 0x200437
UNC_CHA_LLC_VICTIMS.REMOTE_ALL, 0x800f37
UNC_CHA_LLC_VICTIMS.REMOTE_E, 0x800237
UNC_CHA_LLC_VICTIMS.REMOTE_M, 0x800137
UNC_CHA_LLC_VICTIMS.REMOTE_S, 0x800437
UNC_CHA_LLC_VICTIMS.TOTAL_E, 0x237
UNC_CHA_LLC_VICTIMS.TOTAL_M, 0x137
UNC_CHA_LLC_VICTIMS.TOTAL_S, 0x437
UNC_CHA_MISC.RFO_HIT_S, 0x839
UNC_CHA_OSB.LOCAL_INVITOE, 0x155
UNC_CHA_OSB.LOCAL_READ, 0x255
UNC_CHA_OSB.OFF_PWRHEURISTIC, 0x2055
UNC_CHA_OSB.REMOTE_READ, 0x455
UNC_CHA_OSB.RFO_HITS_SNP_BCAST, 0x1055
UNC_CHA_REMOTE_SF.ALLOC_EXCLUSIVE, 0x1069
UNC_CHA_REMOTE_SF.ALLOC_SHARED, 0x869
UNC_CHA_REMOTE_SF.DEALLOC_EVCTCLN, 0x4069
UNC_CHA_REMOTE_SF.DIRBACKED_ONLY, 0x69
UNC_CHA_REMOTE_SF.HIT_EXCLUSIVE, 0x269
UNC_CHA_REMOTE_SF.HIT_SHARED, 0x169
UNC_CHA_REMOTE_SF.INCLUSIVE_ONLY, 0x69
UNC_CHA_REMOTE_SF.MISS, 0x469
UNC_CHA_REMOTE_SF.UPDATE_EXCLUSIVE, 0x69
UNC_CHA_REMOTE_SF.UPDATE_SHARED, 0x8069
UNC_CHA_REMOTE_SF.VICTIM_EXCLUSIVE, 0x69
UNC_CHA_REMOTE_SF.VICTIM_SHARED, 0x69
UNC_CHA_REQUESTS.INVITOE, 0x3050
UNC_CHA_REQUESTS.INVITOE_LOCAL, 0x1050
UNC_CHA_REQUESTS.INVITOE_REMOTE, 0x2050
UNC_CHA_REQUESTS.READS, 0x350
UNC_CHA_REQUESTS.READS_LOCAL, 0x150
UNC_CHA_REQUESTS.READS_REMOTE, 0x250
UNC_CHA_REQUESTS.WRITES, 0xc50
UNC_CHA_REQUESTS.WRITES_LOCAL, 0x450
UNC_CHA_REQUESTS.WRITES_REMOTE, 0x850
UNC_CHA_RxC_INSERTS.IRQ, 0x113
UNC_CHA_RxC_OCCUPANCY.IRQ, 0x111
UNC_CHA_SF_EVICTION.E_STATE, 0x23d
UNC_CHA_SF_EVICTION.M_STATE, 0x13d
UNC_CHA_SF_EVICTION.S_STATE, 0x43d
UNC_CHA_TOR_INSERTS.ALL, 0xc001ffff35
UNC_CHA_TOR_INSERTS.CXL_HIT_CLFLUSH, 0x78c8c7fd2035
UNC_CHA_TOR_INSERTS.CXL_HIT_FSRDCUR, 0x78c8effd2035
UNC_CHA_TOR_INSERTS.CXL_HIT_FSRDCURPTL, 0x78c9effd2035
UNC_CHA_TOR_INSERTS.CXL_HIT_ITOM, 0x78cc47fd2035
UNC_CHA_TOR_INSERTS.CXL_HIT_ITOMWR, 0x78cc4ffd2035
UNC_CHA_TOR_INSERTS.CXL_HIT_MEMPUSHWR, 0x78cc6ffd2035
UNC_CHA_TOR_INSERTS.CXL_HIT_WCIL, 0x78c86ffd2035
UNC_CHA_TOR_INSERTS.CXL_HIT_WCILF, 0x78c867fd2035
UNC_CHA_TOR_INSERTS.CXL_HIT_WIL, 0x78c87ffd2035
UNC_CHA_TOR_INSERTS.CXL_MISS_CLFLUSH, 0x78c8c7fe2035
UNC_CHA_TOR_INSERTS.CXL_MISS_FSRDCUR, 0x78c8effe2035
UNC_CHA_TOR_INSERTS.CXL_MISS_FSRDCURPTL, 0x78c9effe2035
UNC_CHA_TOR_INSERTS.CXL_MISS_ITOM, 0x78cc47fe2035
UNC_CHA_TOR_INSERTS.CXL_MISS_ITOMWR, 0x78cc4ffe2035
UNC_CHA_TOR_INSERTS.CXL_MISS_MEMPUSHWR, 0x78cc6ffe2035
UNC_CHA_TOR_INSERTS.CXL_MISS_WCIL, 0x78c86ffe2035
UNC_CHA_TOR_INSERTS.CXL_MISS_WCILF, 0x78c867fe2035
UNC_CHA_TOR_INSERTS.CXL_MISS_WIL, 0x78c87ffe2035
UNC_CHA_TOR_INSERTS.IA, 0xc001ff0135
UNC_CHA_TOR_INSERTS.IA_CLFLUSH, 0xc8c7ff0135
UNC_CHA_TOR_INSERTS.IA_CRD, 0xc80fff0135
UNC_CHA_TOR_INSERTS.IA_CRD_PREF, 0xc88fff0135
UNC_CHA_TOR_INSERTS.IA_DRD, 0xc817ff0135
UNC_CHA_TOR_INSERTS.IA_DRDPTE, 0xc837ff0135
UNC_CHA_TOR_INSERTS.IA_DRD_PREF, 0xc897ff0135
UNC_CHA_TOR_INSERTS.IA_HIT, 0xc001fd0135
UNC_CHA_TOR_INSERTS.IA_HIT_CRD, 0xc80ffd0135
UNC_CHA_TOR_INSERTS.IA_HIT_CRD_PREF, 0xc88ffd0135
UNC_CHA_TOR_INSERTS.IA_HIT_CXL_ACC, 0x10c001810135
UNC_CHA_TOR_INSERTS.IA_HIT_DRD, 0xc817fd0135
UNC_CHA_TOR_INSERTS.IA_HIT_DRDPTE, 0xc837fd0135
UNC_CHA_TOR_INSERTS.IA_HIT_DRD_PREF, 0xc897fd0135
UNC_CHA_TOR_INSERTS.IA_HIT_ITOM, 0xcc47fd0135
UNC_CHA_TOR_INSERTS.IA_HIT_LLCPREFCODE, 0xcccffd0135
UNC_CHA_TOR_INSERTS.IA_HIT_LLCPREFDATA, 0xccd7fd0135
UNC_CHA_TOR_INSERTS.IA_HIT_LLCPREFRFO, 0xccc7fd0135
UNC_CHA_TOR_INSERTS.IA_HIT_RFO, 0xc807fd0135
UNC_CHA_TOR_INSERTS.IA_HIT_RFO_PREF, 0xc887fd0135
UNC_CHA_TOR_INSERTS.IA_ITOM, 0xcc47ff0135
UNC_CHA_TOR_INSERTS.IA_ITOMCACHENEAR, 0xcd47ff0135
UNC_CHA_TOR_INSERTS.IA_LLCPREFCODE, 0xcccfff0135
UNC_CHA_TOR_INSERTS.IA_LLCPREFDATA, 0xccd7ff0135
UNC_CHA_TOR_INSERTS.IA_LLCPREFRFO, 0xccc7ff0135
UNC_CHA_TOR_INSERTS.IA_MISS, 0xc001fe0135
UNC_CHA_TOR_INSERTS.IA_MISS_CRD, 0xc80ffe0135
UNC_CHA_TOR_INSERTS.IA_MISS_CRD_LOCAL, 0xc80efe0135
UNC_CHA_TOR_INSERTS.IA_MISS_CRD_PREF, 0xc88ffe0135
UNC_CHA_TOR_INSERTS.IA_MISS_CRD_PREF_LOCAL, 0xc88efe0135
