CYCLE_ACTIVITY.CYCLES_L3_MISS, 0x2a3
CYCLE_ACTIVITY.STALLS_L3_MISS, 0x6a3
HLE_RETIRED.ABORTED, 0x4c8
HLE_RETIRED.ABORTED_EVENTS, 0x80c8
HLE_RETIRED.ABORTED_MEM, 0x8c8
HLE_RETIRED.ABORTED_MEMTYPE, 0x40c8
HLE_RETIRED.ABORTED_TIMER, 0x10c8
HLE_RETIRED.ABORTED_UNFRIENDLY, 0x20c8
HLE_RETIRED.COMMIT, 0x2c8
HLE_RETIRED.START, 0x1c8
MACHINE_CLEARS.MEMORY_ORDERING, 0x2c3
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_128, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_16, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_256, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_32, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_512, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_64, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_8, 0x1cd
OFFCORE_REQUESTS.L3_MISS_DEMAND_DATA_RD, 0x10b0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD, 0x1060
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD, 0x1060
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6, 0x1060
RTM_RETIRED.ABORTED, 0x4c9
RTM_RETIRED.ABORTED_EVENTS, 0x80c9
RTM_RETIRED.ABORTED_MEM, 0x8c9
RTM_RETIRED.ABORTED_MEMTYPE, 0x40c9
RTM_RETIRED.ABORTED_TIMER, 0x10c9
RTM_RETIRED.ABORTED_UNFRIENDLY, 0x20c9
