LD_HEAD.ANY, 0x7f05
MEM_BOUND_STALLS_IFETCH.ALL, 0x7f35
MEM_BOUND_STALLS_IFETCH.L2_HIT, 0x135
MEM_BOUND_STALLS_IFETCH.L2_MISS, 0x7e35
MEM_BOUND_STALLS_LOAD.ALL, 0x7f34
MEM_BOUND_STALLS_LOAD.L2_HIT, 0x134
MEM_BOUND_STALLS_LOAD.L2_MISS, 0x7e34
MEM_BOUND_STALLS_LOAD.LLC_MISS, 0x7834
MEM_BOUND_STALLS_LOAD.SBFULL, 0x8034
MEM_INST_RETIRED.ALL_LOADS, 0x81d0
MEM_INST_RETIRED.ALL_STORES, 0x82d0
MEM_INST_RETIRED.ALL_SWPF, 0x84d0
MEM_INST_RETIRED.ANY, 0x87d0
MEM_INST_RETIRED.LOCK_LOADS, 0x21d0
MEM_INST_RETIRED.SPLIT_LOADS, 0x41d0
MEM_INST_RETIRED.SPLIT_STORES, 0x42d0
MEM_INST_RETIRED.STLB_HIT_LOADS, 0x9d0
MEM_INST_RETIRED.STLB_HIT_STORES, 0xad0
MEM_INST_RETIRED.STLB_MISS_LOADS, 0x11d0
MEM_INST_RETIRED.STLB_MISS_STORES, 0x12d0
MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD, 0x10d2
MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM, 0x4d2
MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS, 0x1d2
MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD, 0x2d2
MEM_LOAD_L3_MISS_RETIRED.MEMSIDE_CACHE, 0xd3
MEM_LOAD_MISC_RETIRED.UC, 0x4d4
MEM_LOAD_RETIRED.FB_HIT, 0x40d1
MEM_LOAD_RETIRED.L1_HIT, 0x1d1
MEM_LOAD_RETIRED.L1_HIT_L1, 0xd1
MEM_LOAD_RETIRED.L1_MISS, 0x8d1
MEM_LOAD_RETIRED.L2_HIT, 0x2d1
MEM_LOAD_RETIRED.L2_MISS, 0x10d1
MEM_LOAD_RETIRED.L3_HIT, 0x4d1
MEM_LOAD_RETIRED.L3_MISS, 0x20d1
MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM, 0x1d3
MEM_LOAD_UOPS_L3_MISS_RETIRED.MEMSIDE_CACHE, 0x40d3
MEM_LOAD_UOPS_LLC_MISS_RETIRED.LOCAL_DRAM, 0x1d3
MEM_LOAD_UOPS_LLC_MISS_RETIRED.MEMSIDE_CACHE, 0x40d3
MEM_LOAD_UOPS_RETIRED.L1_HIT, 0x1d1
MEM_LOAD_UOPS_RETIRED.L1_MISS, 0x40d1
MEM_LOAD_UOPS_RETIRED.L2_HIT, 0x2d1
MEM_LOAD_UOPS_RETIRED.L2_MISS, 0x80d1
MEM_LOAD_UOPS_RETIRED.WCB_HIT, 0x20d1
MEM_SCHEDULER_BLOCK.ALL, 0x704
MEM_SCHEDULER_BLOCK.LD_BUF, 0x204
MEM_SCHEDULER_BLOCK.RSV, 0x404
MEM_SCHEDULER_BLOCK.ST_BUF, 0x104
MEM_STORE_RETIRED.L2_HIT, 0x144
MEM_STORE_RETIRED.MEMSIDE_CACHE, 0x44
MEM_UOPS_RETIRED.ALL, 0x83d0
MEM_UOPS_RETIRED.ALL_LOADS, 0x81d0
MEM_UOPS_RETIRED.ALL_STORES, 0x82d0
MEM_UOPS_RETIRED.LOAD_LATENCY_GT_128, 0x5d0
MEM_UOPS_RETIRED.LOAD_LATENCY_GT_16, 0x5d0
MEM_UOPS_RETIRED.LOAD_LATENCY_GT_256, 0x5d0
MEM_UOPS_RETIRED.LOAD_LATENCY_GT_32, 0x5d0
MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4, 0x5d0
MEM_UOPS_RETIRED.LOAD_LATENCY_GT_512, 0x5d0
MEM_UOPS_RETIRED.LOAD_LATENCY_GT_64, 0x5d0
MEM_UOPS_RETIRED.LOAD_LATENCY_GT_8, 0x5d0
MEM_UOPS_RETIRED.LOCK_LOADS, 0x21d0
MEM_UOPS_RETIRED.MRN_LOADS, 0x9d0
MEM_UOPS_RETIRED.MRN_STORES, 0xad0
MEM_UOPS_RETIRED.SPLIT, 0x43d0
MEM_UOPS_RETIRED.SPLIT_LOADS, 0x41d0
MEM_UOPS_RETIRED.SPLIT_STORES, 0x42d0
MEM_UOPS_RETIRED.STLB_MISS, 0x13d0
MEM_UOPS_RETIRED.STLB_MISS_LOADS, 0x11d0
MEM_UOPS_RETIRED.STLB_MISS_STORES, 0x12d0
MEM_UOPS_RETIRED.STORE_LATENCY, 0x6d0
MEM_UOP_RETIRED.ANY, 0xfe5
OCR.COREWB_M.ANY_RESPONSE, 0x1b7
OCR.COREWB_NONM.ANY_RESPONSE, 0x1b7
OCR.DEMAND_CODE_RD.ANY_RESPONSE, 0x1b7
OCR.DEMAND_CODE_RD.MEMSIDE_CACHE, 0x1b7
OCR.DEMAND_DATA_RD.ANY_RESPONSE, 0x1b7
OCR.DEMAND_DATA_RD.MEMSIDE_CACHE, 0x1b7
OCR.DEMAND_RFO.ANY_RESPONSE, 0x1b7
OFFCORE_REQUESTS.ALL_REQUESTS, 0x8021
OFFCORE_REQUESTS.DATA_RD, 0x821
OFFCORE_REQUESTS.DEMAND_CODE_RD, 0x221
OFFCORE_REQUESTS.DEMAND_DATA_RD, 0x121
OFFCORE_REQUESTS.DEMAND_RFO, 0x421
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD, 0x820
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_CODE_RD, 0x220
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_DATA_RD, 0x120
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO, 0x420
OFFCORE_REQUESTS_OUTSTANDING.DATA_RD, 0x820
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_CODE_RD, 0x220
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_DATA_RD, 0x120
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_RFO, 0x420
SQ_MISC.BUS_LOCK, 0x102c
SW_PREFETCH_ACCESS.ANY, 0xf40
SW_PREFETCH_ACCESS.NTA, 0x140
SW_PREFETCH_ACCESS.PREFETCHW, 0x840
SW_PREFETCH_ACCESS.T0, 0x240
SW_PREFETCH_ACCESS.T1_T2, 0x440
TOPDOWN_FE_BOUND.ICACHE, 0x2071
UNC_M_CAS_COUNT_RD, 0x22
UNC_M_CAS_COUNT_WR, 0x23
UNC_M_DRAM_THERMAL_HOT, 0x19
UNC_M_DRAM_THERMAL_WARM, 0x1a
