cycle_activity.stalls_l3_miss, 0x6a3
unc_p_fivr_ps_ps1_cycles, 0x76
unc_p_fivr_ps_ps2_cycles, 0x77
unc_p_fivr_ps_ps3_cycles, 0x78
unc_p_freq_clip_avx256, 0x49
unc_p_freq_clip_avx512, 0x4a
unc_p_freq_max_limit_thermal_cycles, 0x4
unc_p_freq_max_power_cycles, 0x5
unc_p_freq_min_io_p_cycles, 0x73
unc_p_freq_trans_cycles, 0x74
unc_p_memory_phase_shedding_cycles, 0x2f
unc_p_pkg_residency_c0_cycles, 0x2a
unc_p_pkg_residency_c2e_cycles, 0x2b
unc_p_pkg_residency_c6_cycles, 0x2d
unc_p_pmax_throttled_cycles, 0x6
unc_p_power_state_occupancy_cores_c0, 0x35
unc_p_power_state_occupancy_cores_c3, 0x36
unc_p_power_state_occupancy_cores_c6, 0x37
unc_p_prochot_external_cycles, 0xa
unc_p_prochot_internal_cycles, 0x9
unc_p_total_transition_cycles, 0x72
unc_p_vr_hot_cycles, 0x42
unc_cha_bypass_cha_imc.intermediate, 0x257
unc_cha_bypass_cha_imc.not_taken, 0x457
unc_cha_bypass_cha_imc.taken, 0x157
unc_cha_clockticks, 0x1
unc_cha_cms_clockticks, 0xc0
unc_cha_core_snp.any_gtone, 0xf233
unc_cha_core_snp.any_one, 0xf133
unc_cha_core_snp.core_gtone, 0x4233
unc_cha_core_snp.core_one, 0x4133
unc_cha_core_snp.evict_gtone, 0x8233
unc_cha_core_snp.evict_one, 0x8133
unc_cha_core_snp.ext_gtone, 0x2233
unc_cha_core_snp.ext_one, 0x2133
unc_cha_core_snp.remote_gtone, 0x1233
unc_cha_core_snp.remote_one, 0x1133
unc_cha_direct_go.ha_suppress_drd, 0x46e
unc_cha_direct_go.ha_suppress_no_d2c, 0x26e
unc_cha_direct_go.ha_tor_dealloc, 0x16e
unc_cha_direct_go_opc.extcmp, 0x16d
unc_cha_direct_go_opc.fast_go, 0x106d
unc_cha_direct_go_opc.fast_go_pull, 0x206d
unc_cha_direct_go_opc.go, 0x46d
unc_cha_direct_go_opc.go_pull, 0x86d
unc_cha_direct_go_opc.idle_due_suppress, 0x806d
unc_cha_direct_go_opc.nop, 0x406d
unc_cha_direct_go_opc.pull, 0x26d
unc_cha_dir_lookup.no_snp, 0x253
unc_cha_dir_lookup.snp, 0x153
unc_cha_dir_update.ha, 0x154
unc_cha_dir_update.tor, 0x254
unc_cha_egress_ordering.iv_snoopgo_dn, 0x4ba
unc_cha_egress_ordering.iv_snoopgo_up, 0x1ba
unc_cha_hitme_hit.ex_rds, 0x15f
unc_cha_hitme_hit.shared_ownreq, 0x45f
unc_cha_hitme_hit.wbmtoe, 0x85f
unc_cha_hitme_hit.wbmtoi_or_s, 0x105f
unc_cha_hitme_lookup.read, 0x15e
unc_cha_hitme_lookup.write, 0x25e
unc_cha_hitme_miss.notshared_rdinvown, 0x4060
unc_cha_hitme_miss.read_or_inv, 0x8060
unc_cha_hitme_miss.shared_rdinvown, 0x2060
unc_cha_hitme_update.deallocate, 0x1061
unc_cha_hitme_update.deallocate_rspfwdi_loc, 0x161
unc_cha_hitme_update.rdinvown, 0x861
unc_cha_hitme_update.rspfwdi_rem, 0x261
unc_cha_hitme_update.shared, 0x461
unc_cha_imc_reads_count.normal, 0x159
unc_cha_imc_reads_count.priority, 0x259
unc_cha_imc_writes_count.full, 0x15b
unc_cha_imc_writes_count.full_priority, 0x45b
unc_cha_imc_writes_count.partial, 0x25b
unc_cha_imc_writes_count.partial_priority, 0x85b
unc_cha_llc_lookup.all, 0x1fffff34
unc_cha_llc_lookup.all_remote, 0x17e0ff34
unc_cha_llc_lookup.any_f, 0x34
unc_cha_llc_lookup.code, 0x1bd0ff34
unc_cha_llc_lookup.code_read_f, 0x34
unc_cha_llc_lookup.corepref_or_dmnd_local_f, 0x34
unc_cha_llc_lookup.data_rd, 0x1bc1ff34
unc_cha_llc_lookup.data_read_all, 0x1fc1ff34
unc_cha_llc_lookup.data_read_f, 0x34
unc_cha_llc_lookup.data_read_local, 0x841ff34
unc_cha_llc_lookup.data_read_miss, 0x1fc10134
unc_cha_llc_lookup.e, 0x2034
unc_cha_llc_lookup.f, 0x8034
unc_cha_llc_lookup.flush_inv, 0x1a44ff34
unc_cha_llc_lookup.flush_or_inv_f, 0x34
unc_cha_llc_lookup.i, 0x134
unc_cha_llc_lookup.llcpref_local_f, 0x34
unc_cha_llc_lookup.locally_homed_address, 0xbdfff34
unc_cha_llc_lookup.local_code, 0x19d0ff34
