HLE_RETIRED.ABORTED, 0x4c8
DTLB_STORE_MISSES.WALK_COMPLETED_4K, 0x249
DTLB_STORE_MISSES.WALK_DURATION, 0x1049
EPT.WALK_CYCLES, 0x104f
ITLB.ITLB_FLUSH, 0x1ae
ITLB_MISSES.MISS_CAUSES_A_WALK, 0x185
ITLB_MISSES.STLB_HIT, 0x6085
ITLB_MISSES.STLB_HIT_2M, 0x4085
ITLB_MISSES.STLB_HIT_4K, 0x2085
ITLB_MISSES.WALK_COMPLETED, 0xe85
ITLB_MISSES.WALK_COMPLETED_1G, 0x885
ITLB_MISSES.WALK_COMPLETED_2M_4M, 0x485
ITLB_MISSES.WALK_COMPLETED_4K, 0x285
ITLB_MISSES.WALK_DURATION, 0x1085
PAGE_WALKER_LOADS.DTLB_L1, 0x11bc
PAGE_WALKER_LOADS.DTLB_L2, 0x12bc
PAGE_WALKER_LOADS.DTLB_L3, 0x14bc
PAGE_WALKER_LOADS.DTLB_MEMORY, 0x18bc
PAGE_WALKER_LOADS.EPT_DTLB_L1, 0x41bc
PAGE_WALKER_LOADS.EPT_DTLB_L2, 0x42bc
PAGE_WALKER_LOADS.EPT_DTLB_L3, 0x44bc
PAGE_WALKER_LOADS.EPT_DTLB_MEMORY, 0x48bc
PAGE_WALKER_LOADS.EPT_ITLB_L1, 0x81bc
PAGE_WALKER_LOADS.EPT_ITLB_L2, 0x82bc
PAGE_WALKER_LOADS.EPT_ITLB_L3, 0x84bc
PAGE_WALKER_LOADS.EPT_ITLB_MEMORY, 0x88bc
PAGE_WALKER_LOADS.ITLB_L1, 0x21bc
PAGE_WALKER_LOADS.ITLB_L2, 0x22bc
PAGE_WALKER_LOADS.ITLB_L3, 0x24bc
PAGE_WALKER_LOADS.ITLB_MEMORY, 0x28bc
TLB_FLUSH.DTLB_THREAD, 0x1bd
TLB_FLUSH.STLB_ANY, 0x20bd
AVX_INSTS.ALL, 0x7c6
FP_ASSIST.ANY, 0x1eca
FP_ASSIST.SIMD_INPUT, 0x10ca
FP_ASSIST.SIMD_OUTPUT, 0x8ca
FP_ASSIST.X87_INPUT, 0x4ca
FP_ASSIST.X87_OUTPUT, 0x2ca
MOVE_ELIMINATION.SIMD_ELIMINATED, 0x258
MOVE_ELIMINATION.SIMD_NOT_ELIMINATED, 0x858
OTHER_ASSISTS.AVX_TO_SSE, 0x8c1
OTHER_ASSISTS.SSE_TO_AVX, 0x10c1
UNC_CBO_CACHE_LOOKUP.ANY_ES, 0x8634
UNC_CBO_CACHE_LOOKUP.ANY_I, 0x8834
UNC_CBO_CACHE_LOOKUP.ANY_M, 0x8134
UNC_CBO_CACHE_LOOKUP.ANY_MESI, 0x8f34
UNC_CBO_CACHE_LOOKUP.EXTSNP_ES, 0x4634
UNC_CBO_CACHE_LOOKUP.EXTSNP_I, 0x4834
UNC_CBO_CACHE_LOOKUP.EXTSNP_M, 0x4134
UNC_CBO_CACHE_LOOKUP.EXTSNP_MESI, 0x4f34
UNC_CBO_CACHE_LOOKUP.READ_ES, 0x1634
UNC_CBO_CACHE_LOOKUP.READ_I, 0x1834
UNC_CBO_CACHE_LOOKUP.READ_M, 0x1134
UNC_CBO_CACHE_LOOKUP.READ_MESI, 0x1f34
UNC_CBO_CACHE_LOOKUP.WRITE_ES, 0x2634
UNC_CBO_CACHE_LOOKUP.WRITE_I, 0x2834
UNC_CBO_CACHE_LOOKUP.WRITE_M, 0x2134
UNC_CBO_CACHE_LOOKUP.WRITE_MESI, 0x2f34
UNC_CBO_XSNP_RESPONSE.HITM_EVICTION, 0x8822
UNC_CBO_XSNP_RESPONSE.HITM_EXTERNAL, 0x2822
UNC_CBO_XSNP_RESPONSE.HITM_XCORE, 0x4822
UNC_CBO_XSNP_RESPONSE.HIT_EVICTION, 0x8422
