fp_arith_ops_retired.vector, 0x3cc7
fp_arith_ops_retired.vector_128b, 0xcc7
fp_arith_ops_retired.vector_256b, 0x30c7
fp_flops_retired.all, 0x3c8
fp_flops_retired.all, 0x3c8
fp_flops_retired.dp, 0x1c8
fp_flops_retired.fp32, 0x2c8
fp_flops_retired.fp32, 0x2c8
fp_flops_retired.fp64, 0x1c8
fp_flops_retired.fp64, 0x1c8
fp_flops_retired.sp, 0x2c8
fp_inst_retired.128b_dp, 0x8c7
fp_inst_retired.128b_dp, 0x8c7
fp_inst_retired.128b_sp, 0x4c7
fp_inst_retired.128b_sp, 0x4c7
fp_inst_retired.256b_dp, 0x20c7
fp_inst_retired.256b_dp, 0x20c7
fp_inst_retired.256b_sp, 0x10c7
fp_inst_retired.32b_sp, 0x1c7
fp_inst_retired.32b_sp, 0x1c7
fp_inst_retired.64b_dp, 0x2c7
fp_inst_retired.64b_dp, 0x2c7
fp_inst_retired.all, 0x3fc7
fp_vint_uops_executed.primary, 0x1eb2
fp_vint_uops_executed.std, 0x1b2
machine_clears.fp_assist, 0x4c3
machine_clears.fp_assist, 0x4c3
uops_retired.fpdiv, 0x8c2
uops_retired.fpdiv, 0x8c2
unc_hac_cbo_tor_allocation.all, 0x835
unc_hac_cbo_tor_allocation.drd, 0x135
assists.hardware, 0x4c1
assists.page_fault, 0x8c1
lbr_inserts.any, 0x1e4
ocr.full_streaming_wr.any_response, 0x1b7
ocr.partial_streaming_wr.any_response, 0x1b7
ocr.streaming_wr.any_response, 0x1b7
ocr.streaming_wr.any_response_0, 0x12a
ocr.streaming_wr.any_response_1, 0x12b
xq.full, 0x12d
baclears.any, 0x1e6
baclears.any, 0x160
baclears.any, 0x1e6
decode.lcp, 0x187
decode.ms_busy, 0x287
dsb2mite_switches.penalty_cycles, 0x261
frontend_retired.any_ant, 0x3c6
frontend_retired.any_dsb_miss, 0x3c6
frontend_retired.dsb_miss, 0x3c6
frontend_retired.icache, 0x20c6
frontend_retired.itlb_miss, 0x10c6
frontend_retired.itlb_miss, 0x3c6
frontend_retired.itlb_miss, 0x10c6
frontend_retired.l1i_miss, 0x3c6
frontend_retired.l2_miss, 0x3c6
frontend_retired.latency_ge_128, 0x3c6
frontend_retired.latency_ge_16, 0x3c6
frontend_retired.latency_ge_2, 0x3c6
frontend_retired.latency_ge_256, 0x3c6
frontend_retired.latency_ge_2_bubbles_ge_1, 0x3c6
frontend_retired.latency_ge_32, 0x3c6
frontend_retired.latency_ge_4, 0x3c6
frontend_retired.latency_ge_512, 0x3c6
frontend_retired.latency_ge_64, 0x3c6
frontend_retired.latency_ge_8, 0x3c6
frontend_retired.misp_ant, 0x2c6
frontend_retired.ms_flows, 0x3c6
frontend_retired.stlb_miss, 0x3c6
frontend_retired.unknown_branch, 0x3c6
frontend_retired_source.icache_l2_hit, 0x1c9
frontend_retired_source.icache_l2_miss, 0xec9
frontend_retired_source.icache_l3_hit, 0x6c9
frontend_retired_source.itlb_stlb_hit, 0x10c9
frontend_retired_source.itlb_stlb_miss, 0x20c9
icache.accesses, 0x380
icache.accesses, 0x380
icache.hit, 0x180
icache.misses, 0x280
icache.misses, 0x280
icache_data.stalls, 0x480
icache_data.stall_periods, 0x480
icache_tag.stalls, 0x483
idq.dsb_cycles_any, 0x879
idq.dsb_cycles_ok, 0x879
idq.dsb_uops, 0x879
idq.mite_cycles_any, 0x479
idq.mite_cycles_ok, 0x479
idq.mite_uops, 0x479
idq.ms_cycles_any, 0x2079
idq.ms_switches, 0x2079
idq.ms_uops, 0x2079
idq_bubbles.core, 0x19c
idq_bubbles.cycles_0_uops_deliv.core, 0x19c
idq_bubbles.cycles_fe_was_ok, 0x19c
idq_bubbles.fetch_latency, 0x49c
idq_bubbles.starvation_cycles, 0x19c
ms_decoded.ms_busy, 0x4e7
unc_hac_arb_req_trk_request.drd, 0x281
unc_hac_arb_transactions.all, 0x18a
unc_hac_arb_transactions.reads, 0x28a
unc_hac_arb_transactions.writes, 0x48a
unc_hac_arb_trk_requests.all, 0x181
arith.div_active, 0x3cd
arith.div_active, 0x9b0
arith.div_active, 0x3cd
arith.idiv_active, 0x8b0
assists.any, 0x1fc1
be_stalls.scoreboard, 0x2a2
br_inst_retired.all_branches, 0xc4
br_inst_retired.all_branches, 0xc4
br_inst_retired.all_branches, 0xc4
br_inst_retired.cond, 0x7ec4
br_inst_retired.cond, 0x111c4
br_inst_retired.cond, 0x7ec4
br_inst_retired.cond_ntaken, 0x10c4
br_inst_retired.cond_taken, 0xfec4
br_inst_retired.cond_taken, 0x101c4
br_inst_retired.cond_taken, 0xfec4
br_inst_retired.cond_taken_bwd, 0x1c4
br_inst_retired.cond_taken_fwd, 0x102c4
br_inst_retired.far_branch, 0xbfc4
br_inst_retired.far_branch, 0x40c4
br_inst_retired.far_branch, 0xbfc4
br_inst_retired.indirect, 0xebc4
br_inst_retired.indirect, 0x80c4
br_inst_retired.indirect, 0xebc4
br_inst_retired.indirect_call, 0xfbc4
br_inst_retired.indirect_call, 0xfbc4
br_inst_retired.indirect_jmp, 0xefc4
br_inst_retired.near_call, 0xf9c4
br_inst_retired.near_call, 0x2c4
br_inst_retired.near_call, 0xf9c4
br_inst_retired.near_return, 0xf7c4
br_inst_retired.near_return, 0x8c4
br_inst_retired.near_return, 0xf7c4
br_inst_retired.near_taken, 0x20c4
