umc_mem_clk, 0x0
umc_act_cmd.all, 0x5
umc_act_cmd.rd, 0x5
umc_act_cmd.wr, 0x5
umc_pchg_cmd.all, 0x6
umc_pchg_cmd.rd, 0x6
umc_pchg_cmd.wr, 0x6
umc_cas_cmd.all, 0xa
umc_cas_cmd.rd, 0xa
umc_cas_cmd.wr, 0xa
umc_data_slot_clks.all, 0x14
umc_data_slot_clks.rd, 0x14
umc_data_slot_clks.wr, 0x14
ls_bad_status2.stli_other, 0x224
ls_dispatch.ld_dispatch, 0x129
ls_dispatch.store_dispatch, 0x229
ls_dispatch.ld_st_dispatch, 0x429
ls_stlf, 0x35
ls_st_commit_cancel2.st_commit_cancel_wcb_full, 0x137
ls_l1_d_tlb_miss.tlb_reload_4k_l2_hit, 0x145
ls_l1_d_tlb_miss.tlb_reload_coalesced_page_hit, 0x245
ls_l1_d_tlb_miss.tlb_reload_2m_l2_hit, 0x445
ls_l1_d_tlb_miss.tlb_reload_1g_l2_hit, 0x845
ls_l1_d_tlb_miss.tlb_reload_4k_l2_miss, 0x1045
ls_l1_d_tlb_miss.tlb_reload_coalesced_page_miss, 0x2045
ls_l1_d_tlb_miss.tlb_reload_2m_l2_miss, 0x4045
ls_l1_d_tlb_miss.tlb_reload_1g_l2_miss, 0x8045
ls_l1_d_tlb_miss.all_l2_miss, 0xf045
ls_l1_d_tlb_miss.all, 0xff45
ls_misal_loads.ma64, 0x147
ls_misal_loads.ma4k, 0x247
ls_tlb_flush.all, 0xff78
bp_l1_tlb_miss_l2_tlb_hit, 0x84
bp_l1_tlb_miss_l2_tlb_miss.if4k, 0x185
bp_l1_tlb_miss_l2_tlb_miss.if2m, 0x285
bp_l1_tlb_miss_l2_tlb_miss.if1g, 0x485
bp_l1_tlb_miss_l2_tlb_miss.coalesced_4k, 0x885
bp_l1_tlb_miss_l2_tlb_miss.all, 0xf85
bp_l1_tlb_fetch_hit.if4k, 0x194
bp_l1_tlb_fetch_hit.if2m, 0x294
bp_l1_tlb_fetch_hit.if1g, 0x494
bp_l1_tlb_fetch_hit.all, 0x794
all_data_cache_accesses, 0x729
fp_ret_x87_fp_ops.add_sub_ops, 0x102
fp_ret_x87_fp_ops.mul_ops, 0x202
fp_ret_x87_fp_ops.div_sqrt_ops, 0x402
fp_ret_x87_fp_ops.all, 0x702
fp_ret_sse_avx_ops.add_sub_flops, 0x103
fp_ret_sse_avx_ops.mult_flops, 0x203
fp_ret_sse_avx_ops.div_flops, 0x403
fp_ret_sse_avx_ops.mac_flops, 0x803
fp_ret_sse_avx_ops.bfloat_mac_flops, 0x1003
fp_ret_sse_avx_ops.all, 0x1f03
fp_retired_ser_ops.x87_ctrl_ret, 0x105
fp_retired_ser_ops.x87_bot_ret, 0x205
fp_retired_ser_ops.sse_ctrl_ret, 0x405
fp_retired_ser_ops.sse_bot_ret, 0x805
fp_retired_ser_ops.all, 0xf05
fp_ops_retired_by_width.x87_uops_retired, 0x108
fp_ops_retired_by_width.mmx_uops_retired, 0x208
fp_ops_retired_by_width.scalar_uops_retired, 0x408
fp_ops_retired_by_width.pack_128_uops_retired, 0x808
fp_ops_retired_by_width.pack_256_uops_retired, 0x1008
fp_ops_retired_by_width.pack_512_uops_retired, 0x2008
fp_ops_retired_by_width.all, 0x3f08
fp_ops_retired_by_type.scalar_add, 0x10a
fp_ops_retired_by_type.scalar_sub, 0x20a
fp_ops_retired_by_type.scalar_mul, 0x30a
fp_ops_retired_by_type.scalar_mac, 0x40a
fp_ops_retired_by_type.scalar_div, 0x50a
fp_ops_retired_by_type.scalar_sqrt, 0x60a
fp_ops_retired_by_type.scalar_cmp, 0x70a
fp_ops_retired_by_type.scalar_cvt, 0x80a
fp_ops_retired_by_type.scalar_blend, 0x90a
fp_ops_retired_by_type.scalar_other, 0xe0a
fp_ops_retired_by_type.scalar_all, 0xf0a
fp_ops_retired_by_type.vector_add, 0x100a
fp_ops_retired_by_type.vector_sub, 0x200a
fp_ops_retired_by_type.vector_mul, 0x300a
fp_ops_retired_by_type.vector_mac, 0x400a
fp_ops_retired_by_type.vector_div, 0x500a
fp_ops_retired_by_type.vector_sqrt, 0x600a
fp_ops_retired_by_type.vector_cmp, 0x700a
fp_ops_retired_by_type.vector_cvt, 0x800a
fp_ops_retired_by_type.vector_blend, 0x900a
fp_ops_retired_by_type.vector_shuffle, 0xb00a
fp_ops_retired_by_type.vector_logical, 0xd00a
fp_ops_retired_by_type.vector_other, 0xe00a
fp_ops_retired_by_type.vector_all, 0xf00a
fp_ops_retired_by_type.all, 0xff0a
sse_avx_ops_retired.mmx_add, 0x10b
sse_avx_ops_retired.mmx_sub, 0x20b
sse_avx_ops_retired.mmx_mul, 0x30b
sse_avx_ops_retired.mmx_mac, 0x40b
sse_avx_ops_retired.mmx_cmp, 0x70b
sse_avx_ops_retired.mmx_shift, 0x90b
sse_avx_ops_retired.mmx_mov, 0xa0b
sse_avx_ops_retired.mmx_shuffle, 0xb0b
sse_avx_ops_retired.mmx_pack, 0xc0b
sse_avx_ops_retired.mmx_logical, 0xd0b
sse_avx_ops_retired.mmx_other, 0xe0b
sse_avx_ops_retired.mmx_all, 0xf0b
sse_avx_ops_retired.sse_avx_add, 0x100b
sse_avx_ops_retired.sse_avx_sub, 0x200b
sse_avx_ops_retired.sse_avx_mul, 0x300b
sse_avx_ops_retired.sse_avx_mac, 0x400b
sse_avx_ops_retired.sse_avx_aes, 0x500b
sse_avx_ops_retired.sse_avx_sha, 0x600b
sse_avx_ops_retired.sse_avx_cmp, 0x700b
sse_avx_ops_retired.sse_avx_clm, 0x800b
sse_avx_ops_retired.sse_avx_shift, 0x900b
sse_avx_ops_retired.sse_avx_mov, 0xa00b
sse_avx_ops_retired.sse_avx_shuffle, 0xb00b
sse_avx_ops_retired.sse_avx_pack, 0xc00b
sse_avx_ops_retired.sse_avx_logical, 0xd00b
sse_avx_ops_retired.sse_avx_other, 0xe00b
sse_avx_ops_retired.sse_avx_all, 0xf00b
sse_avx_ops_retired.all, 0xff0b
fp_pack_ops_retired.fp128_add, 0x10c
fp_pack_ops_retired.fp128_sub, 0x20c
fp_pack_ops_retired.fp128_mul, 0x30c
fp_pack_ops_retired.fp128_mac, 0x40c
fp_pack_ops_retired.fp128_div, 0x50c
fp_pack_ops_retired.fp128_sqrt, 0x60c
fp_pack_ops_retired.fp128_cmp, 0x70c
fp_pack_ops_retired.fp128_cvt, 0x80c
fp_pack_ops_retired.fp128_blend, 0x90c
fp_pack_ops_retired.fp128_shuffle, 0xb0c
fp_pack_ops_retired.fp128_logical, 0xd0c
fp_pack_ops_retired.fp128_other, 0xe0c
fp_pack_ops_retired.fp128_all, 0xf0c
fp_pack_ops_retired.fp256_add, 0x100c
fp_pack_ops_retired.fp256_sub, 0x200c
fp_pack_ops_retired.fp256_mul, 0x300c
fp_pack_ops_retired.fp256_mac, 0x400c
fp_pack_ops_retired.fp256_div, 0x500c
fp_pack_ops_retired.fp256_sqrt, 0x600c
fp_pack_ops_retired.fp256_cmp, 0x700c
fp_pack_ops_retired.fp256_cvt, 0x800c
fp_pack_ops_retired.fp256_blend, 0x900c
fp_pack_ops_retired.fp256_shuffle, 0xb00c
fp_pack_ops_retired.fp256_logical, 0xd00c
fp_pack_ops_retired.fp256_other, 0xe00c
fp_pack_ops_retired.fp256_all, 0xf00c
fp_pack_ops_retired.all, 0xff0c
packed_int_op_type.int128_add, 0x10d
packed_int_op_type.int128_sub, 0x20d
packed_int_op_type.int128_mul, 0x30d
packed_int_op_type.int128_mac, 0x40d
packed_int_op_type.int128_aes, 0x50d
packed_int_op_type.int128_sha, 0x60d
packed_int_op_type.int128_cmp, 0x70d
packed_int_op_type.int128_clm, 0x80d
packed_int_op_type.int128_shift, 0x90d
packed_int_op_type.int128_mov, 0xa0d
packed_int_op_type.int128_shuffle, 0xb0d
packed_int_op_type.int128_pack, 0xc0d
packed_int_op_type.int128_logical, 0xd0d
packed_int_op_type.int128_other, 0xe0d
packed_int_op_type.int128_all, 0xf0d
packed_int_op_type.int256_add, 0x100d
packed_int_op_type.int256_sub, 0x200d
packed_int_op_type.int256_mul, 0x300d
packed_int_op_type.int256_mac, 0x400d
packed_int_op_type.int256_cmp, 0x700d
packed_int_op_type.int256_shift, 0x900d
