TOPDOWN_FE_BOUND.ITLB, 0x1071
TOPDOWN_FE_BOUND.ITLB_MISS, 0x1071
TOPDOWN_FE_BOUND.OTHER, 0x8071
TOPDOWN_FE_BOUND.PREDECODE, 0x471
TOPDOWN_RETIRING.ALL, 0x72
TOPDOWN_RETIRING.ALL_P, 0x72
UOPS_DECODED.DEC0_UOPS, 0x176
UOPS_DISPATCHED.PORT_0, 0x1b2
UOPS_DISPATCHED.PORT_1, 0x2b2
UOPS_DISPATCHED.PORT_2_3_10, 0x4b2
UOPS_DISPATCHED.PORT_4_9, 0x10b2
UOPS_DISPATCHED.PORT_5_11, 0x20b2
UOPS_DISPATCHED.PORT_6, 0x40b2
UOPS_DISPATCHED.PORT_7_8, 0x80b2
UOPS_EXECUTED.CORE, 0x2b1
UOPS_EXECUTED.CORE_CYCLES_GE_1, 0x2b1
UOPS_EXECUTED.CORE_CYCLES_GE_2, 0x2b1
UOPS_EXECUTED.CORE_CYCLES_GE_3, 0x2b1
UOPS_EXECUTED.CORE_CYCLES_GE_4, 0x2b1
UOPS_EXECUTED.CYCLES_GE_1, 0x1b1
UOPS_EXECUTED.CYCLES_GE_2, 0x1b1
UOPS_EXECUTED.CYCLES_GE_3, 0x1b1
UOPS_EXECUTED.CYCLES_GE_4, 0x1b1
UOPS_EXECUTED.STALLS, 0x1b1
UOPS_EXECUTED.THREAD, 0x1b1
UOPS_EXECUTED.X87, 0x10b1
UOPS_ISSUED.ANY, 0xe
UOPS_ISSUED.ANY, 0x1ae
UOPS_ISSUED.CYCLES, 0x1ae
UOPS_RETIRED.ALL, 0xc2
UOPS_RETIRED.CYCLES, 0x2c2
UOPS_RETIRED.HEAVY, 0x1c2
UOPS_RETIRED.IDIV, 0x10c2
UOPS_RETIRED.MS, 0x1c2
UOPS_RETIRED.MS, 0x4c2
UOPS_RETIRED.SLOTS, 0x2c2
UOPS_RETIRED.STALLS, 0x2c2
UOPS_RETIRED.X87, 0x2c2
DL1.DIRTY_EVICTION, 0x151
L1D.HWPF_MISS, 0x2051
L1D.REPLACEMENT, 0x151
L1D_PEND_MISS.FB_FULL, 0x248
L1D_PEND_MISS.FB_FULL_PERIODS, 0x248
L1D_PEND_MISS.L2_STALLS, 0x448
L1D_PEND_MISS.PENDING, 0x148
L1D_PEND_MISS.PENDING_CYCLES, 0x148
L2_LINES_IN.ALL, 0x1f25
L2_LINES_IN.E, 0x425
L2_LINES_IN.F, 0x1025
L2_LINES_IN.M, 0x825
L2_LINES_IN.S, 0x225
L2_LINES_OUT.NON_SILENT, 0x226
L2_LINES_OUT.NON_SILENT, 0x226
L2_LINES_OUT.SILENT, 0x126
L2_LINES_OUT.SILENT, 0x126
L2_LINES_OUT.USELESS_HWPF, 0x426
