machine_clears.memory_ordering, 0x2c3
unc_p_power_state_occupancy.cores_c3, 0x80
unc_p_power_state_occupancy.cores_c6, 0x80
unc_p_prochot_external_cycles, 0xa
unc_p_prochot_internal_cycles, 0x9
unc_p_total_transition_cycles, 0xb
unc_p_volt_trans_cycles_change, 0x3
unc_p_volt_trans_cycles_decrease, 0x2
unc_p_volt_trans_cycles_increase, 0x1
unc_p_vr_hot_cycles, 0x32
unc_c_counter0_occupancy, 0x1f
unc_c_ismq_drd_miss_occ, 0x21
unc_c_llc_lookup.data_read, 0x334
unc_c_llc_lookup.nid, 0x4134
unc_c_llc_lookup.remote_snoop, 0x934
unc_c_llc_lookup.write, 0x534
unc_c_llc_victims.e_state, 0x237
unc_c_llc_victims.miss, 0x837
unc_c_llc_victims.m_state, 0x137
unc_c_llc_victims.nid, 0x4037
unc_c_llc_victims.s_state, 0x437
unc_c_misc.rfo_hit_s, 0x839
unc_c_misc.rspi_was_fse, 0x139
unc_c_misc.started, 0x439
unc_c_misc.wc_aliasing, 0x239
unc_c_ring_ad_used.down_even, 0x41b
unc_c_ring_ad_used.down_odd, 0x81b
unc_c_ring_ad_used.up_even, 0x11b
unc_c_ring_ad_used.up_odd, 0x21b
unc_c_ring_ak_used.down_even, 0x41c
unc_c_ring_ak_used.down_odd, 0x81c
unc_c_ring_ak_used.up_even, 0x11c
unc_c_ring_ak_used.up_odd, 0x21c
unc_c_ring_bl_used.down_even, 0x41d
unc_c_ring_bl_used.down_odd, 0x81d
unc_c_ring_bl_used.up_even, 0x11d
unc_c_ring_bl_used.up_odd, 0x21d
unc_c_ring_bounces.ak_core, 0x205
unc_c_ring_bounces.bl_core, 0x405
unc_c_ring_bounces.iv_core, 0x805
unc_c_ring_iv_used.any, 0xf1e
unc_c_ring_sink_starved.ad_cache, 0x106
unc_c_ring_sink_starved.ak_core, 0x206
unc_c_ring_sink_starved.bl_core, 0x406
unc_c_ring_sink_starved.iv_core, 0x806
unc_c_ring_src_thrtl, 0x7
unc_c_rxr_ext_starved.ipq, 0x212
unc_c_rxr_ext_starved.irq, 0x112
unc_c_rxr_ext_starved.ismq, 0x412
unc_c_rxr_ext_starved.ismq_bids, 0x812
unc_c_rxr_inserts.ipq, 0x413
unc_c_rxr_inserts.irq, 0x113
unc_c_rxr_inserts.irq_rejected, 0x213
unc_c_rxr_inserts.vfifo, 0x1013
unc_c_rxr_int_starved.ipq, 0x414
unc_c_rxr_int_starved.irq, 0x114
unc_c_rxr_int_starved.ismq, 0x814
unc_c_rxr_ipq_retry.addr_conflict, 0x431
unc_c_rxr_ipq_retry.any, 0x131
unc_c_rxr_ipq_retry.full, 0x231
unc_c_rxr_ipq_retry.qpi_credits, 0x1031
unc_c_rxr_irq_retry.addr_conflict, 0x432
unc_c_rxr_irq_retry.any, 0x132
unc_c_rxr_irq_retry.full, 0x232
unc_c_rxr_irq_retry.qpi_credits, 0x1032
unc_c_rxr_irq_retry.rtid, 0x832
unc_c_rxr_ismq_retry.any, 0x133
unc_c_rxr_ismq_retry.full, 0x233
unc_c_rxr_ismq_retry.iio_credits, 0x2033
unc_c_rxr_ismq_retry.qpi_credits, 0x1033
unc_c_rxr_ismq_retry.rtid, 0x833
unc_c_rxr_occupancy.ipq, 0x411
unc_c_rxr_occupancy.irq, 0x111
unc_c_rxr_occupancy.irq_rejected, 0x211
unc_c_rxr_occupancy.vfifo, 0x1011
unc_c_tor_inserts.eviction, 0x435
unc_c_tor_inserts.miss_all, 0xa35
unc_c_tor_inserts.miss_opcode, 0x335
unc_c_tor_inserts.nid_all, 0x4835
unc_c_tor_inserts.nid_eviction, 0x4435
unc_c_tor_inserts.nid_miss_all, 0x4a35
unc_c_tor_inserts.nid_miss_opcode, 0x4335
unc_c_tor_inserts.nid_opcode, 0x4135
unc_c_tor_inserts.nid_wb, 0x5035
unc_c_tor_inserts.opcode, 0x135
unc_c_tor_inserts.wb, 0x1035
unc_c_tor_occupancy.all, 0x836
unc_c_tor_occupancy.eviction, 0x436
unc_c_tor_occupancy.miss_all, 0xa36
unc_c_tor_occupancy.miss_opcode, 0x336
unc_c_tor_occupancy.nid_all, 0x4836
unc_c_tor_occupancy.nid_eviction, 0x4436
unc_c_tor_occupancy.nid_miss_all, 0x4a36
unc_c_tor_occupancy.nid_miss_opcode, 0x4336
unc_c_tor_occupancy.nid_opcode, 0x4136
unc_c_tor_occupancy.opcode, 0x136
unc_c_txr_ads_used, 0x4
unc_c_txr_inserts.ad_cache, 0x102
unc_c_txr_inserts.ad_core, 0x1002
unc_c_txr_inserts.ak_cache, 0x202
unc_c_txr_inserts.ak_core, 0x2002
unc_c_txr_inserts.bl_cache, 0x402
unc_c_txr_inserts.bl_core, 0x4002
unc_c_txr_inserts.iv_cache, 0x802
unc_c_txr_starved.ak, 0x203
unc_c_txr_starved.bl, 0x403
unc_h_bypass_imc.not_taken, 0x214
unc_h_bypass_imc.taken, 0x114
unc_h_conflict_cycles.conflict, 0x20b
unc_h_conflict_cycles.no_conflict, 0x10b
unc_h_direct2core_count, 0x11
unc_h_direct2core_cycles_disabled, 0x12
unc_h_direct2core_txn_override, 0x13
unc_h_directory_lookup.no_snp, 0x20c
unc_h_directory_lookup.snp, 0x10c
unc_h_directory_update.any, 0x30d
unc_h_directory_update.clear, 0x20d
unc_h_directory_update.set, 0x10d
unc_h_igr_no_credit_cycles.ad_qpi0, 0x122
unc_h_igr_no_credit_cycles.ad_qpi1, 0x222
unc_h_igr_no_credit_cycles.bl_qpi0, 0x422
unc_h_igr_no_credit_cycles.bl_qpi1, 0x822
unc_h_imc_retry, 0x1e
unc_h_imc_writes.all, 0xf1a
unc_h_imc_writes.full, 0x11a
unc_h_imc_writes.full_isoch, 0x41a
unc_h_imc_writes.partial, 0x21a
unc_h_imc_writes.partial_isoch, 0x81a
unc_h_requests.reads, 0x301
unc_h_requests.writes, 0xc01
unc_h_ring_ad_used.ccw_even, 0x43e
unc_h_ring_ad_used.ccw_odd, 0x83e
unc_h_ring_ad_used.cw_even, 0x13e
unc_h_ring_ad_used.cw_odd, 0x23e
unc_h_ring_ak_used.ccw_even, 0x43f
unc_h_ring_ak_used.ccw_odd, 0x83f
unc_h_ring_ak_used.cw_even, 0x13f
unc_h_ring_ak_used.cw_odd, 0x23f
unc_h_ring_bl_used.ccw_even, 0x440
unc_h_ring_bl_used.ccw_odd, 0x840
unc_h_ring_bl_used.cw_even, 0x140
unc_h_ring_bl_used.cw_odd, 0x240
unc_h_rpq_cycles_no_reg_credits.chn0, 0x115
unc_h_rpq_cycles_no_reg_credits.chn1, 0x215
unc_h_rpq_cycles_no_reg_credits.chn2, 0x415
unc_h_rpq_cycles_no_reg_credits.chn3, 0x815
unc_h_rpq_cycles_no_spec_credits.chn0, 0x116
unc_h_rpq_cycles_no_spec_credits.chn1, 0x216
unc_h_rpq_cycles_no_spec_credits.chn2, 0x416
unc_h_rpq_cycles_no_spec_credits.chn3, 0x816
unc_h_tad_requests_g0.region0, 0x11b
unc_h_tad_requests_g0.region1, 0x21b
unc_h_tad_requests_g0.region2, 0x41b
unc_h_tad_requests_g0.region3, 0x81b
unc_h_tad_requests_g0.region4, 0x101b
unc_h_tad_requests_g0.region5, 0x201b
unc_h_tad_requests_g0.region6, 0x401b
unc_h_tad_requests_g0.region7, 0x801b
unc_h_tad_requests_g1.region10, 0x41c
unc_h_tad_requests_g1.region11, 0x81c
unc_h_tad_requests_g1.region8, 0x11c
unc_h_tad_requests_g1.region9, 0x21c
unc_h_tracker_inserts.all, 0x306
unc_h_txr_ad.ndr, 0x10f
unc_h_txr_ad.snp, 0x20f
unc_h_txr_ad_cycles_full.all, 0x32a
unc_h_txr_ad_cycles_full.sched0, 0x12a
unc_h_txr_ad_cycles_full.sched1, 0x22a
unc_h_txr_ad_cycles_ne.all, 0x329
unc_h_txr_ad_cycles_ne.sched0, 0x129
unc_h_txr_ad_cycles_ne.sched1, 0x229
unc_h_txr_ad_inserts.all, 0x327
unc_h_txr_ad_inserts.sched0, 0x127
unc_h_txr_ad_inserts.sched1, 0x227
unc_h_txr_ad_occupancy.all, 0x328
unc_h_txr_ad_occupancy.sched0, 0x128
unc_h_txr_ad_occupancy.sched1, 0x228
unc_h_txr_ak_cycles_full.all, 0x332
unc_h_txr_ak_cycles_full.sched0, 0x132
unc_h_txr_ak_cycles_full.sched1, 0x232
unc_h_txr_ak_cycles_ne.all, 0x331
unc_h_txr_ak_cycles_ne.sched0, 0x131
unc_h_txr_ak_cycles_ne.sched1, 0x231
unc_h_txr_ak_inserts.all, 0x32f
unc_h_txr_ak_inserts.sched0, 0x12f
unc_h_txr_ak_inserts.sched1, 0x22f
unc_h_txr_ak_ndr, 0xe
unc_h_txr_ak_occupancy.all, 0x330
unc_h_txr_ak_occupancy.sched0, 0x130
unc_h_txr_ak_occupancy.sched1, 0x230
unc_h_txr_bl.drs_cache, 0x110
unc_h_txr_bl.drs_core, 0x210
unc_h_txr_bl.drs_qpi, 0x410
unc_h_txr_bl_cycles_full.all, 0x336
unc_h_txr_bl_cycles_full.sched0, 0x136
unc_h_txr_bl_cycles_full.sched1, 0x236
unc_h_txr_bl_cycles_ne.all, 0x335
unc_h_txr_bl_cycles_ne.sched0, 0x135
unc_h_txr_bl_cycles_ne.sched1, 0x235
unc_h_txr_bl_inserts.all, 0x333
unc_h_txr_bl_inserts.sched0, 0x133
unc_h_txr_bl_inserts.sched1, 0x233
unc_h_txr_bl_occupancy.all, 0x334
unc_h_txr_bl_occupancy.sched0, 0x134
unc_h_txr_bl_occupancy.sched1, 0x234
unc_h_wpq_cycles_no_reg_credits.chn0, 0x118
unc_h_wpq_cycles_no_reg_credits.chn1, 0x218
unc_h_wpq_cycles_no_reg_credits.chn2, 0x418
unc_h_wpq_cycles_no_reg_credits.chn3, 0x818
unc_h_wpq_cycles_no_spec_credits.chn0, 0x119
unc_h_wpq_cycles_no_spec_credits.chn1, 0x219
unc_h_wpq_cycles_no_spec_credits.chn2, 0x419
unc_h_wpq_cycles_no_spec_credits.chn3, 0x819
cpl_cycles.ring0, 0x15c
cpl_cycles.ring0_trans, 0x15c
cpl_cycles.ring123, 0x25c
hw_pre_req.dl1_miss, 0x24e
lock_cycles.split_lock_uc_lock_duration, 0x163
baclears.any, 0x1fe6
dsb2mite_switches.count, 0x1ab
dsb2mite_switches.penalty_cycles, 0x2ab
dsb_fill.all_cancel, 0xaac
dsb_fill.exceed_dsb_lines, 0x8ac
dsb_fill.other_cancel, 0x2ac
icache.hit, 0x180
icache.misses, 0x280
idq.all_dsb_cycles_4_uops, 0x1879
idq.all_dsb_cycles_any_uops, 0x1879
idq.all_mite_cycles_4_uops, 0x2479
idq.all_mite_cycles_any_uops, 0x2479
idq.dsb_cycles, 0x879
idq.dsb_uops, 0x879
idq.empty, 0x279
idq.mite_all_uops, 0x3c79
idq.mite_cycles, 0x479
idq.mite_uops, 0x479
idq.ms_cycles, 0x3079
idq.ms_dsb_cycles, 0x1079
idq.ms_dsb_occur, 0x1079
idq.ms_dsb_uops, 0x1079
idq.ms_mite_uops, 0x2079
idq.ms_switches, 0x3079
idq.ms_uops, 0x3079
idq_uops_not_delivered.core, 0x19c
idq_uops_not_delivered.cycles_0_uops_deliv.core, 0x19c
idq_uops_not_delivered.cycles_fe_was_ok, 0x19c
idq_uops_not_delivered.cycles_ge_1_uop_deliv.core, 0x19c
idq_uops_not_delivered.cycles_le_1_uop_deliv.core, 0x19c
idq_uops_not_delivered.cycles_le_2_uop_deliv.core, 0x19c
idq_uops_not_delivered.cycles_le_3_uop_deliv.core, 0x19c
insts_written_to_iq.insts, 0x117
unc_i_address_match.merge_count, 0x217
unc_i_address_match.stall_count, 0x117
unc_i_cache_ack_pending_occupancy.any, 0x114
unc_i_cache_ack_pending_occupancy.source, 0x214
unc_i_cache_own_occupancy.any, 0x113
unc_i_cache_own_occupancy.source, 0x213
unc_i_cache_read_occupancy.any, 0x110
unc_i_cache_read_occupancy.source, 0x210
unc_i_cache_total_occupancy.any, 0x112
unc_i_cache_total_occupancy.source, 0x212
unc_i_cache_write_occupancy.any, 0x111
unc_i_cache_write_occupancy.source, 0x211
unc_i_rxr_ak_cycles_full, 0xb
unc_i_rxr_ak_inserts, 0xa
unc_i_rxr_ak_occupancy, 0xc
unc_i_rxr_bl_drs_cycles_full, 0x4
unc_i_rxr_bl_drs_inserts, 0x1
unc_i_rxr_bl_drs_occupancy, 0x7
unc_i_rxr_bl_ncb_cycles_full, 0x5
unc_i_rxr_bl_ncb_inserts, 0x2
unc_i_rxr_bl_ncb_occupancy, 0x8
unc_i_rxr_bl_ncs_cycles_full, 0x6
unc_i_rxr_bl_ncs_inserts, 0x3
unc_i_rxr_bl_ncs_occupancy, 0x9
unc_i_tickles.lost_ownership, 0x116
unc_i_tickles.top_of_queue, 0x216
unc_i_transactions.pd_prefetches, 0x415
unc_i_transactions.reads, 0x115
unc_i_transactions.writes, 0x215
unc_i_txr_ad_stall_credit_cycles, 0x18
unc_i_txr_bl_stall_credit_cycles, 0x19
unc_i_txr_data_inserts_ncb, 0xe
unc_i_txr_data_inserts_ncs, 0xf
unc_i_txr_request_occupancy, 0xd
unc_i_write_ordering_stall_cycles, 0x1a
unc_q_clockticks, 0x14
unc_q_cto_count, 0x38
unc_q_direct2core.failure_credits, 0x213
unc_q_direct2core.failure_credits_rbt, 0x813
unc_q_direct2core.failure_rbt, 0x413
unc_q_direct2core.success, 0x113
unc_q_l1_power_cycles, 0x12
unc_q_rxl0p_power_cycles, 0x10
unc_q_rxl0_power_cycles, 0xf
unc_q_rxl_bypassed, 0x9
unc_q_rxl_crc_errors.link_init, 0x103
unc_q_rxl_crc_errors.normal_op, 0x203
unc_q_rxl_credits_consumed_vn0.drs, 0x11e
unc_q_rxl_credits_consumed_vn0.hom, 0x81e
unc_q_rxl_credits_consumed_vn0.ncb, 0x21e
unc_q_rxl_credits_consumed_vn0.ncs, 0x41e
unc_q_rxl_credits_consumed_vn0.ndr, 0x201e
unc_q_rxl_credits_consumed_vn0.snp, 0x101e
unc_q_rxl_credits_consumed_vna, 0x1d
unc_q_rxl_cycles_ne, 0xa
unc_q_rxl_flits_g0.data, 0x201
unc_q_rxl_flits_g0.idle, 0x101
unc_q_rxl_flits_g0.non_data, 0x401
unc_q_rxl_flits_g1.drs, 0x1802
unc_q_rxl_flits_g1.drs_data, 0x802
unc_q_rxl_flits_g1.drs_nondata, 0x1002
unc_q_rxl_flits_g1.hom, 0x602
unc_q_rxl_flits_g1.hom_nonreq, 0x402
unc_q_rxl_flits_g1.hom_req, 0x202
unc_q_rxl_flits_g1.snp, 0x102
unc_q_rxl_flits_g2.ncb, 0xc03
unc_q_rxl_flits_g2.ncb_data, 0x403
unc_q_rxl_flits_g2.ncb_nondata, 0x803
unc_q_rxl_flits_g2.ncs, 0x1003
unc_q_rxl_flits_g2.ndr_ad, 0x103
unc_q_rxl_flits_g2.ndr_ak, 0x203
unc_q_rxl_inserts, 0x8
unc_q_rxl_inserts_drs, 0x9
unc_q_rxl_inserts_hom, 0xc
unc_q_rxl_inserts_ncb, 0xa
unc_q_rxl_inserts_ncs, 0xb
unc_q_rxl_inserts_ndr, 0xe
unc_q_rxl_inserts_snp, 0xd
unc_q_rxl_occupancy, 0xb
unc_q_rxl_occupancy_drs, 0x15
unc_q_rxl_occupancy_hom, 0x18
unc_q_rxl_occupancy_ncb, 0x16
unc_q_rxl_occupancy_ncs, 0x17
unc_q_rxl_occupancy_ndr, 0x1a
unc_q_rxl_occupancy_snp, 0x19
unc_q_rxl_stalls.bgf_drs, 0x135
unc_q_rxl_stalls.bgf_hom, 0x835
unc_q_rxl_stalls.bgf_ncb, 0x235
unc_q_rxl_stalls.bgf_ncs, 0x435
unc_q_rxl_stalls.bgf_ndr, 0x2035
unc_q_rxl_stalls.bgf_snp, 0x1035
unc_q_rxl_stalls.egress_credits, 0x4035
unc_q_rxl_stalls.gv, 0x8035
unc_q_txl0p_power_cycles, 0xd
unc_q_txl0_power_cycles, 0xc
unc_q_txl_bypassed, 0x5
unc_q_txl_crc_no_credits.almost_full, 0x202
unc_q_txl_crc_no_credits.full, 0x102
unc_q_txl_cycles_ne, 0x6
unc_q_txl_flits_g2.ncb, 0xc01
unc_q_txl_flits_g2.ncb_data, 0x401
unc_q_txl_flits_g2.ncb_nondata, 0x801
unc_q_txl_flits_g2.ncs, 0x1001
unc_q_txl_flits_g2.ndr_ad, 0x101
unc_q_txl_flits_g2.ndr_ak, 0x201
unc_q_txl_inserts, 0x4
unc_q_txl_occupancy, 0x7
unc_q_vna_credit_returns, 0x1c
unc_q_vna_credit_return_occupancy, 0x1b
unc_r3_clockticks, 0x1
unc_r3_iio_credits_acquired.drs, 0x820
unc_r3_iio_credits_acquired.ncb, 0x1020
unc_r3_iio_credits_acquired.ncs, 0x2020
unc_r3_iio_credits_reject.drs, 0x821
unc_r3_iio_credits_reject.ncb, 0x1021
unc_r3_iio_credits_reject.ncs, 0x2021
unc_r3_iio_credits_used.drs, 0x822
unc_r3_iio_credits_used.ncb, 0x1022
unc_r3_iio_credits_used.ncs, 0x2022
unc_r3_ring_ad_used.ccw_even, 0x407
unc_r3_ring_ad_used.ccw_odd, 0x807
unc_r3_ring_ad_used.cw_even, 0x107
unc_r3_ring_ad_used.cw_odd, 0x207
unc_r3_ring_ak_used.ccw_even, 0x408
unc_r3_ring_ak_used.ccw_odd, 0x808
unc_r3_ring_ak_used.cw_even, 0x108
unc_r3_ring_ak_used.cw_odd, 0x208
unc_r3_ring_bl_used.ccw_even, 0x409
unc_r3_ring_bl_used.ccw_odd, 0x809
unc_r3_ring_bl_used.cw_even, 0x109
unc_r3_ring_bl_used.cw_odd, 0x209
unc_r3_ring_iv_used.any, 0xf0a
unc_r3_rxr_bypassed.ad, 0x112
unc_r3_rxr_cycles_ne.drs, 0x810
unc_r3_rxr_cycles_ne.hom, 0x110
