hle_retired.aborted, 0x4c8
page_walker_loads.dtlb_l2, 0x12bc
page_walker_loads.dtlb_l3, 0x14bc
page_walker_loads.dtlb_memory, 0x18bc
page_walker_loads.itlb_l1, 0x21bc
page_walker_loads.itlb_l2, 0x22bc
page_walker_loads.itlb_l3, 0x24bc
tlb_flush.dtlb_thread, 0x1bd
tlb_flush.stlb_any, 0x20bd
fp_arith_inst_retired.128b_packed_double, 0x4c7
fp_arith_inst_retired.128b_packed_single, 0x8c7
fp_arith_inst_retired.256b_packed_double, 0x10c7
fp_arith_inst_retired.256b_packed_single, 0x20c7
fp_arith_inst_retired.4_flops, 0x18c7
fp_arith_inst_retired.double, 0x15c7
fp_arith_inst_retired.packed, 0x3cc7
fp_arith_inst_retired.scalar, 0x3c7
fp_arith_inst_retired.scalar_double, 0x1c7
fp_arith_inst_retired.scalar_single, 0x2c7
fp_arith_inst_retired.single, 0x2ac7
fp_arith_inst_retired.vector, 0xfcc7
fp_assist.any, 0x1eca
fp_assist.simd_input, 0x10ca
fp_assist.simd_output, 0x8ca
fp_assist.x87_input, 0x4ca
fp_assist.x87_output, 0x2ca
move_elimination.simd_eliminated, 0x258
move_elimination.simd_not_eliminated, 0x858
other_assists.avx_to_sse, 0x8c1
other_assists.sse_to_avx, 0x10c1
uop_dispatches_cancelled.simd_prf, 0x3a0
unc_p_core0_transition_cycles, 0x60
unc_p_core10_transition_cycles, 0x6a
unc_p_core11_transition_cycles, 0x6b
unc_p_core12_transition_cycles, 0x6c
unc_p_core13_transition_cycles, 0x6d
unc_p_core14_transition_cycles, 0x6e
unc_p_core15_transition_cycles, 0x6f
unc_p_core16_transition_cycles, 0x70
unc_p_core17_transition_cycles, 0x71
unc_p_core1_transition_cycles, 0x61
unc_p_core2_transition_cycles, 0x62
unc_p_core3_transition_cycles, 0x63
unc_p_core4_transition_cycles, 0x64
unc_p_core5_transition_cycles, 0x65
unc_p_core6_transition_cycles, 0x66
unc_p_core7_transition_cycles, 0x67
unc_p_core8_transition_cycles, 0x68
unc_p_core9_transition_cycles, 0x69
unc_p_demotions_core0, 0x30
unc_p_demotions_core1, 0x31
unc_p_demotions_core10, 0x3a
unc_p_demotions_core11, 0x3b
unc_p_demotions_core12, 0x3c
unc_p_demotions_core13, 0x3d
unc_p_demotions_core14, 0x3e
unc_p_demotions_core15, 0x3f
unc_p_demotions_core16, 0x40
unc_p_demotions_core17, 0x41
unc_p_demotions_core2, 0x32
unc_p_demotions_core3, 0x33
unc_p_demotions_core4, 0x34
unc_p_demotions_core5, 0x35
unc_p_demotions_core6, 0x36
unc_p_demotions_core7, 0x37
unc_p_demotions_core8, 0x38
unc_p_demotions_core9, 0x39
unc_p_freq_max_limit_thermal_cycles, 0x4
unc_p_freq_max_os_cycles, 0x6
unc_p_freq_max_power_cycles, 0x5
unc_p_freq_min_io_p_cycles, 0x73
unc_p_freq_trans_cycles, 0x74
unc_p_memory_phase_shedding_cycles, 0x2f
unc_p_pkg_residency_c0_cycles, 0x2a
unc_p_pkg_residency_c1e_cycles, 0x4e
