all_dc_accesses, 0x729
ls_l1_d_tlb_miss.tlb_reload_4k_l2_hit, 0x145
ls_l1_d_tlb_miss.tlb_reload_4k_l2_miss, 0x1045
ls_l1_d_tlb_miss.tlb_reload_coalesced_page_hit, 0x245
ls_l1_d_tlb_miss.tlb_reload_coalesced_page_miss, 0x2045
ls_locks.bus_lock, 0x125
ls_locks.non_spec_lock, 0x225
ls_locks.spec_lock_hi_spec, 0x825
ls_locks.spec_lock_lo_spec, 0x425
ls_mab_alloc.dc_prefetcher, 0x841
ls_mab_alloc.loads, 0x141
ls_mab_alloc.stores, 0x241
ls_misal_accesses, 0x47
ls_not_halted_cyc, 0x76
ls_pref_instr_disp, 0xff4b
ls_pref_instr_disp.prefetch, 0x14b
ls_pref_instr_disp.prefetch_nta, 0x44b
ls_pref_instr_disp.prefetch_w, 0x24b
ls_rdtsc, 0x2d
ls_refills_from_sys.ls_mabresp_lcl_cache, 0x243
ls_refills_from_sys.ls_mabresp_lcl_dram, 0x843
ls_refills_from_sys.ls_mabresp_lcl_l2, 0x143
ls_refills_from_sys.ls_mabresp_rmt_cache, 0x1043
ls_refills_from_sys.ls_mabresp_rmt_dram, 0x4043
ls_ret_cl_flush, 0x26
ls_ret_cpuid, 0x27
ls_smi_rx, 0x2b
ls_st_commit_cancel2.st_commit_cancel_wcb_full, 0x37
ls_stlf, 0x35
ls_sw_pf_dc_fill.ls_mabresp_lcl_cache, 0x259
ls_sw_pf_dc_fill.ls_mabresp_lcl_dram, 0x859
ls_sw_pf_dc_fill.ls_mabresp_lcl_l2, 0x159
ls_sw_pf_dc_fill.ls_mabresp_rmt_cache, 0x1059
ls_sw_pf_dc_fill.ls_mabresp_rmt_dram, 0x4059
ls_tablewalker.dc_type0, 0x146
ls_tablewalker.dc_type1, 0x246
ls_tablewalker.dside, 0x346
ls_tablewalker.ic_type0, 0x446
ls_tablewalker.ic_type1, 0x846
ls_tablewalker.iside, 0xc46
ls_tlb_flush, 0x78
sse_avx_stalls, 0xe0e
uops_dispatched, 0x3aa
uops_retired, 0xc1
xi_ccx_sdp_req1.all_l3_miss_req_typs, 0x3f9a
xi_sys_fill_latency, 0x90
