UNC_CHA_TOR_INSERTS.IO_ITOM_LOCAL, 0xcc42ff0435
UNC_CHA_TOR_INSERTS.IO_ITOM_REMOTE, 0xcc437f0435
UNC_CHA_TOR_INSERTS.IO_MISS, 0xc001fe0435
UNC_CHA_TOR_INSERTS.IO_MISS_ITOM, 0xcc43fe0435
UNC_CHA_TOR_INSERTS.IO_MISS_ITOMCACHENEAR, 0xcd43fe0435
UNC_CHA_TOR_INSERTS.IO_MISS_PCIRDCUR, 0xc8f3fe0435
UNC_CHA_TOR_INSERTS.IO_MISS_RFO, 0xc803fe0435
UNC_CHA_TOR_INSERTS.IO_PCIRDCUR, 0xc8f3ff0435
UNC_CHA_TOR_INSERTS.IO_PCIRDCUR_LOCAL, 0xc8f2ff0435
UNC_CHA_TOR_INSERTS.IO_PCIRDCUR_REMOTE, 0xc8f37f0435
UNC_CHA_TOR_INSERTS.IO_RFO, 0xc803ff0435
UNC_CHA_TOR_INSERTS.IO_WBMTOI, 0xcc23ff0435
UNC_CHA_TOR_INSERTS.LLC_OR_SF_EVICTIONS, 0xc001ff0235
UNC_CHA_TOR_INSERTS.LOC_ALL, 0xc000ff0535
UNC_CHA_TOR_INSERTS.LOC_IA, 0xc000ff0135
UNC_CHA_TOR_INSERTS.LOC_IO, 0xc000ff0435
UNC_CHA_TOR_INSERTS.REM_ALL, 0xc001ffc835
UNC_CHA_TOR_INSERTS.REM_SNPS, 0xc001ff0835
UNC_CHA_TOR_OCCUPANCY.ALL, 0xc001ffff36
UNC_CHA_TOR_OCCUPANCY.CXL_HIT_CLFLUSH, 0x78c8c7fd2036
UNC_CHA_TOR_OCCUPANCY.CXL_HIT_FSRDCUR, 0x78c8effd2036
UNC_CHA_TOR_OCCUPANCY.CXL_HIT_FSRDCURPTL, 0x78c9effd2036
UNC_CHA_TOR_OCCUPANCY.CXL_HIT_ITOM, 0x78cc47fd2036
UNC_CHA_TOR_OCCUPANCY.CXL_HIT_ITOMWR, 0x78cc4ffd2036
UNC_CHA_TOR_OCCUPANCY.CXL_HIT_MEMPUSHWR, 0x78cc6ffd2036
UNC_CHA_TOR_OCCUPANCY.CXL_HIT_WCIL, 0x78c86ffd2036
UNC_CHA_TOR_OCCUPANCY.CXL_HIT_WCILF, 0x78c867fd2036
