machine_clears.memory_ordering, 0x2c3
cpu_clk_unhalted.ref_tsc_p, 0x13c
cycles_div_busy.any, 0xcd
cycles_div_busy.idiv, 0x1cd
inst_retired.any_p, 0xc0
ld_blocks.4k_alias, 0x403
ld_blocks.all, 0x1003
ld_blocks.data_unknown, 0x103
ld_blocks.store_forward, 0x203
machine_clears.any, 0xc3
machine_clears.disambiguation, 0x8c3
machine_clears.page_fault, 0x20c3
machine_clears.smc, 0x1c3
topdown_bad_speculation.all, 0x673
topdown_bad_speculation.fastnuke, 0x273
topdown_bad_speculation.machine_clears, 0x273
topdown_bad_speculation.mispredict, 0x473
topdown_bad_speculation.monuke, 0x273
topdown_be_bound.all, 0x74
topdown_be_bound.alloc_restrictions, 0x174
topdown_be_bound.mem_scheduler, 0x274
topdown_be_bound.non_mem_scheduler, 0x874
topdown_be_bound.register, 0x2074
topdown_be_bound.reorder_buffer, 0x4074
topdown_be_bound.serialization, 0x1074
topdown_be_bound.store_buffer, 0x474
topdown_fe_bound.all, 0x71
topdown_fe_bound.branch_detect, 0x271
topdown_fe_bound.branch_resteer, 0x4071
topdown_fe_bound.cisc, 0x171
topdown_fe_bound.decode, 0x871
topdown_fe_bound.itlb, 0x1071
topdown_fe_bound.other, 0x8071
topdown_fe_bound.predecode, 0x471
topdown_retiring.all, 0xc2
uops_issued.any, 0xe
uops_retired.all, 0xc2
uops_retired.idiv, 0x10c2
uops_retired.ms, 0x1c2
uops_retired.x87, 0x2c2
core_reject_l2q.any, 0x31
dl1.dirty_eviction, 0x151
l2_reject_xq.any, 0x30
l2_request.all, 0x24
l2_request.hit, 0x224
l2_request.miss, 0x124
l2_request.rejects, 0x424
longest_lat_cache.miss, 0x412e
longest_lat_cache.reference, 0x4f2e
mem_bound_stalls.ifetch, 0x3834
mem_bound_stalls.ifetch_dram_hit, 0x2034
mem_bound_stalls.ifetch_l2_hit, 0x834
mem_bound_stalls.ifetch_llc_hit, 0x1034
mem_bound_stalls.load, 0x734
mem_bound_stalls.load_dram_hit, 0x434
mem_bound_stalls.load_l2_hit, 0x134
mem_bound_stalls.load_llc_hit, 0x234
mem_bound_stalls.store_buffer_full, 0x4034
mem_load_uops_retired.dram_hit, 0x80d1
mem_load_uops_retired.hitm, 0x20d1
mem_load_uops_retired.l1_hit, 0x1d1
mem_load_uops_retired.l1_miss, 0x8d1
mem_load_uops_retired.l2_hit, 0x2d1
mem_load_uops_retired.l2_miss, 0x10d1
mem_load_uops_retired.l3_hit, 0x4d1
mem_uops_retired.all, 0x83d0
mem_uops_retired.all_loads, 0x81d0
mem_uops_retired.all_stores, 0x82d0
mem_uops_retired.lock_loads, 0x21d0
mem_uops_retired.split, 0x43d0
mem_uops_retired.split_loads, 0x41d0
mem_uops_retired.split_stores, 0x42d0
ocr.all_code_rd.l3_hit, 0x1b7
ocr.all_code_rd.l3_hit.snoop_hitm, 0x1b7
ocr.all_code_rd.l3_hit.snoop_hit_no_fwd, 0x1b7
ocr.all_code_rd.l3_hit.snoop_hit_with_fwd, 0x1b7
ocr.all_code_rd.l3_hit.snoop_miss, 0x1b7
ocr.all_code_rd.l3_hit.snoop_not_needed, 0x1b7
ocr.corewb_m.any_response, 0x1b7
ocr.corewb_m.l3_hit, 0x1b7
ocr.corewb_m.outstanding, 0x1b7
ocr.demand_code_rd.any_response, 0x1b7
ocr.demand_code_rd.l3_hit, 0x1b7
ocr.demand_code_rd.l3_hit.snoop_hitm, 0x1b7
ocr.demand_code_rd.l3_hit.snoop_hit_no_fwd, 0x1b7
ocr.demand_code_rd.l3_hit.snoop_hit_with_fwd, 0x1b7
ocr.demand_code_rd.l3_hit.snoop_miss, 0x1b7
ocr.demand_code_rd.l3_hit.snoop_not_needed, 0x1b7
ocr.demand_data_and_l1pf_rd.any_response, 0x1b7
ocr.demand_data_and_l1pf_rd.l3_hit, 0x1b7
ocr.demand_data_and_l1pf_rd.l3_hit.snoop_hitm, 0x1b7
ocr.demand_data_and_l1pf_rd.l3_hit.snoop_hit_no_fwd, 0x1b7
ocr.demand_data_and_l1pf_rd.l3_hit.snoop_hit_with_fwd, 0x1b7
ocr.demand_data_and_l1pf_rd.l3_hit.snoop_miss, 0x1b7
ocr.demand_data_and_l1pf_rd.l3_hit.snoop_not_needed, 0x1b7
ocr.demand_data_and_l1pf_rd.outstanding, 0x1b7
ocr.demand_data_rd.any_response, 0x1b7
ocr.demand_data_rd.l3_hit, 0x1b7
ocr.demand_data_rd.l3_hit.snoop_hitm, 0x1b7
ocr.demand_data_rd.l3_hit.snoop_hit_no_fwd, 0x1b7
ocr.demand_data_rd.l3_hit.snoop_hit_with_fwd, 0x1b7
ocr.demand_data_rd.l3_hit.snoop_miss, 0x1b7
ocr.demand_data_rd.l3_hit.snoop_not_needed, 0x1b7
ocr.demand_data_rd.outstanding, 0x1b7
ocr.demand_rfo.any_response, 0x1b7
ocr.demand_rfo.l3_hit, 0x1b7
ocr.demand_rfo.l3_hit.snoop_hitm, 0x1b7
ocr.demand_rfo.l3_hit.snoop_hit_no_fwd, 0x1b7
ocr.demand_rfo.l3_hit.snoop_hit_with_fwd, 0x1b7
ocr.demand_rfo.l3_hit.snoop_miss, 0x1b7
ocr.demand_rfo.l3_hit.snoop_not_needed, 0x1b7
ocr.demand_rfo.outstanding, 0x1b7
ocr.full_streaming_wr.l3_hit, 0x1b7
ocr.hwpf_l1d_and_swpf.any_response, 0x1b7
ocr.hwpf_l1d_and_swpf.l3_hit.snoop_hitm, 0x1b7
ocr.hwpf_l2_code_rd.any_response, 0x1b7
ocr.hwpf_l2_code_rd.l3_hit, 0x1b7
ocr.hwpf_l2_code_rd.l3_hit.snoop_hitm, 0x1b7
ocr.hwpf_l2_code_rd.l3_hit.snoop_hit_no_fwd, 0x1b7
ocr.hwpf_l2_code_rd.l3_hit.snoop_hit_with_fwd, 0x1b7
ocr.hwpf_l2_code_rd.l3_hit.snoop_miss, 0x1b7
ocr.hwpf_l2_code_rd.l3_hit.snoop_not_needed, 0x1b7
ocr.hwpf_l2_code_rd.outstanding, 0x1b7
ocr.hwpf_l2_data_rd.any_response, 0x1b7
ocr.hwpf_l2_data_rd.l3_hit, 0x1b7
ocr.hwpf_l2_data_rd.l3_hit.snoop_hitm, 0x1b7
ocr.hwpf_l2_data_rd.l3_hit.snoop_hit_no_fwd, 0x1b7
ocr.hwpf_l2_data_rd.l3_hit.snoop_hit_with_fwd, 0x1b7
ocr.hwpf_l2_data_rd.l3_hit.snoop_miss, 0x1b7
ocr.hwpf_l2_data_rd.l3_hit.snoop_not_needed, 0x1b7
ocr.hwpf_l2_rfo.any_response, 0x1b7
ocr.hwpf_l2_rfo.l3_hit, 0x1b7
ocr.hwpf_l2_rfo.l3_hit.snoop_hitm, 0x1b7
ocr.hwpf_l2_rfo.l3_hit.snoop_hit_no_fwd, 0x1b7
ocr.hwpf_l2_rfo.l3_hit.snoop_hit_with_fwd, 0x1b7
ocr.hwpf_l2_rfo.l3_hit.snoop_miss, 0x1b7
ocr.hwpf_l2_rfo.l3_hit.snoop_not_needed, 0x1b7
ocr.hwpf_l2_rfo.outstanding, 0x1b7
ocr.l1wb_m.any_response, 0x1b7
ocr.l1wb_m.l3_hit, 0x1b7
ocr.l2wb_m.any_response, 0x1b7
ocr.l2wb_m.l3_hit, 0x1b7
ocr.partial_streaming_wr.l3_hit, 0x1b7
ocr.reads_to_core.any_response, 0x1b7
ocr.reads_to_core.l3_hit, 0x1b7
ocr.reads_to_core.l3_hit.snoop_hitm, 0x1b7
ocr.reads_to_core.l3_hit.snoop_hit_no_fwd, 0x1b7
ocr.reads_to_core.l3_hit.snoop_hit_with_fwd, 0x1b7
ocr.reads_to_core.l3_hit.snoop_miss, 0x1b7
ocr.reads_to_core.l3_hit.snoop_not_needed, 0x1b7
ocr.reads_to_core.outstanding, 0x1b7
ocr.streaming_wr.l3_hit, 0x1b7
ocr.uc_rd.l3_hit, 0x1b7
ocr.uc_rd.l3_hit.snoop_hitm, 0x1b7
ocr.uc_rd.l3_hit.snoop_hit_no_fwd, 0x1b7
ocr.uc_rd.l3_hit.snoop_hit_with_fwd, 0x1b7
ocr.uc_rd.l3_hit.snoop_miss, 0x1b7
ocr.uc_rd.l3_hit.snoop_not_needed, 0x1b7
ocr.uc_wr.l3_hit, 0x1b7
topdown_fe_bound.icache, 0x2071
