CYCLE_ACTIVITY.STALLS_L3_MISS, 0x6a3
UNC_CHA_AG0_AD_CRD_ACQUIRED0.TGR4, 0x1080
UNC_CHA_AG0_AD_CRD_ACQUIRED0.TGR5, 0x2080
UNC_CHA_AG0_AD_CRD_ACQUIRED0.TGR6, 0x4080
UNC_CHA_AG0_AD_CRD_ACQUIRED0.TGR7, 0x8080
UNC_CHA_AG0_AD_CRD_ACQUIRED1.TGR10, 0x481
UNC_CHA_AG0_AD_CRD_ACQUIRED1.TGR8, 0x181
UNC_CHA_AG0_AD_CRD_ACQUIRED1.TGR9, 0x281
UNC_CHA_AG0_AD_CRD_OCCUPANCY0.TGR0, 0x182
UNC_CHA_AG0_AD_CRD_OCCUPANCY0.TGR1, 0x282
UNC_CHA_AG0_AD_CRD_OCCUPANCY0.TGR2, 0x482
UNC_CHA_AG0_AD_CRD_OCCUPANCY0.TGR3, 0x882
UNC_CHA_AG0_AD_CRD_OCCUPANCY0.TGR4, 0x1082
UNC_CHA_AG0_AD_CRD_OCCUPANCY0.TGR5, 0x2082
UNC_CHA_AG0_AD_CRD_OCCUPANCY0.TGR6, 0x4082
UNC_CHA_AG0_AD_CRD_OCCUPANCY0.TGR7, 0x8082
UNC_CHA_AG0_AD_CRD_OCCUPANCY1.TGR10, 0x483
UNC_CHA_AG0_AD_CRD_OCCUPANCY1.TGR8, 0x183
UNC_CHA_AG0_AD_CRD_OCCUPANCY1.TGR9, 0x283
UNC_CHA_AG0_BL_CRD_ACQUIRED0.TGR0, 0x188
UNC_CHA_AG0_BL_CRD_ACQUIRED0.TGR1, 0x288
UNC_CHA_AG0_BL_CRD_ACQUIRED0.TGR2, 0x488
UNC_CHA_AG0_BL_CRD_ACQUIRED0.TGR3, 0x888
UNC_CHA_AG0_BL_CRD_ACQUIRED0.TGR4, 0x1088
UNC_CHA_AG0_BL_CRD_ACQUIRED0.TGR5, 0x2088
UNC_CHA_AG0_BL_CRD_ACQUIRED0.TGR6, 0x4088
UNC_CHA_AG0_BL_CRD_ACQUIRED0.TGR7, 0x8088
UNC_CHA_AG0_BL_CRD_ACQUIRED1.TGR10, 0x489
UNC_CHA_AG0_BL_CRD_ACQUIRED1.TGR8, 0x189
UNC_CHA_AG0_BL_CRD_ACQUIRED1.TGR9, 0x289
UNC_CHA_AG0_BL_CRD_OCCUPANCY0.TGR0, 0x18a
UNC_CHA_AG0_BL_CRD_OCCUPANCY0.TGR1, 0x28a
UNC_CHA_AG0_BL_CRD_OCCUPANCY0.TGR2, 0x48a
UNC_CHA_AG0_BL_CRD_OCCUPANCY0.TGR3, 0x88a
UNC_CHA_AG0_BL_CRD_OCCUPANCY0.TGR4, 0x108a
UNC_CHA_AG0_BL_CRD_OCCUPANCY0.TGR5, 0x208a
UNC_CHA_AG0_BL_CRD_OCCUPANCY0.TGR6, 0x408a
UNC_CHA_AG0_BL_CRD_OCCUPANCY0.TGR7, 0x808a
UNC_CHA_AG0_BL_CRD_OCCUPANCY1.TGR10, 0x48b
UNC_CHA_AG0_BL_CRD_OCCUPANCY1.TGR8, 0x18b
UNC_CHA_AG0_BL_CRD_OCCUPANCY1.TGR9, 0x28b
UNC_CHA_AG1_AD_CRD_ACQUIRED0.TGR0, 0x184
UNC_CHA_AG1_AD_CRD_ACQUIRED0.TGR1, 0x284
UNC_CHA_AG1_AD_CRD_ACQUIRED0.TGR2, 0x484
UNC_CHA_AG1_AD_CRD_ACQUIRED0.TGR3, 0x884
UNC_CHA_AG1_AD_CRD_ACQUIRED0.TGR4, 0x1084
UNC_CHA_AG1_AD_CRD_ACQUIRED0.TGR5, 0x2084
UNC_CHA_AG1_AD_CRD_ACQUIRED0.TGR6, 0x4084
UNC_CHA_AG1_AD_CRD_ACQUIRED0.TGR7, 0x8084
UNC_CHA_AG1_AD_CRD_ACQUIRED1.TGR10, 0x485
UNC_CHA_AG1_AD_CRD_ACQUIRED1.TGR8, 0x185
UNC_CHA_AG1_AD_CRD_ACQUIRED1.TGR9, 0x285
UNC_CHA_AG1_AD_CRD_OCCUPANCY0.TGR0, 0x186
UNC_CHA_AG1_AD_CRD_OCCUPANCY0.TGR1, 0x286
UNC_CHA_AG1_AD_CRD_OCCUPANCY0.TGR2, 0x486
UNC_CHA_AG1_AD_CRD_OCCUPANCY0.TGR3, 0x886
UNC_CHA_AG1_AD_CRD_OCCUPANCY0.TGR4, 0x1086
UNC_CHA_AG1_AD_CRD_OCCUPANCY0.TGR5, 0x2086
UNC_CHA_AG1_AD_CRD_OCCUPANCY0.TGR6, 0x4086
UNC_CHA_AG1_AD_CRD_OCCUPANCY0.TGR7, 0x8086
UNC_CHA_AG1_AD_CRD_OCCUPANCY1.TGR10, 0x487
UNC_CHA_AG1_AD_CRD_OCCUPANCY1.TGR8, 0x187
UNC_CHA_AG1_AD_CRD_OCCUPANCY1.TGR9, 0x287
UNC_CHA_AG1_BL_CRD_ACQUIRED0.TGR0, 0x18c
UNC_CHA_AG1_BL_CRD_ACQUIRED0.TGR1, 0x28c
UNC_CHA_AG1_BL_CRD_ACQUIRED0.TGR2, 0x48c
UNC_CHA_AG1_BL_CRD_ACQUIRED0.TGR3, 0x88c
UNC_CHA_AG1_BL_CRD_ACQUIRED0.TGR4, 0x108c
UNC_CHA_AG1_BL_CRD_ACQUIRED0.TGR5, 0x208c
UNC_CHA_AG1_BL_CRD_ACQUIRED0.TGR6, 0x408c
UNC_CHA_AG1_BL_CRD_ACQUIRED0.TGR7, 0x808c
UNC_CHA_AG1_BL_CRD_ACQUIRED1.TGR10, 0x48d
UNC_CHA_AG1_BL_CRD_ACQUIRED1.TGR8, 0x18d
UNC_CHA_AG1_BL_CRD_ACQUIRED1.TGR9, 0x28d
UNC_CHA_AG1_BL_CRD_OCCUPANCY0.TGR0, 0x18e
UNC_CHA_AG1_BL_CRD_OCCUPANCY0.TGR1, 0x28e
UNC_CHA_AG1_BL_CRD_OCCUPANCY0.TGR2, 0x48e
UNC_CHA_AG1_BL_CRD_OCCUPANCY0.TGR3, 0x88e
UNC_CHA_AG1_BL_CRD_OCCUPANCY0.TGR4, 0x108e
UNC_CHA_AG1_BL_CRD_OCCUPANCY0.TGR5, 0x208e
UNC_CHA_AG1_BL_CRD_OCCUPANCY0.TGR6, 0x408e
UNC_CHA_AG1_BL_CRD_OCCUPANCY0.TGR7, 0x808e
UNC_CHA_AG1_BL_CRD_OCCUPANCY1.TGR10, 0x48f
UNC_CHA_AG1_BL_CRD_OCCUPANCY1.TGR8, 0x18f
UNC_CHA_AG1_BL_CRD_OCCUPANCY1.TGR9, 0x28f
UNC_CHA_BYPASS_CHA_IMC.INTERMEDIATE, 0x257
UNC_CHA_BYPASS_CHA_IMC.NOT_TAKEN, 0x457
UNC_CHA_BYPASS_CHA_IMC.TAKEN, 0x157
UNC_CHA_CMS_CLOCKTICKS, 0xc0
UNC_CHA_CORE_SNP.ANY_GTONE, 0xf233
UNC_CHA_CORE_SNP.ANY_ONE, 0xf133
UNC_CHA_CORE_SNP.CORE_GTONE, 0x4233
UNC_CHA_CORE_SNP.CORE_ONE, 0x4133
UNC_CHA_CORE_SNP.EVICT_GTONE, 0x8233
UNC_CHA_CORE_SNP.EVICT_ONE, 0x8133
UNC_CHA_CORE_SNP.EXT_GTONE, 0x2233
UNC_CHA_CORE_SNP.EXT_ONE, 0x2133
UNC_CHA_CORE_SNP.REMOTE_GTONE, 0x1233
UNC_CHA_CORE_SNP.REMOTE_ONE, 0x1133
UNC_CHA_COUNTER0_OCCUPANCY, 0x1f
UNC_CHA_DIRECT_GO.HA_SUPPRESS_DRD, 0x46e
UNC_CHA_DIRECT_GO.HA_SUPPRESS_NO_D2C, 0x26e
UNC_CHA_DIRECT_GO.HA_TOR_DEALLOC, 0x16e
UNC_CHA_DIRECT_GO_OPC.EXTCMP, 0x16d
UNC_CHA_DIRECT_GO_OPC.FAST_GO, 0x106d
UNC_CHA_DIRECT_GO_OPC.FAST_GO_PULL, 0x206d
UNC_CHA_DIRECT_GO_OPC.GO, 0x46d
UNC_CHA_DIRECT_GO_OPC.GO_PULL, 0x86d
UNC_CHA_DIRECT_GO_OPC.IDLE_DUE_SUPPRESS, 0x806d
UNC_CHA_DIRECT_GO_OPC.NOP, 0x406d
UNC_CHA_DIRECT_GO_OPC.PULL, 0x26d
UNC_CHA_DIR_LOOKUP.NO_SNP, 0x253
UNC_CHA_DIR_LOOKUP.SNP, 0x153
UNC_CHA_DIR_UPDATE.HA, 0x154
UNC_CHA_DIR_UPDATE.TOR, 0x254
UNC_CHA_DISTRESS_ASSERTED.DPT_LOCAL, 0x4af
UNC_CHA_DISTRESS_ASSERTED.DPT_NONLOCAL, 0x8af
UNC_CHA_DISTRESS_ASSERTED.DPT_STALL_IV, 0x40af
UNC_CHA_DISTRESS_ASSERTED.DPT_STALL_NOCRD, 0x80af
UNC_CHA_DISTRESS_ASSERTED.HORZ, 0x2af
UNC_CHA_DISTRESS_ASSERTED.PMM_LOCAL, 0x10af
UNC_CHA_DISTRESS_ASSERTED.PMM_NONLOCAL, 0x20af
UNC_CHA_DISTRESS_ASSERTED.VERT, 0x1af
UNC_CHA_EGRESS_ORDERING.IV_SNOOPGO_DN, 0x4ba
UNC_CHA_EGRESS_ORDERING.IV_SNOOPGO_UP, 0x1ba
UNC_CHA_HITME_HIT.EX_RDS, 0x15f
UNC_CHA_HITME_HIT.SHARED_OWNREQ, 0x45f
UNC_CHA_HITME_HIT.WBMTOE, 0x85f
UNC_CHA_HITME_HIT.WBMTOI_OR_S, 0x105f
UNC_CHA_HITME_LOOKUP.READ, 0x15e
