FP_COMP_OPS_EXE.SSE_DOUBLE_PRECISION, 0x8010
FP_COMP_OPS_EXE.SSE_FP, 0x410
FP_COMP_OPS_EXE.SSE_FP_PACKED, 0x1010
FP_COMP_OPS_EXE.SSE_FP_SCALAR, 0x2010
FP_COMP_OPS_EXE.SSE_SINGLE_PRECISION, 0x4010
FP_COMP_OPS_EXE.X87, 0x110
FP_MMX_TRANS.ANY, 0x3cc
FP_MMX_TRANS.TO_FP, 0x1cc
FP_MMX_TRANS.TO_MMX, 0x2cc
SIMD_INT_128.PACK, 0x412
SIMD_INT_128.PACKED_ARITH, 0x2012
SIMD_INT_128.PACKED_LOGICAL, 0x1012
SIMD_INT_128.PACKED_MPY, 0x112
SIMD_INT_128.PACKED_SHIFT, 0x212
SIMD_INT_128.SHUFFLE_MOVE, 0x4012
SIMD_INT_128.UNPACK, 0x812
SIMD_INT_64.PACK, 0x4fd
SIMD_INT_64.PACKED_ARITH, 0x20fd
SIMD_INT_64.PACKED_LOGICAL, 0x10fd
SIMD_INT_64.PACKED_MPY, 0x1fd
SIMD_INT_64.PACKED_SHIFT, 0x2fd
SIMD_INT_64.SHUFFLE_MOVE, 0x40fd
SIMD_INT_64.UNPACK, 0x8fd
ES_REG_RENAMES, 0x1d5
IO_TRANSACTIONS, 0x16c
LOAD_DISPATCH.ANY, 0x713
LOAD_DISPATCH.MOB, 0x413
LOAD_DISPATCH.RS, 0x113
LOAD_DISPATCH.RS_DELAYED, 0x213
PARTIAL_ADDRESS_ALIAS, 0x107
SB_DRAIN.ANY, 0x704
SEG_RENAME_STALLS, 0x1d4
SNOOP_RESPONSE.HIT, 0x1b8
SNOOP_RESPONSE.HITE, 0x2b8
SNOOP_RESPONSE.HITM, 0x4b8
SQ_FULL_STALL_CYCLES, 0x1f6
MACRO_INSTS.DECODED, 0x1d0
MACRO_INSTS.FUSIONS_DECODED, 0x1a6
TWO_UOP_INSTS_DECODED, 0x119
ARITH.CYCLES_DIV_BUSY, 0x114
ARITH.DIV, 0x114
ARITH.MUL, 0x214
BACLEAR.BAD_TARGET, 0x2e6
BACLEAR.CLEAR, 0x1e6
BACLEAR_FORCE_IQ, 0x1a7
BPU_CLEARS.EARLY, 0x1e8
BPU_CLEARS.LATE, 0x2e8
BPU_MISSED_CALL_RET, 0x1e5
BR_INST_DECODED, 0x1e0
BR_INST_EXEC.ANY, 0x7f88
BR_INST_EXEC.COND, 0x188
BR_INST_EXEC.DIRECT, 0x288
BR_INST_EXEC.DIRECT_NEAR_CALL, 0x1088
BR_INST_EXEC.INDIRECT_NEAR_CALL, 0x2088
BR_INST_EXEC.INDIRECT_NON_CALL, 0x488
BR_INST_EXEC.NEAR_CALLS, 0x3088
BR_INST_EXEC.NON_CALLS, 0x788
BR_INST_EXEC.RETURN_NEAR, 0x888
BR_INST_EXEC.TAKEN, 0x4088
BR_INST_RETIRED.ALL_BRANCHES, 0x4c4
BR_INST_RETIRED.CONDITIONAL, 0x1c4
BR_INST_RETIRED.NEAR_CALL, 0x2c4
BR_MISP_EXEC.ANY, 0x7f89
BR_MISP_EXEC.COND, 0x189
BR_MISP_EXEC.DIRECT, 0x289
BR_MISP_EXEC.DIRECT_NEAR_CALL, 0x1089
BR_MISP_EXEC.INDIRECT_NEAR_CALL, 0x2089
BR_MISP_EXEC.INDIRECT_NON_CALL, 0x489
BR_MISP_EXEC.NEAR_CALLS, 0x3089
BR_MISP_EXEC.NON_CALLS, 0x789
BR_MISP_EXEC.RETURN_NEAR, 0x889
BR_MISP_EXEC.TAKEN, 0x4089
BR_MISP_RETIRED.NEAR_CALL, 0x2c5
CPU_CLK_UNHALTED.REF_P, 0x13c
CPU_CLK_UNHALTED.THREAD_P, 0x3c
CPU_CLK_UNHALTED.TOTAL_CYCLES, 0x3c
ILD_STALL.ANY, 0xf87
ILD_STALL.IQ_FULL, 0x487
ILD_STALL.LCP, 0x187
ILD_STALL.MRU, 0x287
ILD_STALL.REGEN, 0x887
INST_DECODED.DEC0, 0x118
INST_QUEUE_WRITES, 0x117
INST_QUEUE_WRITE_CYCLES, 0x11e
INST_RETIRED.ANY_P, 0x1c0
INST_RETIRED.MMX, 0x4c0
INST_RETIRED.TOTAL_CYCLES, 0x1c0
INST_RETIRED.TOTAL_CYCLES_PS, 0x1c0
INST_RETIRED.X87, 0x2c0
LOAD_HIT_PRE, 0x14c
LSD.ACTIVE, 0x1a8
LSD.INACTIVE, 0x1a8
LSD_OVERFLOW, 0x120
MACHINE_CLEARS.CYCLES, 0x1c3
MACHINE_CLEARS.MEM_ORDER, 0x2c3
MACHINE_CLEARS.SMC, 0x4c3
RAT_STALLS.ANY, 0xfd2
RAT_STALLS.FLAGS, 0x1d2
RAT_STALLS.REGISTERS, 0x2d2
RAT_STALLS.ROB_READ_PORT, 0x4d2
RAT_STALLS.SCOREBOARD, 0x8d2
RESOURCE_STALLS.ANY, 0x1a2
RESOURCE_STALLS.FPCW, 0x20a2
RESOURCE_STALLS.LOAD, 0x2a2
RESOURCE_STALLS.MXCSR, 0x40a2
RESOURCE_STALLS.OTHER, 0x80a2
RESOURCE_STALLS.ROB_FULL, 0x10a2
RESOURCE_STALLS.RS_FULL, 0x4a2
RESOURCE_STALLS.STORE, 0x8a2
SSEX_UOPS_RETIRED.PACKED_DOUBLE, 0x4c7
SSEX_UOPS_RETIRED.PACKED_SINGLE, 0x1c7
SSEX_UOPS_RETIRED.SCALAR_DOUBLE, 0x8c7
SSEX_UOPS_RETIRED.SCALAR_SINGLE, 0x2c7
SSEX_UOPS_RETIRED.VECTOR_INTEGER, 0x10c7
UOPS_DECODED.ESP_FOLDING, 0x4d1
UOPS_DECODED.ESP_SYNC, 0x8d1
UOPS_DECODED.MS_CYCLES_ACTIVE, 0x2d1
UOPS_DECODED.STALL_CYCLES, 0x1d1
UOPS_EXECUTED.CORE_ACTIVE_CYCLES, 0x3fb1
UOPS_EXECUTED.CORE_ACTIVE_CYCLES_NO_PORT5, 0x1fb1
UOPS_EXECUTED.CORE_STALL_COUNT, 0x3fb1
UOPS_EXECUTED.CORE_STALL_COUNT_NO_PORT5, 0x1fb1
UOPS_EXECUTED.CORE_STALL_CYCLES, 0x3fb1
UOPS_EXECUTED.CORE_STALL_CYCLES_NO_PORT5, 0x1fb1
UOPS_EXECUTED.PORT0, 0x1b1
UOPS_EXECUTED.PORT015, 0x40b1
UOPS_EXECUTED.PORT015_STALL_CYCLES, 0x40b1
UOPS_EXECUTED.PORT1, 0x2b1
UOPS_EXECUTED.PORT234_CORE, 0x80b1
UOPS_EXECUTED.PORT2_CORE, 0x4b1
UOPS_EXECUTED.PORT3_CORE, 0x8b1
UOPS_EXECUTED.PORT4_CORE, 0x10b1
UOPS_EXECUTED.PORT5, 0x20b1
UOPS_ISSUED.ANY, 0x10e
UOPS_ISSUED.CORE_STALL_CYCLES, 0x10e
UOPS_ISSUED.CYCLES_ALL_THREADS, 0x10e
UOPS_ISSUED.FUSED, 0x20e
UOPS_ISSUED.STALL_CYCLES, 0x10e
UOPS_RETIRED.ACTIVE_CYCLES, 0x1c2
UOPS_RETIRED.ANY, 0x1c2
UOPS_RETIRED.MACRO_FUSED, 0x4c2
UOPS_RETIRED.RETIRE_SLOTS, 0x2c2
UOPS_RETIRED.STALL_CYCLES, 0x1c2
UOPS_RETIRED.TOTAL_CYCLES, 0x1c2
UOP_UNFUSION, 0x1db
CACHE_LOCK_CYCLES.L1D, 0x263
CACHE_LOCK_CYCLES.L1D_L2, 0x163
L1D.M_EVICT, 0x451
L1D.M_REPL, 0x251
L1D.M_SNOOP_EVICT, 0x851
L1D.REPL, 0x151
L1D_ALL_REF.ANY, 0x143
L1D_ALL_REF.CACHEABLE, 0x243
L1D_CACHE_LD.E_STATE, 0x440
L1D_CACHE_LD.I_STATE, 0x140
L1D_CACHE_LD.MESI, 0xf40
L1D_CACHE_LD.M_STATE, 0x840
L1D_CACHE_LD.S_STATE, 0x240
L1D_CACHE_LOCK.E_STATE, 0x442
L1D_CACHE_LOCK.HIT, 0x142
L1D_CACHE_LOCK.M_STATE, 0x842
L1D_CACHE_LOCK.S_STATE, 0x242
L1D_CACHE_LOCK_FB_HIT, 0x153
L1D_CACHE_PREFETCH_LOCK_FB_HIT, 0x152
L1D_CACHE_ST.E_STATE, 0x441
L1D_CACHE_ST.M_STATE, 0x841
L1D_CACHE_ST.S_STATE, 0x241
L1D_PREFETCH.MISS, 0x24e
L1D_PREFETCH.REQUESTS, 0x14e
L1D_PREFETCH.TRIGGERS, 0x44e
L1D_WB_L2.E_STATE, 0x428
L1D_WB_L2.I_STATE, 0x128
L1D_WB_L2.MESI, 0xf28
L1D_WB_L2.M_STATE, 0x828
L1D_WB_L2.S_STATE, 0x228
L1I.CYCLES_STALLED, 0x480
L1I.HITS, 0x180
L1I.MISSES, 0x280
L1I.READS, 0x380
L2_DATA_RQSTS.ANY, 0xff26
L2_DATA_RQSTS.DEMAND.E_STATE, 0x426
L2_DATA_RQSTS.DEMAND.I_STATE, 0x126
L2_DATA_RQSTS.DEMAND.MESI, 0xf26
L2_DATA_RQSTS.DEMAND.M_STATE, 0x826
L2_DATA_RQSTS.DEMAND.S_STATE, 0x226
L2_DATA_RQSTS.PREFETCH.E_STATE, 0x4026
L2_DATA_RQSTS.PREFETCH.I_STATE, 0x1026
L2_DATA_RQSTS.PREFETCH.MESI, 0xf026
L2_DATA_RQSTS.PREFETCH.M_STATE, 0x8026
L2_DATA_RQSTS.PREFETCH.S_STATE, 0x2026
L2_LINES_IN.ANY, 0x7f1
L2_LINES_IN.E_STATE, 0x4f1
L2_LINES_IN.S_STATE, 0x2f1
L2_LINES_OUT.ANY, 0xff2
L2_LINES_OUT.DEMAND_CLEAN, 0x1f2
L2_LINES_OUT.DEMAND_DIRTY, 0x2f2
L2_LINES_OUT.PREFETCH_CLEAN, 0x4f2
L2_LINES_OUT.PREFETCH_DIRTY, 0x8f2
L2_RQSTS.IFETCHES, 0x3024
L2_RQSTS.IFETCH_HIT, 0x1024
L2_RQSTS.IFETCH_MISS, 0x2024
L2_RQSTS.LD_HIT, 0x124
L2_RQSTS.LD_MISS, 0x224
L2_RQSTS.LOADS, 0x324
L2_RQSTS.MISS, 0xaa24
L2_RQSTS.PREFETCHES, 0xc024
L2_RQSTS.PREFETCH_HIT, 0x4024
L2_RQSTS.PREFETCH_MISS, 0x8024
L2_RQSTS.REFERENCES, 0xff24
L2_RQSTS.RFOS, 0xc24
L2_RQSTS.RFO_HIT, 0x424
L2_RQSTS.RFO_MISS, 0x824
L2_TRANSACTIONS.ANY, 0x80f0
L2_TRANSACTIONS.FILL, 0x20f0
L2_TRANSACTIONS.IFETCH, 0x4f0
L2_TRANSACTIONS.L1D_WB, 0x10f0
L2_TRANSACTIONS.LOAD, 0x1f0
L2_TRANSACTIONS.PREFETCH, 0x8f0
L2_TRANSACTIONS.RFO, 0x2f0
L2_TRANSACTIONS.WB, 0x40f0
L2_WRITE.LOCK.E_STATE, 0x4027
L2_WRITE.LOCK.HIT, 0xe027
L2_WRITE.LOCK.I_STATE, 0x1027
L2_WRITE.LOCK.MESI, 0xf027
L2_WRITE.LOCK.M_STATE, 0x8027
L2_WRITE.LOCK.S_STATE, 0x2027
L2_WRITE.RFO.HIT, 0xe27
L2_WRITE.RFO.I_STATE, 0x127
L2_WRITE.RFO.MESI, 0xf27
L2_WRITE.RFO.M_STATE, 0x827
L2_WRITE.RFO.S_STATE, 0x227
LONGEST_LAT_CACHE.MISS, 0x412e
LONGEST_LAT_CACHE.REFERENCE, 0x4f2e
MEM_INST_RETIRED.LATENCY_ABOVE_THRESHOLD_0, 0x100b
MEM_INST_RETIRED.LATENCY_ABOVE_THRESHOLD_1024, 0x100b
MEM_INST_RETIRED.LATENCY_ABOVE_THRESHOLD_128, 0x100b
MEM_INST_RETIRED.LATENCY_ABOVE_THRESHOLD_16, 0x100b
MEM_INST_RETIRED.LATENCY_ABOVE_THRESHOLD_16384, 0x100b
MEM_INST_RETIRED.LATENCY_ABOVE_THRESHOLD_2048, 0x100b
MEM_INST_RETIRED.LATENCY_ABOVE_THRESHOLD_256, 0x100b
MEM_INST_RETIRED.LATENCY_ABOVE_THRESHOLD_32, 0x100b
MEM_INST_RETIRED.LATENCY_ABOVE_THRESHOLD_32768, 0x100b
MEM_INST_RETIRED.LATENCY_ABOVE_THRESHOLD_4, 0x100b
MEM_INST_RETIRED.LATENCY_ABOVE_THRESHOLD_4096, 0x100b
MEM_INST_RETIRED.LATENCY_ABOVE_THRESHOLD_512, 0x100b
MEM_INST_RETIRED.LATENCY_ABOVE_THRESHOLD_64, 0x100b
MEM_INST_RETIRED.LATENCY_ABOVE_THRESHOLD_8, 0x100b
MEM_INST_RETIRED.LATENCY_ABOVE_THRESHOLD_8192, 0x100b
MEM_INST_RETIRED.LOADS, 0x10b
MEM_INST_RETIRED.STORES, 0x20b
MEM_LOAD_RETIRED.HIT_LFB, 0x40cb
MEM_LOAD_RETIRED.L1D_HIT, 0x1cb
MEM_LOAD_RETIRED.L2_HIT, 0x2cb
MEM_LOAD_RETIRED.LLC_MISS, 0x10cb
MEM_LOAD_RETIRED.LLC_UNSHARED_HIT, 0x4cb
MEM_LOAD_RETIRED.OTHER_CORE_L2_HIT_HITM, 0x8cb
MEM_UNCORE_RETIRED.LOCAL_DRAM, 0x200f
