umc_mem_clk, 0x0
local_or_remote_socket_inbound_data_beats_cfi_4, 0xfff1e
local_or_remote_socket_inbound_data_beats_cfi_5, 0xfff5e
local_or_remote_socket_inbound_data_beats_cfi_6, 0xfff9e
local_or_remote_socket_inbound_data_beats_cfi_7, 0xfffde
local_or_remote_socket_inbound_data_beats_cfi_8, 0xffe1f
local_or_remote_socket_inbound_data_beats_cfi_9, 0xffe5f
local_or_remote_socket_inbound_data_beats_cfi_10, 0xffe9f
local_or_remote_socket_inbound_data_beats_cfi_11, 0xffedf
local_or_remote_socket_inbound_data_beats_cfi_12, 0xfff1f
local_or_remote_socket_inbound_data_beats_cfi_13, 0xfff5f
local_or_remote_socket_inbound_data_beats_cfi_14, 0xfff9f
local_or_remote_socket_inbound_data_beats_cfi_15, 0xfffdf
local_or_remote_socket_outbound_data_beats_cfi_0, 0xfff1e
local_or_remote_socket_outbound_data_beats_cfi_1, 0xfff5e
local_or_remote_socket_outbound_data_beats_cfi_2, 0xfff9e
local_or_remote_socket_outbound_data_beats_cfi_3, 0xfffde
local_or_remote_socket_outbound_data_beats_cfi_4, 0xfff1e
local_or_remote_socket_outbound_data_beats_cfi_5, 0xfff5e
local_or_remote_socket_outbound_data_beats_cfi_6, 0xfff9e
local_or_remote_socket_outbound_data_beats_cfi_7, 0xfffde
local_or_remote_socket_outbound_data_beats_cfi_8, 0xfff1f
local_or_remote_socket_outbound_data_beats_cfi_9, 0xfff5f
local_or_remote_socket_outbound_data_beats_cfi_10, 0xfff9f
local_or_remote_socket_outbound_data_beats_cfi_11, 0xfffdf
local_or_remote_socket_outbound_data_beats_cfi_12, 0xfff1f
local_or_remote_socket_outbound_data_beats_cfi_13, 0xfff5f
local_or_remote_socket_outbound_data_beats_cfi_14, 0xfff9f
local_or_remote_socket_outbound_data_beats_cfi_15, 0xfffdf
local_socket_inbound_data_beats_link_0, 0xf3f5f
local_socket_inbound_data_beats_link_1, 0xf3f9f
local_socket_inbound_data_beats_link_2, 0xf3fdf
local_socket_inbound_data_beats_link_3, 0xf3f1f
local_socket_inbound_data_beats_link_4, 0xf3f5f
local_socket_inbound_data_beats_link_5, 0xf3f9f
local_socket_outbound_data_beats_link_0, 0xf3f5f
local_socket_outbound_data_beats_link_1, 0xf3f9f
local_socket_outbound_data_beats_link_2, 0xf3fdf
local_socket_outbound_data_beats_link_3, 0xf3e1f
local_socket_outbound_data_beats_link_4, 0xf3e5f
local_socket_outbound_data_beats_link_5, 0xf3e9f
ic_cache_fill_l2, 0x82
ic_cache_fill_sys, 0x83
ic_fetch_ibs_events.fetch_tagged, 0x388
ic_fetch_ibs_events.sample_discarded, 0x588
ic_fetch_ibs_events.sample_filtered, 0x988
ic_fetch_ibs_events.sample_valid, 0x1188
ic_tag_hit_miss.instruction_cache_hit, 0x78e
ic_tag_hit_miss.instruction_cache_miss, 0x198e
ic_tag_hit_miss.all_instruction_cache_accesses, 0x1f8e
op_cache_hit_miss.op_cache_hit, 0x38f
op_cache_hit_miss.op_cache_miss, 0x68f
op_cache_hit_miss.all_op_cache_accesses, 0x78f
