misalign_mem_ref.store, 0x205
offcore_response.other.any_dram_and_remote_fwd_1, 0x1bb, 0x3080
offcore_response.other.any_llc_miss_0, 0x1b7, 0xf880
offcore_response.other.any_llc_miss_1, 0x1bb, 0xf880
offcore_response.other.other_local_dram_0, 0x1b7, 0x4080
offcore_response.other.other_local_dram_1, 0x1bb, 0x4080
offcore_response.other.remote_dram_0, 0x1b7, 0x2080
offcore_response.other.remote_dram_1, 0x1bb, 0x2080
offcore_response.pf_data.any_dram_and_remote_fwd_0, 0x1b7, 0x3050
offcore_response.pf_data.any_dram_and_remote_fwd_1, 0x1bb, 0x3050
offcore_response.pf_data.any_llc_miss_0, 0x1b7, 0xf850
offcore_response.pf_data.any_llc_miss_1, 0x1bb, 0xf850
offcore_response.pf_data.other_local_dram_0, 0x1b7, 0x4050
offcore_response.pf_data.other_local_dram_1, 0x1bb, 0x4050
offcore_response.pf_data.remote_dram_0, 0x1b7, 0x2050
offcore_response.pf_data.remote_dram_1, 0x1bb, 0x2050
offcore_response.pf_data_rd.any_dram_and_remote_fwd_0, 0x1b7, 0x3010
offcore_response.pf_data_rd.any_dram_and_remote_fwd_1, 0x1bb, 0x3010
offcore_response.pf_data_rd.any_llc_miss_0, 0x1b7, 0xf810
offcore_response.pf_data_rd.any_llc_miss_1, 0x1bb, 0xf810
offcore_response.pf_data_rd.other_local_dram_0, 0x1b7, 0x4010
offcore_response.pf_data_rd.other_local_dram_1, 0x1bb, 0x4010
offcore_response.pf_data_rd.remote_dram_0, 0x1b7, 0x2010
offcore_response.pf_data_rd.remote_dram_1, 0x1bb, 0x2010
offcore_response.pf_ifetch.any_dram_and_remote_fwd_0, 0x1b7, 0x3040
offcore_response.pf_ifetch.any_dram_and_remote_fwd_1, 0x1bb, 0x3040
offcore_response.pf_ifetch.any_llc_miss_0, 0x1b7, 0xf840
offcore_response.pf_ifetch.any_llc_miss_1, 0x1bb, 0xf840
offcore_response.pf_ifetch.other_local_dram_0, 0x1b7, 0x4040
offcore_response.pf_ifetch.other_local_dram_1, 0x1bb, 0x4040
offcore_response.pf_ifetch.remote_dram_0, 0x1b7, 0x2040
offcore_response.pf_ifetch.remote_dram_1, 0x1bb, 0x2040
offcore_response.pf_rfo.any_dram_and_remote_fwd_0, 0x1b7, 0x3020
offcore_response.pf_rfo.any_dram_and_remote_fwd_1, 0x1bb, 0x3020
offcore_response.pf_rfo.any_llc_miss_0, 0x1b7, 0xf820
offcore_response.pf_rfo.any_llc_miss_1, 0x1bb, 0xf820
offcore_response.pf_rfo.other_local_dram_0, 0x1b7, 0x4020
offcore_response.pf_rfo.other_local_dram_1, 0x1bb, 0x4020
offcore_response.pf_rfo.remote_dram_0, 0x1b7, 0x2020
offcore_response.pf_rfo.remote_dram_1, 0x1bb, 0x2020
offcore_response.prefetch.any_dram_and_remote_fwd_0, 0x1b7, 0x3070
offcore_response.prefetch.any_dram_and_remote_fwd_1, 0x1bb, 0x3070
offcore_response.prefetch.any_llc_miss_0, 0x1b7, 0xf870
offcore_response.prefetch.any_llc_miss_1, 0x1bb, 0xf870
offcore_response.prefetch.other_local_dram_0, 0x1b7, 0x4070
offcore_response.prefetch.other_local_dram_1, 0x1bb, 0x4070
offcore_response.prefetch.remote_dram_0, 0x1b7, 0x2070
offcore_response.prefetch.remote_dram_1, 0x1bb, 0x2070
dtlb_load_misses.any, 0x108
dtlb_load_misses.large_walk_completed, 0x8008
dtlb_load_misses.pde_miss, 0x2008
dtlb_load_misses.stlb_hit, 0x1008
dtlb_load_misses.walk_completed, 0x208
dtlb_load_misses.walk_cycles, 0x408
dtlb_misses.any, 0x149
dtlb_misses.large_walk_completed, 0x8049
dtlb_misses.pde_miss, 0x2049
dtlb_misses.stlb_hit, 0x1049
dtlb_misses.walk_completed, 0x249
dtlb_misses.walk_cycles, 0x449
ept.walk_cycles, 0x104f
itlb_flush, 0x1ae
itlb_misses.any, 0x185
itlb_misses.large_walk_completed, 0x8085
itlb_misses.walk_completed, 0x285
itlb_misses.walk_cycles, 0x485
itlb_miss_retired, 0x20c8
large_itlb.hit, 0x182
mem_load_retired.dtlb_miss, 0x80cb
mem_store_retired.dtlb_miss, 0x10c
fp_assist.all, 0x1f7
fp_assist.input, 0x4f7
fp_assist.output, 0x2f7
fp_comp_ops_exe.mmx, 0x210
fp_comp_ops_exe.sse2_integer, 0x810
fp_comp_ops_exe.sse_double_precision, 0x8010
fp_comp_ops_exe.sse_fp, 0x410
fp_comp_ops_exe.sse_fp_packed, 0x1010
fp_comp_ops_exe.sse_fp_scalar, 0x2010
fp_comp_ops_exe.sse_single_precision, 0x4010
fp_comp_ops_exe.x87, 0x110
fp_mmx_trans.any, 0x3cc
fp_mmx_trans.to_fp, 0x1cc
fp_mmx_trans.to_mmx, 0x2cc
simd_int_128.pack, 0x412
simd_int_128.packed_arith, 0x2012
simd_int_128.packed_logical, 0x1012
simd_int_128.packed_mpy, 0x112
simd_int_128.packed_shift, 0x212
simd_int_128.shuffle_move, 0x4012
simd_int_128.unpack, 0x812
simd_int_64.pack, 0x4fd
simd_int_64.packed_arith, 0x20fd
simd_int_64.packed_logical, 0x10fd
simd_int_64.packed_mpy, 0x1fd
simd_int_64.packed_shift, 0x2fd
simd_int_64.shuffle_move, 0x40fd
simd_int_64.unpack, 0x8fd
es_reg_renames, 0x1d5
io_transactions, 0x16c
load_block.overlap_store, 0x203
load_dispatch.any, 0x713
load_dispatch.mob, 0x413
load_dispatch.rs, 0x113
load_dispatch.rs_delayed, 0x213
partial_address_alias, 0x107
sb_drain.any, 0x704
seg_rename_stalls, 0x1d4
snoopq_requests.code, 0x4b4
snoopq_requests.data, 0x1b4
snoopq_requests.invalidate, 0x2b4
snoopq_requests_outstanding.code, 0x4b3
snoopq_requests_outstanding.code_not_empty, 0x4b3
snoopq_requests_outstanding.data, 0x1b3
snoopq_requests_outstanding.data_not_empty, 0x1b3
snoopq_requests_outstanding.invalidate, 0x2b3
snoopq_requests_outstanding.invalidate_not_empty, 0x2b3
snoop_response.hit, 0x1b8
snoop_response.hite, 0x2b8
snoop_response.hitm, 0x4b8
sq_full_stall_cycles, 0x1f6
macro_insts.decoded, 0x1d0
macro_insts.fusions_decoded, 0x1a6
two_uop_insts_decoded, 0x119
arith.cycles_div_busy, 0x114
arith.div, 0x114
arith.mul, 0x214
baclear.bad_target, 0x2e6
baclear.clear, 0x1e6
baclear_force_iq, 0x1a7
bpu_clears.early, 0x1e8
bpu_clears.late, 0x2e8
bpu_missed_call_ret, 0x1e5
br_inst_decoded, 0x1e0
br_inst_exec.any, 0x7f88
br_inst_exec.cond, 0x188
br_inst_exec.direct, 0x288
br_inst_exec.direct_near_call, 0x1088
br_inst_exec.indirect_near_call, 0x2088
br_inst_exec.indirect_non_call, 0x488
br_inst_exec.near_calls, 0x3088
br_inst_exec.non_calls, 0x788
br_inst_exec.return_near, 0x888
br_inst_exec.taken, 0x4088
br_inst_retired.all_branches, 0x4c4
br_inst_retired.conditional, 0x1c4
br_inst_retired.near_call, 0x2c4
br_misp_exec.any, 0x7f89
br_misp_exec.cond, 0x189
br_misp_exec.direct, 0x289
br_misp_exec.direct_near_call, 0x1089
br_misp_exec.indirect_near_call, 0x2089
br_misp_exec.indirect_non_call, 0x489
br_misp_exec.near_calls, 0x3089
br_misp_exec.non_calls, 0x789
br_misp_exec.return_near, 0x889
br_misp_exec.taken, 0x4089
br_misp_retired.all_branches, 0x4c5
br_misp_retired.conditional, 0x1c5
br_misp_retired.near_call, 0x2c5
cpu_clk_unhalted.ref_p, 0x13c
cpu_clk_unhalted.thread_p, 0x3c
cpu_clk_unhalted.total_cycles, 0x3c
ild_stall.any, 0xf87
ild_stall.iq_full, 0x487
ild_stall.lcp, 0x187
ild_stall.mru, 0x287
ild_stall.regen, 0x887
inst_decoded.dec0, 0x118
inst_queue_writes, 0x117
inst_queue_write_cycles, 0x11e
inst_retired.any_p, 0x1c0
inst_retired.mmx, 0x4c0
inst_retired.total_cycles, 0x1c0
inst_retired.total_cycles_ps, 0x1c0
inst_retired.x87, 0x2c0
load_hit_pre, 0x14c
lsd.active, 0x1a8
lsd.inactive, 0x1a8
lsd_overflow, 0x120
machine_clears.cycles, 0x1c3
machine_clears.mem_order, 0x2c3
machine_clears.smc, 0x4c3
rat_stalls.any, 0xfd2
rat_stalls.flags, 0x1d2
rat_stalls.registers, 0x2d2
rat_stalls.rob_read_port, 0x4d2
rat_stalls.scoreboard, 0x8d2
resource_stalls.any, 0x1a2
resource_stalls.fpcw, 0x20a2
resource_stalls.load, 0x2a2
resource_stalls.mxcsr, 0x40a2
resource_stalls.other, 0x80a2
resource_stalls.rob_full, 0x10a2
resource_stalls.rs_full, 0x4a2
resource_stalls.store, 0x8a2
ssex_uops_retired.packed_double, 0x4c7
ssex_uops_retired.packed_single, 0x1c7
ssex_uops_retired.scalar_double, 0x8c7
ssex_uops_retired.scalar_single, 0x2c7
ssex_uops_retired.vector_integer, 0x10c7
uops_decoded.esp_folding, 0x4d1
uops_decoded.esp_sync, 0x8d1
uops_decoded.ms_cycles_active, 0x2d1
uops_decoded.stall_cycles, 0x1d1
uops_executed.core_active_cycles, 0x3fb1
uops_executed.core_active_cycles_no_port5, 0x1fb1
uops_executed.core_stall_count, 0x3fb1
