DSB2MITE_SWITCHES.PENALTY_CYCLES, 0x2ab
FRONTEND_RETIRED.ANY_DSB_MISS, 0x1c6
FRONTEND_RETIRED.DSB_MISS, 0x1c6
FRONTEND_RETIRED.ITLB_MISS, 0x1c6
FRONTEND_RETIRED.L1I_MISS, 0x1c6
FRONTEND_RETIRED.L2_MISS, 0x1c6
FRONTEND_RETIRED.LATENCY_GE_1, 0x1c6
FRONTEND_RETIRED.LATENCY_GE_128, 0x1c6
FRONTEND_RETIRED.LATENCY_GE_16, 0x1c6
FRONTEND_RETIRED.LATENCY_GE_2, 0x1c6
FRONTEND_RETIRED.LATENCY_GE_256, 0x1c6
FRONTEND_RETIRED.LATENCY_GE_2_BUBBLES_GE_1, 0x1c6
FRONTEND_RETIRED.LATENCY_GE_2_BUBBLES_GE_2, 0x1c6
FRONTEND_RETIRED.LATENCY_GE_2_BUBBLES_GE_3, 0x1c6
FRONTEND_RETIRED.LATENCY_GE_32, 0x1c6
FRONTEND_RETIRED.LATENCY_GE_4, 0x1c6
FRONTEND_RETIRED.LATENCY_GE_512, 0x1c6
FRONTEND_RETIRED.LATENCY_GE_64, 0x1c6
FRONTEND_RETIRED.LATENCY_GE_8, 0x1c6
FRONTEND_RETIRED.STLB_MISS, 0x1c6
ICACHE_16B.IFDATA_STALL, 0x480
ICACHE_64B.IFTAG_HIT, 0x183
ICACHE_64B.IFTAG_MISS, 0x283
ICACHE_64B.IFTAG_STALL, 0x483
ICACHE_TAG.STALLS, 0x483
IDQ.ALL_DSB_CYCLES_4_UOPS, 0x1879
IDQ.ALL_DSB_CYCLES_ANY_UOPS, 0x1879
IDQ.ALL_MITE_CYCLES_4_UOPS, 0x2479
IDQ.ALL_MITE_CYCLES_ANY_UOPS, 0x2479
IDQ.DSB_CYCLES, 0x879
IDQ.DSB_CYCLES_ANY, 0x1879
IDQ.DSB_CYCLES_OK, 0x1879
IDQ.DSB_UOPS, 0x879
IDQ.MITE_CYCLES, 0x479
IDQ.MITE_UOPS, 0x479
IDQ.MS_CYCLES, 0x3079
IDQ.MS_DSB_CYCLES, 0x1079
IDQ.MS_MITE_UOPS, 0x2079
IDQ.MS_SWITCHES, 0x3079
IDQ.MS_UOPS, 0x3079
IDQ_UOPS_NOT_DELIVERED.CORE, 0x19c
IDQ_UOPS_NOT_DELIVERED.CYCLES_0_UOPS_DELIV.CORE, 0x19c
IDQ_UOPS_NOT_DELIVERED.CYCLES_FE_WAS_OK, 0x19c
IDQ_UOPS_NOT_DELIVERED.CYCLES_LE_1_UOP_DELIV.CORE, 0x19c
IDQ_UOPS_NOT_DELIVERED.CYCLES_LE_2_UOP_DELIV.CORE, 0x19c
IDQ_UOPS_NOT_DELIVERED.CYCLES_LE_3_UOP_DELIV.CORE, 0x19c
UNC_ARB_COH_TRK_REQUESTS.ALL, 0x184
UNC_ARB_TRK_OCCUPANCY.ALL, 0x180
UNC_ARB_TRK_OCCUPANCY.CYCLES_WITH_ANY_REQUEST, 0x180
UNC_ARB_TRK_OCCUPANCY.DATA_READ, 0x280
UNC_ARB_TRK_REQUESTS.ALL, 0x181
UNC_ARB_TRK_REQUESTS.DATA_READ, 0x281
UNC_ARB_TRK_REQUESTS.DRD_DIRECT, 0x281
UNC_ARB_TRK_REQUESTS.WRITES, 0x2081
ARITH.DIVIDER_ACTIVE, 0x114
BR_INST_RETIRED.ALL_BRANCHES, 0xc4
BR_INST_RETIRED.ALL_BRANCHES_PEBS, 0x4c4
BR_INST_RETIRED.COND, 0x1c4
BR_INST_RETIRED.CONDITIONAL, 0x1c4
BR_INST_RETIRED.COND_NTAKEN, 0x10c4
BR_INST_RETIRED.FAR_BRANCH, 0x40c4
BR_INST_RETIRED.NEAR_CALL, 0x2c4
BR_INST_RETIRED.NEAR_RETURN, 0x8c4
BR_INST_RETIRED.NEAR_TAKEN, 0x20c4
BR_INST_RETIRED.NOT_TAKEN, 0x10c4
BR_MISP_EXEC.ALL_BRANCHES, 0xff89
BR_MISP_EXEC.INDIRECT, 0xe489
BR_MISP_RETIRED.ALL_BRANCHES, 0xc5
BR_MISP_RETIRED.ALL_BRANCHES_PEBS, 0x4c5
BR_MISP_RETIRED.CONDITIONAL, 0x1c5
BR_MISP_RETIRED.NEAR_CALL, 0x2c5
BR_MISP_RETIRED.NEAR_TAKEN, 0x20c5
CPU_CLK_THREAD_UNHALTED.ONE_THREAD_ACTIVE, 0x23c
CPU_CLK_THREAD_UNHALTED.REF_XCLK, 0x13c
CPU_CLK_THREAD_UNHALTED.REF_XCLK_ANY, 0x13c
CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE, 0x23c
CPU_CLK_UNHALTED.REF_XCLK, 0x13c
CPU_CLK_UNHALTED.REF_XCLK_ANY, 0x13c
CPU_CLK_UNHALTED.RING0_TRANS, 0x3c
CPU_CLK_UNHALTED.THREAD_P, 0x3c
CPU_CLK_UNHALTED.THREAD_P_ANY, 0x3c
CYCLE_ACTIVITY.CYCLES_L1D_MISS, 0x8a3
CYCLE_ACTIVITY.CYCLES_L2_MISS, 0x1a3
CYCLE_ACTIVITY.CYCLES_MEM_ANY, 0x10a3
CYCLE_ACTIVITY.STALLS_L1D_MISS, 0xca3
CYCLE_ACTIVITY.STALLS_L2_MISS, 0x5a3
CYCLE_ACTIVITY.STALLS_MEM_ANY, 0x14a3
CYCLE_ACTIVITY.STALLS_TOTAL, 0x4a3
EXE_ACTIVITY.1_PORTS_UTIL, 0x2a6
EXE_ACTIVITY.2_PORTS_UTIL, 0x4a6
EXE_ACTIVITY.3_PORTS_UTIL, 0x8a6
EXE_ACTIVITY.4_PORTS_UTIL, 0x10a6
EXE_ACTIVITY.BOUND_ON_STORES, 0x40a6
EXE_ACTIVITY.EXE_BOUND_0_PORTS, 0x1a6
ILD_STALL.LCP, 0x187
INST_DECODED.DECODERS, 0x155
INST_RETIRED.ANY_P, 0xc0
INST_RETIRED.NOP, 0x2c0
INST_RETIRED.PREC_DIST, 0x1c0
INST_RETIRED.TOTAL_CYCLES_PS, 0x1c0
INT_MISC.CLEARS_COUNT, 0x10d
INT_MISC.CLEAR_RESTEER_CYCLES, 0x800d
INT_MISC.RECOVERY_CYCLES, 0x10d
INT_MISC.RECOVERY_CYCLES_ANY, 0x10d
LD_BLOCKS.NO_SR, 0x803
LD_BLOCKS.STORE_FORWARD, 0x203
