UNC_P_MEMORY_PHASE_SHEDDING_CYCLES, 0x2f
UNC_P_PKG_C_EXIT_LATENCY, 0x26
UNC_P_PKG_C_EXIT_LATENCY_SEL, 0x26
UNC_P_PKG_C_STATE_RESIDENCY_C0_CYCLES, 0x2a
UNC_P_PKG_C_STATE_RESIDENCY_C2_CYCLES, 0x2b
UNC_P_PKG_C_STATE_RESIDENCY_C3_CYCLES, 0x2c
UNC_P_PKG_C_STATE_RESIDENCY_C6_CYCLES, 0x2d
UNC_P_POWER_STATE_OCCUPANCY.CORES_C0, 0x80
UNC_P_POWER_STATE_OCCUPANCY.CORES_C3, 0x80
UNC_P_POWER_STATE_OCCUPANCY.CORES_C6, 0x80
UNC_P_PROCHOT_EXTERNAL_CYCLES, 0xa
UNC_P_PROCHOT_INTERNAL_CYCLES, 0x9
UNC_P_TOTAL_TRANSITION_CYCLES, 0x63
UNC_P_VOLT_TRANS_CYCLES_CHANGE, 0x3
UNC_P_VOLT_TRANS_CYCLES_DECREASE, 0x2
UNC_P_VOLT_TRANS_CYCLES_INCREASE, 0x1
UNC_P_VR_HOT_CYCLES, 0x32
UNC_C_COUNTER0_OCCUPANCY, 0x1f
UNC_C_LLC_LOOKUP.ANY, 0x1134
UNC_C_LLC_LOOKUP.DATA_READ, 0x334
UNC_C_LLC_LOOKUP.NID, 0x4134
UNC_C_LLC_LOOKUP.REMOTE_SNOOP, 0x934
UNC_C_LLC_LOOKUP.WRITE, 0x534
UNC_C_LLC_VICTIMS.E_STATE, 0x237
UNC_C_LLC_VICTIMS.MISS, 0x837
UNC_C_LLC_VICTIMS.M_STATE, 0x137
UNC_C_LLC_VICTIMS.NID, 0x4037
UNC_C_LLC_VICTIMS.S_STATE, 0x437
UNC_C_MISC.RFO_HIT_S, 0x839
UNC_C_MISC.RSPI_WAS_FSE, 0x139
UNC_C_MISC.STARTED, 0x439
UNC_C_MISC.WC_ALIASING, 0x239
UNC_C_QLRU.AGE0, 0x13c
UNC_C_QLRU.AGE1, 0x23c
UNC_C_QLRU.AGE2, 0x43c
UNC_C_QLRU.AGE3, 0x83c
UNC_C_QLRU.LRU_DECREMENT, 0x103c
UNC_C_QLRU.VICTIM_NON_ZERO, 0x203c
UNC_C_RING_AD_USED.CCW, 0xc1b
UNC_C_RING_AD_USED.CW, 0x31b
UNC_C_RING_AD_USED.DOWN, 0xcc1b
UNC_C_RING_AD_USED.DOWN_VR0_EVEN, 0x41b
